innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1422,0,IND,0,0,-86,G Gambhir,JM Anderson,1,0,0,44.13,7479,51.93,Left-hand bat,0,0,0,16488.1,30.74,59.3,rfm,0,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1423,1,IND,0,0,-86,G Gambhir,JM Anderson,1,0,1,44.13,7479,51.93,Left-hand bat,1,0,0,16488.1,30.74,59.3,rfm,0,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1424,2,IND,0,0,-86,G Gambhir,JM Anderson,1,0,2,44.13,7479,51.93,Left-hand bat,2,0,0,16488.1,30.74,59.3,rfm,0,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1425,3,IND,0,0,-86,G Gambhir,JM Anderson,1,0,3,44.13,7479,51.93,Left-hand bat,3,0,0,16488.1,30.74,59.3,rfm,0,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1426,4,IND,0,0,-86,G Gambhir,JM Anderson,1,0,4,44.13,7479,51.93,Left-hand bat,4,0,0,16488.1,30.74,59.3,rfm,0,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1427,5,IND,0,0,-86,G Gambhir,JM Anderson,1,0,5,44.13,7479,51.93,Left-hand bat,5,0,0,16488.1,30.74,59.3,rfm,0,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1434,12,IND,0,4,-82,G Gambhir,JM Anderson,1,3,9,44.13,7479,51.93,Left-hand bat,6,0,0,16488.1,30.74,59.3,rfm,0,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1435,13,IND,0,4,-82,G Gambhir,JM Anderson,1,3,10,44.13,7479,51.93,Left-hand bat,7,0,0,16488.1,30.74,59.3,rfm,0,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1436,14,IND,0,4,-82,G Gambhir,JM Anderson,1,3,11,44.13,7479,51.93,Left-hand bat,8,0,0,16488.1,30.74,59.3,rfm,0,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1437,15,IND,0,4,-82,G Gambhir,JM Anderson,1,3,12,44.13,7479,51.93,Left-hand bat,9,0,0,16488.1,30.74,59.3,rfm,0,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1438,16,IND,0,4,-82,G Gambhir,JM Anderson,1,3,13,44.13,7479,51.93,Left-hand bat,10,0,0,16488.1,30.74,59.3,rfm,0,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1439,17,IND,0,4,-82,G Gambhir,JM Anderson,1,3,14,44.13,7479,51.93,Left-hand bat,11,0,0,16488.1,30.74,59.3,rfm,4,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1446,24,IND,0,12,-74,G Gambhir,JM Anderson,1,9,19,44.13,7479,51.93,Left-hand bat,12,4,0,16488.1,30.74,59.3,rfm,1,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1448,26,IND,0,14,-72,G Gambhir,JM Anderson,1,10,20,44.13,7479,51.93,Left-hand bat,14,5,0,16488.1,30.74,59.3,rfm,0,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1449,27,IND,0,14,-72,G Gambhir,JM Anderson,1,10,21,44.13,7479,51.93,Left-hand bat,15,5,0,16488.1,30.74,59.3,rfm,0,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1450,28,IND,0,14,-72,G Gambhir,JM Anderson,1,10,22,44.13,7479,51.93,Left-hand bat,16,5,0,16488.1,30.74,59.3,rfm,1,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1461,39,IND,0,20,-66,G Gambhir,JM Anderson,1,13,27,44.13,7479,51.93,Left-hand bat,21,6,0,16488.1,30.74,59.3,rfm,0,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1462,40,IND,0,20,-66,G Gambhir,JM Anderson,1,13,28,44.13,7479,51.93,Left-hand bat,22,6,0,16488.1,30.74,59.3,rfm,0,IND,seam,yes,1.0444444444444445,30.288888888888888
3,1463,41,IND,0,20,-66,G Gambhir,JM Anderson,1,13,29,44.13,7479,51.93,Left-hand bat,23,6,0,16488.1,30.74,59.3,rfm,3,IND,seam,yes,1.0444444444444445,30.288888888888888
