innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1769,127,IND,1,86,-121,CA Pujara,GP Swann,3,0,0,61.25,1499,49.03,Right-hand bat,31,21,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
3,1770,128,IND,1,86,-121,CA Pujara,GP Swann,3,0,1,61.25,1499,49.03,Right-hand bat,32,21,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
3,1771,129,IND,1,86,-121,CA Pujara,GP Swann,3,0,2,61.25,1499,49.03,Right-hand bat,33,21,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
3,1772,130,IND,1,86,-121,CA Pujara,GP Swann,3,0,3,61.25,1499,49.03,Right-hand bat,34,21,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
3,1773,131,IND,1,86,-121,CA Pujara,GP Swann,3,0,4,61.25,1499,49.03,Right-hand bat,35,21,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
3,1782,140,IND,1,92,-115,CA Pujara,GP Swann,3,4,10,61.25,1499,49.03,Right-hand bat,38,22,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
3,1783,141,IND,1,92,-115,CA Pujara,GP Swann,3,4,11,61.25,1499,49.03,Right-hand bat,39,22,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
3,1784,142,IND,1,92,-115,CA Pujara,GP Swann,3,4,12,61.25,1499,49.03,Right-hand bat,40,22,1,12522.1,29.18,59.9,rob,4,IND,spin,yes,15.523415977961433,18.628099173553718
3,1785,143,IND,1,96,-111,CA Pujara,GP Swann,3,8,13,61.25,1499,49.03,Right-hand bat,41,26,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
3,1792,150,IND,1,96,-111,CA Pujara,GP Swann,3,8,14,61.25,1499,49.03,Right-hand bat,42,26,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
3,1793,151,IND,1,96,-111,CA Pujara,GP Swann,3,8,15,61.25,1499,49.03,Right-hand bat,43,26,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
3,1794,152,IND,1,96,-111,CA Pujara,GP Swann,3,8,16,61.25,1499,49.03,Right-hand bat,44,26,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
3,1795,153,IND,1,96,-111,CA Pujara,GP Swann,3,8,17,61.25,1499,49.03,Right-hand bat,45,26,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
3,1796,154,IND,1,96,-111,CA Pujara,GP Swann,3,8,18,61.25,1499,49.03,Right-hand bat,46,26,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
3,1797,155,IND,1,96,-111,CA Pujara,GP Swann,3,8,19,61.25,1499,49.03,Right-hand bat,47,26,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
3,1808,166,IND,1,98,-109,CA Pujara,GP Swann,3,8,20,61.25,1499,49.03,Right-hand bat,52,27,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
3,1809,167,IND,1,98,-109,CA Pujara,GP Swann,3,8,21,61.25,1499,49.03,Right-hand bat,53,27,1,12522.1,29.18,59.9,rob,0,IND,spin,yes,15.523415977961433,18.628099173553718
