innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,822,822,ENG,7,295,295,GP Swann,PP Chawla,9,34,69,23.52,1527,77.01,Right-hand bat,102,52,1,492,38.57,70.2,rls,0,IND,spin,yes,15.243856332703215,28.58223062381853
1,823,823,ENG,7,295,295,GP Swann,PP Chawla,9,34,70,23.52,1527,77.01,Right-hand bat,103,52,1,492,38.57,70.2,rls,1,IND,spin,yes,15.243856332703215,28.58223062381853
1,836,836,ENG,8,303,303,GP Swann,PP Chawla,9,36,73,23.52,1527,77.01,Right-hand bat,110,57,2,492,38.57,70.2,rls,0,IND,spin,yes,15.243856332703215,28.58223062381853
1,837,837,ENG,8,303,303,GP Swann,PP Chawla,9,36,74,23.52,1527,77.01,Right-hand bat,111,57,2,492,38.57,70.2,rls,0,IND,spin,yes,15.243856332703215,28.58223062381853
1,838,838,ENG,8,303,303,GP Swann,PP Chawla,9,36,75,23.52,1527,77.01,Right-hand bat,112,57,2,492,38.57,70.2,rls,0,IND,spin,yes,15.243856332703215,28.58223062381853
1,839,839,ENG,8,303,303,GP Swann,PP Chawla,9,36,76,23.52,1527,77.01,Right-hand bat,113,57,2,492,38.57,70.2,rls,4,IND,spin,yes,15.243856332703215,28.58223062381853
1,849,849,ENG,8,311,311,GP Swann,PP Chawla,9,42,80,23.52,1527,77.01,Right-hand bat,117,62,2,492,38.57,70.2,rls,0,IND,spin,yes,15.243856332703215,28.58223062381853
1,850,850,ENG,8,311,311,GP Swann,PP Chawla,9,42,81,23.52,1527,77.01,Right-hand bat,118,62,2,492,38.57,70.2,rls,0,IND,spin,yes,15.243856332703215,28.58223062381853
1,851,851,ENG,8,311,311,GP Swann,PP Chawla,9,42,82,23.52,1527,77.01,Right-hand bat,119,62,2,492,38.57,70.2,rls,1,IND,spin,yes,15.243856332703215,28.58223062381853
1,858,858,ENG,8,319,319,GP Swann,PP Chawla,9,50,87,23.52,1527,77.01,Right-hand bat,120,63,2,492,38.57,70.2,rls,0,IND,spin,yes,15.243856332703215,28.58223062381853
1,859,859,ENG,8,319,319,GP Swann,PP Chawla,9,50,88,23.52,1527,77.01,Right-hand bat,121,63,2,492,38.57,70.2,rls,0,IND,spin,yes,15.243856332703215,28.58223062381853
1,860,860,ENG,8,319,319,GP Swann,PP Chawla,9,50,89,23.52,1527,77.01,Right-hand bat,122,63,2,492,38.57,70.2,rls,6,IND,spin,yes,15.243856332703215,28.58223062381853
1,861,861,ENG,8,325,325,GP Swann,PP Chawla,9,56,90,23.52,1527,77.01,Right-hand bat,123,69,2,492,38.57,70.2,rls,W,IND,spin,yes,15.243856332703215,28.58223062381853
