innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1159,410,ENG,4,150,85,JM Bairstow,JL Pattinson,6,8,26,30.23,735,53.46,Right-hand bat,91,46,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
3,1160,411,ENG,4,150,85,JM Bairstow,JL Pattinson,6,8,27,30.23,735,53.46,Right-hand bat,92,46,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
3,1161,412,ENG,4,150,85,JM Bairstow,JL Pattinson,6,8,28,30.23,735,53.46,Right-hand bat,93,46,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
3,1162,413,ENG,4,150,85,JM Bairstow,JL Pattinson,6,8,29,30.23,735,53.46,Right-hand bat,94,46,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
3,1163,414,ENG,4,150,85,JM Bairstow,JL Pattinson,6,8,30,30.23,735,53.46,Right-hand bat,95,46,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
3,1164,415,ENG,4,150,85,JM Bairstow,JL Pattinson,6,8,31,30.23,735,53.46,Right-hand bat,96,46,1,2034,24.55,45.2,rfm,1,ENG,seam,yes,24.04875,5.101249999999999
3,1172,423,ENG,4,155,90,JM Bairstow,JL Pattinson,6,11,36,30.23,735,53.46,Right-hand bat,97,47,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
3,1173,424,ENG,4,155,90,JM Bairstow,JL Pattinson,6,11,37,30.23,735,53.46,Right-hand bat,98,47,1,2034,24.55,45.2,rfm,1,ENG,seam,yes,24.04875,5.101249999999999
3,1184,435,ENG,4,157,92,JM Bairstow,JL Pattinson,6,13,41,30.23,735,53.46,Right-hand bat,103,48,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
3,1185,436,ENG,4,157,92,JM Bairstow,JL Pattinson,6,13,42,30.23,735,53.46,Right-hand bat,104,48,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
3,1186,437,ENG,4,157,92,JM Bairstow,JL Pattinson,6,13,43,30.23,735,53.46,Right-hand bat,105,48,1,2034,24.55,45.2,rfm,1,ENG,seam,yes,24.04875,5.101249999999999
3,1189,440,ENG,4,159,94,JM Bairstow,JL Pattinson,6,14,44,30.23,735,53.46,Right-hand bat,108,50,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
