innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,833,272,AUS,4,140,-98,SR Watson,GP Swann,6,32,62,34.51,5557,50.31,Right-hand bat,18,8,0,14256.1,28.35,58.1,rob,0,ENG,spin,no,19.24875,7.3012500000000005
2,834,273,AUS,4,140,-98,SR Watson,GP Swann,6,32,63,34.51,5557,50.31,Right-hand bat,19,8,0,14256.1,28.35,58.1,rob,0,ENG,spin,no,19.24875,7.3012500000000005
2,835,274,AUS,4,140,-98,SR Watson,GP Swann,6,32,64,34.51,5557,50.31,Right-hand bat,20,8,0,14256.1,28.35,58.1,rob,1,ENG,spin,no,19.24875,7.3012500000000005
2,845,284,AUS,4,148,-90,SR Watson,GP Swann,6,38,69,34.51,5557,50.31,Right-hand bat,24,9,0,14256.1,28.35,58.1,rob,0,ENG,spin,no,19.24875,7.3012500000000005
2,846,285,AUS,4,148,-90,SR Watson,GP Swann,6,38,70,34.51,5557,50.31,Right-hand bat,25,9,0,14256.1,28.35,58.1,rob,0,ENG,spin,no,19.24875,7.3012500000000005
2,847,286,AUS,4,148,-90,SR Watson,GP Swann,6,38,71,34.51,5557,50.31,Right-hand bat,26,9,0,14256.1,28.35,58.1,rob,0,ENG,spin,no,19.24875,7.3012500000000005
2,848,287,AUS,4,148,-90,SR Watson,GP Swann,6,38,72,34.51,5557,50.31,Right-hand bat,27,9,0,14256.1,28.35,58.1,rob,0,ENG,spin,no,19.24875,7.3012500000000005
2,849,288,AUS,4,148,-90,SR Watson,GP Swann,6,38,73,34.51,5557,50.31,Right-hand bat,28,9,0,14256.1,28.35,58.1,rob,0,ENG,spin,no,19.24875,7.3012500000000005
2,850,289,AUS,4,148,-90,SR Watson,GP Swann,6,38,74,34.51,5557,50.31,Right-hand bat,29,9,0,14256.1,28.35,58.1,rob,0,ENG,spin,no,19.24875,7.3012500000000005
2,897,336,AUS,4,168,-70,SR Watson,GP Swann,6,48,93,34.51,5557,50.31,Right-hand bat,34,10,0,14256.1,28.35,58.1,rob,0,ENG,spin,no,19.24875,7.3012500000000005
2,898,337,AUS,4,168,-70,SR Watson,GP Swann,6,48,94,34.51,5557,50.31,Right-hand bat,35,10,0,14256.1,28.35,58.1,rob,1,ENG,spin,no,19.24875,7.3012500000000005
2,918,357,AUS,4,180,-58,SR Watson,GP Swann,6,51,105,34.51,5557,50.31,Right-hand bat,43,18,0,14256.1,28.35,58.1,rob,1,ENG,spin,no,19.24875,7.3012500000000005
2,929,368,AUS,4,184,-54,SR Watson,GP Swann,6,54,111,34.51,5557,50.31,Right-hand bat,48,19,0,14256.1,28.35,58.1,rob,2,ENG,spin,no,19.24875,7.3012500000000005
2,930,369,AUS,4,186,-52,SR Watson,GP Swann,6,56,112,34.51,5557,50.31,Right-hand bat,49,21,0,14256.1,28.35,58.1,rob,0,ENG,spin,no,19.24875,7.3012500000000005
2,931,370,AUS,4,186,-52,SR Watson,GP Swann,6,56,113,34.51,5557,50.31,Right-hand bat,50,21,0,14256.1,28.35,58.1,rob,1,ENG,spin,no,19.24875,7.3012500000000005
