innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1374,175,NZL,1,64,-340,MJ Guptill,JH Kallis,1,40,89,30.6,3931,43.6,Right-hand bat,0,0,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
3,1375,176,NZL,1,64,-340,MJ Guptill,JH Kallis,1,40,90,30.6,3931,43.6,Right-hand bat,1,0,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
3,1376,177,NZL,1,64,-340,MJ Guptill,JH Kallis,1,40,91,30.6,3931,43.6,Right-hand bat,2,0,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
3,1377,178,NZL,1,64,-340,MJ Guptill,JH Kallis,1,40,92,30.6,3931,43.6,Right-hand bat,3,0,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
3,1378,179,NZL,1,64,-340,MJ Guptill,JH Kallis,1,40,93,30.6,3931,43.6,Right-hand bat,4,0,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
3,1379,180,NZL,1,64,-340,MJ Guptill,JH Kallis,1,40,94,30.6,3931,43.6,Right-hand bat,5,0,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
3,1386,187,NZL,2,64,-340,MJ Guptill,JH Kallis,1,40,95,30.6,3931,43.6,Right-hand bat,6,0,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
3,1387,188,NZL,2,64,-340,MJ Guptill,JH Kallis,1,40,96,30.6,3931,43.6,Right-hand bat,7,0,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
3,1388,189,NZL,2,64,-340,MJ Guptill,JH Kallis,1,40,97,30.6,3931,43.6,Right-hand bat,8,0,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
3,1389,190,NZL,2,64,-340,MJ Guptill,JH Kallis,1,40,98,30.6,3931,43.6,Right-hand bat,9,0,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
3,1390,191,NZL,2,64,-340,MJ Guptill,JH Kallis,1,40,99,30.6,3931,43.6,Right-hand bat,10,0,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
3,1391,192,NZL,2,64,-340,MJ Guptill,JH Kallis,1,40,100,30.6,3931,43.6,Right-hand bat,11,0,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
3,1398,199,NZL,2,64,-340,MJ Guptill,JH Kallis,1,40,101,30.6,3931,43.6,Right-hand bat,12,0,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
3,1399,200,NZL,2,64,-340,MJ Guptill,JH Kallis,1,40,102,30.6,3931,43.6,Right-hand bat,13,0,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
3,1400,201,NZL,2,64,-340,MJ Guptill,JH Kallis,1,40,103,30.6,3931,43.6,Right-hand bat,14,0,0,19560.4,32.4,68.6,rfm,4,RSA,seam,no,25.141581632653065,5.465561224489796
3,1401,202,NZL,2,68,-336,MJ Guptill,JH Kallis,1,44,104,30.6,3931,43.6,Right-hand bat,15,4,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
3,1402,203,NZL,2,68,-336,MJ Guptill,JH Kallis,1,44,105,30.6,3931,43.6,Right-hand bat,16,4,0,19560.4,32.4,68.6,rfm,0,RSA,seam,no,25.141581632653065,5.465561224489796
