innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,921,0,AUS,0,0,-450,EJM Cowan,DW Steyn,1,0,0,38,1113,44.38,Left-hand bat,0,0,0,12096.5,23.86,42,rf,4lb,AUS,seam,no,44.2875,11.809999999999999
2,922,1,AUS,0,4,-446,EJM Cowan,DW Steyn,1,0,1,38,1113,44.38,Left-hand bat,1,0,0,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,923,2,AUS,0,4,-446,EJM Cowan,DW Steyn,1,0,2,38,1113,44.38,Left-hand bat,2,0,0,12096.5,23.86,42,rf,1,AUS,seam,no,44.2875,11.809999999999999
2,933,12,AUS,0,8,-442,EJM Cowan,DW Steyn,1,1,3,38,1113,44.38,Left-hand bat,6,2,0,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,934,13,AUS,0,8,-442,EJM Cowan,DW Steyn,1,1,4,38,1113,44.38,Left-hand bat,7,2,0,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,935,14,AUS,0,8,-442,EJM Cowan,DW Steyn,1,1,5,38,1113,44.38,Left-hand bat,8,2,0,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,936,15,AUS,0,8,-442,EJM Cowan,DW Steyn,1,1,6,38,1113,44.38,Left-hand bat,9,2,0,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,937,16,AUS,0,8,-442,EJM Cowan,DW Steyn,1,1,7,38,1113,44.38,Left-hand bat,10,2,0,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,938,17,AUS,0,8,-442,EJM Cowan,DW Steyn,1,1,8,38,1113,44.38,Left-hand bat,11,2,0,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,969,48,AUS,2,30,-420,EJM Cowan,DW Steyn,1,9,19,38,1113,44.38,Left-hand bat,24,11,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,970,49,AUS,2,30,-420,EJM Cowan,DW Steyn,1,9,20,38,1113,44.38,Left-hand bat,25,11,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,971,50,AUS,2,30,-420,EJM Cowan,DW Steyn,1,9,21,38,1113,44.38,Left-hand bat,26,11,1,12096.5,23.86,42,rf,4,AUS,seam,no,44.2875,11.809999999999999
2,972,51,AUS,2,34,-416,EJM Cowan,DW Steyn,1,13,22,38,1113,44.38,Left-hand bat,27,15,1,12096.5,23.86,42,rf,2,AUS,seam,no,44.2875,11.809999999999999
2,973,52,AUS,2,36,-414,EJM Cowan,DW Steyn,1,15,23,38,1113,44.38,Left-hand bat,28,17,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,974,53,AUS,2,36,-414,EJM Cowan,DW Steyn,1,15,24,38,1113,44.38,Left-hand bat,29,17,1,12096.5,23.86,42,rf,4,AUS,seam,no,44.2875,11.809999999999999
2,1027,106,AUS,3,76,-374,EJM Cowan,DW Steyn,1,34,44,38,1113,44.38,Left-hand bat,31,22,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1028,107,AUS,3,76,-374,EJM Cowan,DW Steyn,1,34,45,38,1113,44.38,Left-hand bat,32,22,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1029,108,AUS,3,76,-374,EJM Cowan,DW Steyn,1,34,46,38,1113,44.38,Left-hand bat,33,22,1,12096.5,23.86,42,rf,1,AUS,seam,no,44.2875,11.809999999999999
2,1039,118,AUS,3,89,-361,EJM Cowan,DW Steyn,1,44,50,38,1113,44.38,Left-hand bat,36,25,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1040,119,AUS,3,89,-361,EJM Cowan,DW Steyn,1,44,51,38,1113,44.38,Left-hand bat,37,25,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1041,120,AUS,3,89,-361,EJM Cowan,DW Steyn,1,44,52,38,1113,44.38,Left-hand bat,38,25,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1042,121,AUS,3,89,-361,EJM Cowan,DW Steyn,1,44,53,38,1113,44.38,Left-hand bat,39,25,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1043,122,AUS,3,89,-361,EJM Cowan,DW Steyn,1,44,54,38,1113,44.38,Left-hand bat,40,25,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1044,123,AUS,3,89,-361,EJM Cowan,DW Steyn,1,44,55,38,1113,44.38,Left-hand bat,41,25,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1052,131,AUS,3,96,-354,EJM Cowan,DW Steyn,1,44,56,38,1113,44.38,Left-hand bat,42,25,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1053,132,AUS,3,96,-354,EJM Cowan,DW Steyn,1,44,57,38,1113,44.38,Left-hand bat,43,25,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1054,133,AUS,3,96,-354,EJM Cowan,DW Steyn,1,44,58,38,1113,44.38,Left-hand bat,44,25,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1055,134,AUS,3,96,-354,EJM Cowan,DW Steyn,1,44,59,38,1113,44.38,Left-hand bat,45,25,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1056,135,AUS,3,96,-354,EJM Cowan,DW Steyn,1,44,60,38,1113,44.38,Left-hand bat,46,25,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1057,136,AUS,3,96,-354,EJM Cowan,DW Steyn,1,44,61,38,1113,44.38,Left-hand bat,47,25,1,12096.5,23.86,42,rf,2,AUS,seam,no,44.2875,11.809999999999999
2,1084,163,AUS,3,111,-339,EJM Cowan,DW Steyn,1,49,74,38,1113,44.38,Left-hand bat,48,27,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1085,164,AUS,3,111,-339,EJM Cowan,DW Steyn,1,49,75,38,1113,44.38,Left-hand bat,49,27,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1086,165,AUS,3,111,-339,EJM Cowan,DW Steyn,1,49,76,38,1113,44.38,Left-hand bat,50,27,1,12096.5,23.86,42,rf,1,AUS,seam,no,44.2875,11.809999999999999
2,1097,176,AUS,3,120,-330,EJM Cowan,DW Steyn,1,53,79,38,1113,44.38,Left-hand bat,54,32,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1098,177,AUS,3,120,-330,EJM Cowan,DW Steyn,1,53,80,38,1113,44.38,Left-hand bat,55,32,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1099,178,AUS,3,120,-330,EJM Cowan,DW Steyn,1,53,81,38,1113,44.38,Left-hand bat,56,32,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1100,179,AUS,3,120,-330,EJM Cowan,DW Steyn,1,53,82,38,1113,44.38,Left-hand bat,57,32,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1101,180,AUS,3,120,-330,EJM Cowan,DW Steyn,1,53,83,38,1113,44.38,Left-hand bat,58,32,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1102,181,AUS,3,120,-330,EJM Cowan,DW Steyn,1,53,84,38,1113,44.38,Left-hand bat,59,32,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1109,188,AUS,3,124,-326,EJM Cowan,DW Steyn,1,53,85,38,1113,44.38,Left-hand bat,60,32,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1110,189,AUS,3,124,-326,EJM Cowan,DW Steyn,1,53,86,38,1113,44.38,Left-hand bat,61,32,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1111,190,AUS,3,124,-326,EJM Cowan,DW Steyn,1,53,87,38,1113,44.38,Left-hand bat,62,32,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1112,191,AUS,3,124,-326,EJM Cowan,DW Steyn,1,53,88,38,1113,44.38,Left-hand bat,63,32,1,12096.5,23.86,42,rf,4,AUS,seam,no,44.2875,11.809999999999999
2,1113,192,AUS,3,128,-322,EJM Cowan,DW Steyn,1,57,89,38,1113,44.38,Left-hand bat,64,36,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1114,193,AUS,3,128,-322,EJM Cowan,DW Steyn,1,57,90,38,1113,44.38,Left-hand bat,65,36,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1121,200,AUS,3,128,-322,EJM Cowan,DW Steyn,1,57,91,38,1113,44.38,Left-hand bat,66,36,1,12096.5,23.86,42,rf,1,AUS,seam,no,44.2875,11.809999999999999
2,1234,313,AUS,3,179,-271,EJM Cowan,DW Steyn,1,78,147,38,1113,44.38,Left-hand bat,72,41,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1235,314,AUS,3,179,-271,EJM Cowan,DW Steyn,1,78,148,38,1113,44.38,Left-hand bat,73,41,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1236,315,AUS,3,179,-271,EJM Cowan,DW Steyn,1,78,149,38,1113,44.38,Left-hand bat,74,41,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1237,316,AUS,3,179,-271,EJM Cowan,DW Steyn,1,78,150,38,1113,44.38,Left-hand bat,75,41,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1238,317,AUS,3,179,-271,EJM Cowan,DW Steyn,1,78,151,38,1113,44.38,Left-hand bat,76,41,1,12096.5,23.86,42,rf,1,AUS,seam,no,44.2875,11.809999999999999
2,1250,329,AUS,3,188,-262,EJM Cowan,DW Steyn,1,84,156,38,1113,44.38,Left-hand bat,82,44,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1251,330,AUS,3,188,-262,EJM Cowan,DW Steyn,1,84,157,38,1113,44.38,Left-hand bat,83,44,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1252,331,AUS,3,188,-262,EJM Cowan,DW Steyn,1,84,158,38,1113,44.38,Left-hand bat,84,44,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1259,338,AUS,3,190,-260,EJM Cowan,DW Steyn,1,85,161,38,1113,44.38,Left-hand bat,85,44,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1260,339,AUS,3,190,-260,EJM Cowan,DW Steyn,1,85,162,38,1113,44.38,Left-hand bat,86,44,1,12096.5,23.86,42,rf,3,AUS,seam,no,44.2875,11.809999999999999
2,1263,342,AUS,3,194,-256,EJM Cowan,DW Steyn,1,88,163,38,1113,44.38,Left-hand bat,89,48,1,12096.5,23.86,42,rf,4,AUS,seam,no,44.2875,11.809999999999999
2,1264,343,AUS,3,198,-252,EJM Cowan,DW Steyn,1,92,164,38,1113,44.38,Left-hand bat,90,52,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1346,425,AUS,3,245,-205,EJM Cowan,DW Steyn,1,108,197,38,1113,44.38,Left-hand bat,91,52,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1347,426,AUS,3,245,-205,EJM Cowan,DW Steyn,1,108,198,38,1113,44.38,Left-hand bat,92,52,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1348,427,AUS,3,245,-205,EJM Cowan,DW Steyn,1,108,199,38,1113,44.38,Left-hand bat,93,52,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1349,428,AUS,3,245,-205,EJM Cowan,DW Steyn,1,108,200,38,1113,44.38,Left-hand bat,94,52,1,12096.5,23.86,42,rf,1,AUS,seam,no,44.2875,11.809999999999999
2,1360,439,AUS,3,252,-198,EJM Cowan,DW Steyn,1,113,208,38,1113,44.38,Left-hand bat,98,54,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1361,440,AUS,3,252,-198,EJM Cowan,DW Steyn,1,113,209,38,1113,44.38,Left-hand bat,99,54,1,12096.5,23.86,42,rf,2,AUS,seam,no,44.2875,11.809999999999999
2,1362,441,AUS,3,254,-196,EJM Cowan,DW Steyn,1,115,210,38,1113,44.38,Left-hand bat,100,56,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1363,442,AUS,3,254,-196,EJM Cowan,DW Steyn,1,115,211,38,1113,44.38,Left-hand bat,101,56,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
2,1364,443,AUS,3,254,-196,EJM Cowan,DW Steyn,1,115,212,38,1113,44.38,Left-hand bat,102,56,1,12096.5,23.86,42,rf,4,AUS,seam,no,44.2875,11.809999999999999
2,1425,504,AUS,3,286,-164,EJM Cowan,DW Steyn,1,127,240,38,1113,44.38,Left-hand bat,107,63,1,12096.5,23.86,42,rf,0,AUS,seam,no,44.2875,11.809999999999999
