innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,2081,308,RSA,4,132,17,AB de Villiers,NM Lyon,5,9,53,49.02,10427,54.54,Right-hand bat,24,29,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2082,309,RSA,4,132,17,AB de Villiers,NM Lyon,5,9,54,49.02,10427,54.54,Right-hand bat,25,29,1,2712.5,29.26,59,rob,1,AUS,spin,yes,44.2875,11.809999999999999
3,2093,320,RSA,4,140,25,AB de Villiers,NM Lyon,5,15,60,49.02,10427,54.54,Right-hand bat,30,32,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2094,321,RSA,4,140,25,AB de Villiers,NM Lyon,5,15,61,49.02,10427,54.54,Right-hand bat,31,32,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2095,322,RSA,4,140,25,AB de Villiers,NM Lyon,5,15,62,49.02,10427,54.54,Right-hand bat,32,32,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2096,323,RSA,4,140,25,AB de Villiers,NM Lyon,5,15,63,49.02,10427,54.54,Right-hand bat,33,32,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2097,324,RSA,4,140,25,AB de Villiers,NM Lyon,5,15,64,49.02,10427,54.54,Right-hand bat,34,32,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2098,325,RSA,4,140,25,AB de Villiers,NM Lyon,5,15,65,49.02,10427,54.54,Right-hand bat,35,32,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2117,344,RSA,4,152,37,AB de Villiers,NM Lyon,5,24,77,49.02,10427,54.54,Right-hand bat,42,32,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2118,345,RSA,4,152,37,AB de Villiers,NM Lyon,5,24,78,49.02,10427,54.54,Right-hand bat,43,32,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2119,346,RSA,4,152,37,AB de Villiers,NM Lyon,5,24,79,49.02,10427,54.54,Right-hand bat,44,32,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2120,347,RSA,4,152,37,AB de Villiers,NM Lyon,5,24,80,49.02,10427,54.54,Right-hand bat,45,32,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2121,348,RSA,4,152,37,AB de Villiers,NM Lyon,5,24,81,49.02,10427,54.54,Right-hand bat,46,32,1,2712.5,29.26,59,rob,4,AUS,spin,yes,44.2875,11.809999999999999
3,2122,349,RSA,4,156,41,AB de Villiers,NM Lyon,5,28,82,49.02,10427,54.54,Right-hand bat,47,36,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2134,361,RSA,4,164,49,AB de Villiers,NM Lyon,5,28,88,49.02,10427,54.54,Right-hand bat,53,39,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2141,368,RSA,4,164,49,AB de Villiers,NM Lyon,5,28,89,49.02,10427,54.54,Right-hand bat,54,39,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2142,369,RSA,4,164,49,AB de Villiers,NM Lyon,5,28,90,49.02,10427,54.54,Right-hand bat,55,39,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2143,370,RSA,4,164,49,AB de Villiers,NM Lyon,5,28,91,49.02,10427,54.54,Right-hand bat,56,39,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2144,371,RSA,4,164,49,AB de Villiers,NM Lyon,5,28,92,49.02,10427,54.54,Right-hand bat,57,39,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2145,372,RSA,4,164,49,AB de Villiers,NM Lyon,5,28,93,49.02,10427,54.54,Right-hand bat,58,39,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2146,373,RSA,4,164,49,AB de Villiers,NM Lyon,5,28,94,49.02,10427,54.54,Right-hand bat,59,39,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2153,380,RSA,4,164,49,AB de Villiers,NM Lyon,5,28,95,49.02,10427,54.54,Right-hand bat,60,39,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2154,381,RSA,4,164,49,AB de Villiers,NM Lyon,5,28,96,49.02,10427,54.54,Right-hand bat,61,39,1,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2155,382,RSA,4,164,49,AB de Villiers,NM Lyon,5,28,97,49.02,10427,54.54,Right-hand bat,62,39,1,2712.5,29.26,59,rob,1,AUS,spin,yes,44.2875,11.809999999999999
3,2179,406,RSA,5,166,51,AB de Villiers,NM Lyon,5,29,110,49.02,10427,54.54,Right-hand bat,74,41,2,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2180,407,RSA,5,166,51,AB de Villiers,NM Lyon,5,29,111,49.02,10427,54.54,Right-hand bat,75,41,2,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2181,408,RSA,5,166,51,AB de Villiers,NM Lyon,5,29,112,49.02,10427,54.54,Right-hand bat,76,41,2,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
3,2182,409,RSA,5,166,51,AB de Villiers,NM Lyon,5,29,113,49.02,10427,54.54,Right-hand bat,77,41,2,2712.5,29.26,59,rob,0,AUS,spin,yes,44.2875,11.809999999999999
