innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1110,454,RSA,4,233,-317,F du Plessis,PM Siddle,6,0,0,188,535,35.14,Right-hand bat,93,45,1,7404.3,29.89,58.7,rfm,2,AUS,seam,no,31.39197530864198,8.969135802469136
2,1111,455,RSA,4,235,-315,F du Plessis,PM Siddle,6,2,1,188,535,35.14,Right-hand bat,94,47,1,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1112,456,RSA,4,235,-315,F du Plessis,PM Siddle,6,2,2,188,535,35.14,Right-hand bat,95,47,1,7404.3,29.89,58.7,rfm,4,AUS,seam,no,31.39197530864198,8.969135802469136
2,1113,457,RSA,4,239,-311,F du Plessis,PM Siddle,6,6,3,188,535,35.14,Right-hand bat,96,51,1,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1163,507,RSA,6,246,-304,F du Plessis,PM Siddle,6,11,26,188,535,35.14,Right-hand bat,109,51,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1164,508,RSA,6,246,-304,F du Plessis,PM Siddle,6,11,27,188,535,35.14,Right-hand bat,110,51,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1165,509,RSA,6,246,-304,F du Plessis,PM Siddle,6,11,28,188,535,35.14,Right-hand bat,111,51,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1166,510,RSA,6,246,-304,F du Plessis,PM Siddle,6,11,29,188,535,35.14,Right-hand bat,112,51,2,7404.3,29.89,58.7,rfm,4,AUS,seam,no,31.39197530864198,8.969135802469136
2,1167,511,RSA,6,250,-300,F du Plessis,PM Siddle,6,15,30,188,535,35.14,Right-hand bat,113,55,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1204,548,RSA,7,259,-291,F du Plessis,PM Siddle,6,18,52,188,535,35.14,Right-hand bat,114,55,2,7404.3,29.89,58.7,rfm,4,AUS,seam,no,31.39197530864198,8.969135802469136
2,1205,549,RSA,7,263,-287,F du Plessis,PM Siddle,6,22,53,188,535,35.14,Right-hand bat,115,59,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1206,550,RSA,7,263,-287,F du Plessis,PM Siddle,6,22,54,188,535,35.14,Right-hand bat,116,59,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1207,551,RSA,7,263,-287,F du Plessis,PM Siddle,6,22,55,188,535,35.14,Right-hand bat,117,59,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1208,552,RSA,7,263,-287,F du Plessis,PM Siddle,6,22,56,188,535,35.14,Right-hand bat,118,59,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1209,553,RSA,7,263,-287,F du Plessis,PM Siddle,6,22,57,188,535,35.14,Right-hand bat,119,59,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1253,597,RSA,7,286,-264,F du Plessis,PM Siddle,6,26,72,188,535,35.14,Right-hand bat,139,77,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1254,598,RSA,7,286,-264,F du Plessis,PM Siddle,6,26,73,188,535,35.14,Right-hand bat,140,77,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1255,599,RSA,7,286,-264,F du Plessis,PM Siddle,6,26,74,188,535,35.14,Right-hand bat,141,77,2,7404.3,29.89,58.7,rfm,4,AUS,seam,no,31.39197530864198,8.969135802469136
2,1256,600,RSA,7,290,-260,F du Plessis,PM Siddle,6,30,75,188,535,35.14,Right-hand bat,142,81,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1257,601,RSA,7,290,-260,F du Plessis,PM Siddle,6,30,76,188,535,35.14,Right-hand bat,143,81,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1258,602,RSA,7,290,-260,F du Plessis,PM Siddle,6,30,77,188,535,35.14,Right-hand bat,144,81,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1267,611,RSA,7,296,-254,F du Plessis,PM Siddle,6,30,78,188,535,35.14,Right-hand bat,147,82,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1268,612,RSA,7,296,-254,F du Plessis,PM Siddle,6,30,79,188,535,35.14,Right-hand bat,148,82,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1269,613,RSA,7,296,-254,F du Plessis,PM Siddle,6,30,80,188,535,35.14,Right-hand bat,149,82,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1270,614,RSA,7,296,-254,F du Plessis,PM Siddle,6,30,81,188,535,35.14,Right-hand bat,150,82,2,7404.3,29.89,58.7,rfm,4,AUS,seam,no,31.39197530864198,8.969135802469136
2,1278,622,RSA,7,302,-248,F du Plessis,PM Siddle,6,34,85,188,535,35.14,Right-hand bat,152,87,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1279,623,RSA,7,302,-248,F du Plessis,PM Siddle,6,34,86,188,535,35.14,Right-hand bat,153,87,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1280,624,RSA,7,302,-248,F du Plessis,PM Siddle,6,34,87,188,535,35.14,Right-hand bat,154,87,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1281,625,RSA,7,302,-248,F du Plessis,PM Siddle,6,34,88,188,535,35.14,Right-hand bat,155,87,2,7404.3,29.89,58.7,rfm,1,AUS,seam,no,31.39197530864198,8.969135802469136
2,1361,705,RSA,8,344,-206,F du Plessis,PM Siddle,6,50,124,188,535,35.14,Right-hand bat,163,100,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1362,706,RSA,8,344,-206,F du Plessis,PM Siddle,6,50,125,188,535,35.14,Right-hand bat,164,100,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1363,707,RSA,8,344,-206,F du Plessis,PM Siddle,6,50,126,188,535,35.14,Right-hand bat,165,100,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1364,708,RSA,8,344,-206,F du Plessis,PM Siddle,6,50,127,188,535,35.14,Right-hand bat,166,100,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1365,709,RSA,8,344,-206,F du Plessis,PM Siddle,6,50,128,188,535,35.14,Right-hand bat,167,100,2,7404.3,29.89,58.7,rfm,1,AUS,seam,no,31.39197530864198,8.969135802469136
2,1373,717,RSA,9,352,-198,F du Plessis,PM Siddle,6,52,130,188,535,35.14,Right-hand bat,169,105,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1374,718,RSA,9,352,-198,F du Plessis,PM Siddle,6,52,131,188,535,35.14,Right-hand bat,170,105,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1375,719,RSA,9,352,-198,F du Plessis,PM Siddle,6,52,132,188,535,35.14,Right-hand bat,171,105,2,7404.3,29.89,58.7,rfm,2,AUS,seam,no,31.39197530864198,8.969135802469136
2,1376,720,RSA,9,354,-196,F du Plessis,PM Siddle,6,54,133,188,535,35.14,Right-hand bat,172,107,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1377,721,RSA,9,354,-196,F du Plessis,PM Siddle,6,54,134,188,535,35.14,Right-hand bat,173,107,2,7404.3,29.89,58.7,rfm,4,AUS,seam,no,31.39197530864198,8.969135802469136
2,1378,722,RSA,9,358,-192,F du Plessis,PM Siddle,6,58,135,188,535,35.14,Right-hand bat,174,111,2,7404.3,29.89,58.7,rfm,1,AUS,seam,no,31.39197530864198,8.969135802469136
2,1385,729,RSA,9,360,-190,F du Plessis,PM Siddle,6,60,141,188,535,35.14,Right-hand bat,175,112,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
2,1386,730,RSA,9,360,-190,F du Plessis,PM Siddle,6,60,142,188,535,35.14,Right-hand bat,176,112,2,7404.3,29.89,58.7,rfm,2,AUS,seam,no,31.39197530864198,8.969135802469136
2,1387,731,RSA,9,362,-188,F du Plessis,PM Siddle,6,62,143,188,535,35.14,Right-hand bat,177,114,2,7404.3,29.89,58.7,rfm,0,AUS,seam,no,31.39197530864198,8.969135802469136
