innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,477,31,AUS,2,18,-207,NM Lyon,VD Philander,4,0,0,16.2,361,44.87,Right-hand bat,13,3,1,2490.3,17.98,37.2,rfm,0,AUS,seam,no,24.780625,7.194375000000001
2,478,32,AUS,2,18,-207,NM Lyon,VD Philander,4,0,1,16.2,361,44.87,Right-hand bat,14,3,1,2490.3,17.98,37.2,rfm,4lb,AUS,seam,no,24.780625,7.194375000000001
2,479,33,AUS,2,22,-203,NM Lyon,VD Philander,4,0,2,16.2,361,44.87,Right-hand bat,15,3,1,2490.3,17.98,37.2,rfm,0,AUS,seam,no,24.780625,7.194375000000001
2,480,34,AUS,2,22,-203,NM Lyon,VD Philander,4,0,3,16.2,361,44.87,Right-hand bat,16,3,1,2490.3,17.98,37.2,rfm,0,AUS,seam,no,24.780625,7.194375000000001
2,481,35,AUS,2,22,-203,NM Lyon,VD Philander,4,0,4,16.2,361,44.87,Right-hand bat,17,3,1,2490.3,17.98,37.2,rfm,2,AUS,seam,no,24.780625,7.194375000000001
2,488,42,AUS,2,28,-197,NM Lyon,VD Philander,4,2,5,16.2,361,44.87,Right-hand bat,18,5,1,2490.3,17.98,37.2,rfm,0,AUS,seam,no,24.780625,7.194375000000001
2,489,43,AUS,2,28,-197,NM Lyon,VD Philander,4,2,6,16.2,361,44.87,Right-hand bat,19,5,1,2490.3,17.98,37.2,rfm,0,AUS,seam,no,24.780625,7.194375000000001
2,490,44,AUS,2,28,-197,NM Lyon,VD Philander,4,2,7,16.2,361,44.87,Right-hand bat,20,5,1,2490.3,17.98,37.2,rfm,0,AUS,seam,no,24.780625,7.194375000000001
2,491,45,AUS,2,28,-197,NM Lyon,VD Philander,4,2,8,16.2,361,44.87,Right-hand bat,21,5,1,2490.3,17.98,37.2,rfm,0,AUS,seam,no,24.780625,7.194375000000001
2,492,46,AUS,2,28,-197,NM Lyon,VD Philander,4,2,9,16.2,361,44.87,Right-hand bat,22,5,1,2490.3,17.98,37.2,rfm,3,AUS,seam,no,24.780625,7.194375000000001
2,515,69,AUS,2,34,-191,NM Lyon,VD Philander,4,7,22,16.2,361,44.87,Right-hand bat,27,9,1,2490.3,17.98,37.2,rfm,0,AUS,seam,no,24.780625,7.194375000000001
2,516,70,AUS,2,34,-191,NM Lyon,VD Philander,4,7,23,16.2,361,44.87,Right-hand bat,28,9,1,2490.3,17.98,37.2,rfm,0,AUS,seam,no,24.780625,7.194375000000001
2,517,71,AUS,2,34,-191,NM Lyon,VD Philander,4,7,24,16.2,361,44.87,Right-hand bat,29,9,1,2490.3,17.98,37.2,rfm,0,AUS,seam,no,24.780625,7.194375000000001
