innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,828,30,SRL,0,16,-434,TM Dilshan,NM Lyon,2,8,11,41.3,7948,65.48,Right-hand bat,0,0,0,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,829,31,SRL,0,16,-434,TM Dilshan,NM Lyon,2,8,12,41.3,7948,65.48,Right-hand bat,1,0,0,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,830,32,SRL,0,16,-434,TM Dilshan,NM Lyon,2,8,13,41.3,7948,65.48,Right-hand bat,2,0,0,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,831,33,SRL,0,16,-434,TM Dilshan,NM Lyon,2,8,14,41.3,7948,65.48,Right-hand bat,3,0,0,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,832,34,SRL,0,16,-434,TM Dilshan,NM Lyon,2,8,15,41.3,7948,65.48,Right-hand bat,4,0,0,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,833,35,SRL,0,16,-434,TM Dilshan,NM Lyon,2,8,16,41.3,7948,65.48,Right-hand bat,5,0,0,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,975,177,SRL,4,88,-362,TM Dilshan,NM Lyon,2,50,85,41.3,7948,65.48,Right-hand bat,15,1,1,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,976,178,SRL,4,88,-362,TM Dilshan,NM Lyon,2,50,86,41.3,7948,65.48,Right-hand bat,16,1,1,3822.5,31.92,68.3,rob,1,AUS,spin,no,29.071836734693875,8.613877551020408
2,1051,253,SRL,4,130,-320,TM Dilshan,NM Lyon,2,65,109,41.3,7948,65.48,Right-hand bat,18,2,1,3822.5,31.92,68.3,rob,4,AUS,spin,no,29.071836734693875,8.613877551020408
2,1052,254,SRL,4,134,-316,TM Dilshan,NM Lyon,2,69,110,41.3,7948,65.48,Right-hand bat,19,6,1,3822.5,31.92,68.3,rob,1,AUS,spin,no,29.071836734693875,8.613877551020408
2,1171,373,SRL,4,194,-256,TM Dilshan,NM Lyon,2,110,168,41.3,7948,65.48,Right-hand bat,48,15,1,3822.5,31.92,68.3,rob,1,AUS,spin,no,29.071836734693875,8.613877551020408
2,1183,385,SRL,4,196,-254,TM Dilshan,NM Lyon,2,112,171,41.3,7948,65.48,Right-hand bat,54,16,1,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,1184,386,SRL,4,196,-254,TM Dilshan,NM Lyon,2,112,172,41.3,7948,65.48,Right-hand bat,55,16,1,3822.5,31.92,68.3,rob,2b,AUS,spin,no,29.071836734693875,8.613877551020408
2,1185,387,SRL,4,198,-252,TM Dilshan,NM Lyon,2,112,173,41.3,7948,65.48,Right-hand bat,56,16,1,3822.5,31.92,68.3,rob,1,AUS,spin,no,29.071836734693875,8.613877551020408
2,1195,397,SRL,4,208,-242,TM Dilshan,NM Lyon,2,115,176,41.3,7948,65.48,Right-hand bat,60,22,1,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,1196,398,SRL,4,208,-242,TM Dilshan,NM Lyon,2,115,177,41.3,7948,65.48,Right-hand bat,61,22,1,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,1197,399,SRL,4,208,-242,TM Dilshan,NM Lyon,2,115,178,41.3,7948,65.48,Right-hand bat,62,22,1,3822.5,31.92,68.3,rob,1,AUS,spin,no,29.071836734693875,8.613877551020408
2,1200,402,SRL,4,210,-240,TM Dilshan,NM Lyon,2,116,179,41.3,7948,65.48,Right-hand bat,65,24,1,3822.5,31.92,68.3,rob,4,AUS,spin,no,29.071836734693875,8.613877551020408
2,1207,409,SRL,4,214,-236,TM Dilshan,NM Lyon,2,120,180,41.3,7948,65.48,Right-hand bat,66,28,1,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,1208,410,SRL,4,214,-236,TM Dilshan,NM Lyon,2,120,181,41.3,7948,65.48,Right-hand bat,67,28,1,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,1209,411,SRL,4,214,-236,TM Dilshan,NM Lyon,2,120,182,41.3,7948,65.48,Right-hand bat,68,28,1,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,1210,412,SRL,4,214,-236,TM Dilshan,NM Lyon,2,120,183,41.3,7948,65.48,Right-hand bat,69,28,1,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,1211,413,SRL,4,214,-236,TM Dilshan,NM Lyon,2,120,184,41.3,7948,65.48,Right-hand bat,70,28,1,3822.5,31.92,68.3,rob,1,AUS,spin,no,29.071836734693875,8.613877551020408
2,1247,449,SRL,4,218,-232,TM Dilshan,NM Lyon,2,121,203,41.3,7948,65.48,Right-hand bat,88,32,1,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,1248,450,SRL,4,218,-232,TM Dilshan,NM Lyon,2,121,204,41.3,7948,65.48,Right-hand bat,89,32,1,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,1255,457,SRL,4,218,-232,TM Dilshan,NM Lyon,2,121,205,41.3,7948,65.48,Right-hand bat,90,32,1,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,1256,458,SRL,4,218,-232,TM Dilshan,NM Lyon,2,121,206,41.3,7948,65.48,Right-hand bat,91,32,1,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,1257,459,SRL,4,218,-232,TM Dilshan,NM Lyon,2,121,207,41.3,7948,65.48,Right-hand bat,92,32,1,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,1258,460,SRL,4,218,-232,TM Dilshan,NM Lyon,2,121,208,41.3,7948,65.48,Right-hand bat,93,32,1,3822.5,31.92,68.3,rob,1,AUS,spin,no,29.071836734693875,8.613877551020408
2,1270,472,SRL,4,230,-220,TM Dilshan,NM Lyon,2,124,215,41.3,7948,65.48,Right-hand bat,99,42,1,3822.5,31.92,68.3,rob,1,AUS,spin,no,29.071836734693875,8.613877551020408
2,1363,565,SRL,5,274,-176,TM Dilshan,NM Lyon,2,144,266,41.3,7948,65.48,Right-hand bat,102,43,1,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,1364,566,SRL,5,274,-176,TM Dilshan,NM Lyon,2,144,267,41.3,7948,65.48,Right-hand bat,103,43,1,3822.5,31.92,68.3,rob,1,AUS,spin,no,29.071836734693875,8.613877551020408
2,1375,577,SRL,5,284,-166,TM Dilshan,NM Lyon,2,146,270,41.3,7948,65.48,Right-hand bat,108,48,1,3822.5,31.92,68.3,rob,0,AUS,spin,no,29.071836734693875,8.613877551020408
2,1376,578,SRL,5,284,-166,TM Dilshan,NM Lyon,2,146,271,41.3,7948,65.48,Right-hand bat,109,48,1,3822.5,31.92,68.3,rob,1,AUS,spin,no,29.071836734693875,8.613877551020408
