innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,284,284,AUS,5,154,154,MC Henriques,RA Jadeja,7,0,0,149,280,53.21,Right-hand bat,50,20,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,285,285,AUS,5,154,154,MC Henriques,RA Jadeja,7,0,1,149,280,53.21,Right-hand bat,51,20,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,286,286,AUS,5,154,154,MC Henriques,RA Jadeja,7,0,2,149,280,53.21,Right-hand bat,52,20,0,822,32.5,102.7,lo,1,IND,spin,yes,9.7109375,29.1328125
1,294,294,AUS,5,160,160,MC Henriques,RA Jadeja,7,2,8,149,280,53.21,Right-hand bat,54,21,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,295,295,AUS,5,160,160,MC Henriques,RA Jadeja,7,2,9,149,280,53.21,Right-hand bat,55,21,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,296,296,AUS,5,160,160,MC Henriques,RA Jadeja,7,2,10,149,280,53.21,Right-hand bat,56,21,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,297,297,AUS,5,160,160,MC Henriques,RA Jadeja,7,2,11,149,280,53.21,Right-hand bat,57,21,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,298,298,AUS,5,160,160,MC Henriques,RA Jadeja,7,2,12,149,280,53.21,Right-hand bat,58,21,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,299,299,AUS,5,160,160,MC Henriques,RA Jadeja,7,2,13,149,280,53.21,Right-hand bat,59,21,0,822,32.5,102.7,lo,2,IND,spin,yes,9.7109375,29.1328125
1,306,306,AUS,5,164,164,MC Henriques,RA Jadeja,7,4,14,149,280,53.21,Right-hand bat,60,23,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,307,307,AUS,5,164,164,MC Henriques,RA Jadeja,7,4,15,149,280,53.21,Right-hand bat,61,23,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,308,308,AUS,5,164,164,MC Henriques,RA Jadeja,7,4,16,149,280,53.21,Right-hand bat,62,23,0,822,32.5,102.7,lo,2,IND,spin,yes,9.7109375,29.1328125
1,309,309,AUS,5,166,166,MC Henriques,RA Jadeja,7,6,17,149,280,53.21,Right-hand bat,63,25,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,310,310,AUS,5,166,166,MC Henriques,RA Jadeja,7,6,18,149,280,53.21,Right-hand bat,64,25,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,311,311,AUS,5,166,166,MC Henriques,RA Jadeja,7,6,19,149,280,53.21,Right-hand bat,65,25,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,318,318,AUS,5,172,172,MC Henriques,RA Jadeja,7,11,25,149,280,53.21,Right-hand bat,66,25,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,319,319,AUS,5,172,172,MC Henriques,RA Jadeja,7,11,26,149,280,53.21,Right-hand bat,67,25,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,320,320,AUS,5,172,172,MC Henriques,RA Jadeja,7,11,27,149,280,53.21,Right-hand bat,68,25,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,321,321,AUS,5,172,172,MC Henriques,RA Jadeja,7,11,28,149,280,53.21,Right-hand bat,69,25,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,322,322,AUS,5,172,172,MC Henriques,RA Jadeja,7,11,29,149,280,53.21,Right-hand bat,70,25,0,822,32.5,102.7,lo,1,IND,spin,yes,9.7109375,29.1328125
1,331,331,AUS,5,178,178,MC Henriques,RA Jadeja,7,14,33,149,280,53.21,Right-hand bat,73,27,0,822,32.5,102.7,lo,1,IND,spin,yes,9.7109375,29.1328125
1,342,342,AUS,5,182,182,MC Henriques,RA Jadeja,7,16,36,149,280,53.21,Right-hand bat,78,30,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,343,343,AUS,5,182,182,MC Henriques,RA Jadeja,7,16,37,149,280,53.21,Right-hand bat,79,30,0,822,32.5,102.7,lo,1,IND,spin,yes,9.7109375,29.1328125
1,347,347,AUS,5,192,192,MC Henriques,RA Jadeja,7,17,38,149,280,53.21,Right-hand bat,83,40,0,822,32.5,102.7,lo,1,IND,spin,yes,9.7109375,29.1328125
1,372,372,AUS,5,203,203,MC Henriques,RA Jadeja,7,25,53,149,280,53.21,Right-hand bat,84,41,0,822,32.5,102.7,lo,1,IND,spin,yes,9.7109375,29.1328125
1,375,375,AUS,5,205,205,MC Henriques,RA Jadeja,7,26,54,149,280,53.21,Right-hand bat,87,43,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,376,376,AUS,5,205,205,MC Henriques,RA Jadeja,7,26,55,149,280,53.21,Right-hand bat,88,43,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,377,377,AUS,5,205,205,MC Henriques,RA Jadeja,7,26,56,149,280,53.21,Right-hand bat,89,43,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,456,456,AUS,5,259,259,MC Henriques,RA Jadeja,7,48,92,149,280,53.21,Right-hand bat,96,43,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,457,457,AUS,5,259,259,MC Henriques,RA Jadeja,7,48,93,149,280,53.21,Right-hand bat,97,43,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,458,458,AUS,5,259,259,MC Henriques,RA Jadeja,7,48,94,149,280,53.21,Right-hand bat,98,43,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,459,459,AUS,5,259,259,MC Henriques,RA Jadeja,7,48,95,149,280,53.21,Right-hand bat,99,43,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,460,460,AUS,5,259,259,MC Henriques,RA Jadeja,7,48,96,149,280,53.21,Right-hand bat,100,43,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,461,461,AUS,5,259,259,MC Henriques,RA Jadeja,7,48,97,149,280,53.21,Right-hand bat,101,43,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,468,468,AUS,5,263,263,MC Henriques,RA Jadeja,7,50,101,149,280,53.21,Right-hand bat,102,43,0,822,32.5,102.7,lo,1,IND,spin,yes,9.7109375,29.1328125
1,516,516,AUS,5,295,295,MC Henriques,RA Jadeja,7,61,120,149,280,53.21,Right-hand bat,114,47,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,517,517,AUS,5,295,295,MC Henriques,RA Jadeja,7,61,121,149,280,53.21,Right-hand bat,115,47,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,518,518,AUS,5,295,295,MC Henriques,RA Jadeja,7,61,122,149,280,53.21,Right-hand bat,116,47,0,822,32.5,102.7,lo,0,IND,spin,yes,9.7109375,29.1328125
1,519,519,AUS,5,295,295,MC Henriques,RA Jadeja,7,61,123,149,280,53.21,Right-hand bat,117,47,0,822,32.5,102.7,lo,1,IND,spin,yes,9.7109375,29.1328125
