innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1521,723,IND,8,413,33,B Kumar,NM Lyon,10,1,11,38,97,39.17,Right-hand bat,186,136,3,4392,33.93,67.5,rob,0,IND,spin,no,9.7109375,29.1328125
2,1522,724,IND,8,413,33,B Kumar,NM Lyon,10,1,12,38,97,39.17,Right-hand bat,187,136,3,4392,33.93,67.5,rob,0,IND,spin,no,9.7109375,29.1328125
2,1523,725,IND,8,413,33,B Kumar,NM Lyon,10,1,13,38,97,39.17,Right-hand bat,188,136,3,4392,33.93,67.5,rob,0,IND,spin,no,9.7109375,29.1328125
2,1524,726,IND,8,413,33,B Kumar,NM Lyon,10,1,14,38,97,39.17,Right-hand bat,189,136,3,4392,33.93,67.5,rob,0,IND,spin,no,9.7109375,29.1328125
2,1525,727,IND,8,413,33,B Kumar,NM Lyon,10,1,15,38,97,39.17,Right-hand bat,190,136,3,4392,33.93,67.5,rob,1,IND,spin,no,9.7109375,29.1328125
2,1537,739,IND,8,421,41,B Kumar,NM Lyon,10,2,22,38,97,39.17,Right-hand bat,196,144,3,4392,33.93,67.5,rob,2b,IND,spin,no,9.7109375,29.1328125
2,1538,740,IND,8,423,43,B Kumar,NM Lyon,10,2,23,38,97,39.17,Right-hand bat,197,144,3,4392,33.93,67.5,rob,0,IND,spin,no,9.7109375,29.1328125
2,1580,782,IND,8,458,78,B Kumar,NM Lyon,10,4,36,38,97,39.17,Right-hand bat,209,156,3,4392,33.93,67.5,rob,0,IND,spin,no,9.7109375,29.1328125
2,1604,806,IND,8,484,104,B Kumar,NM Lyon,10,4,37,38,97,39.17,Right-hand bat,221,174,3,4392,33.93,67.5,rob,0,IND,spin,no,9.7109375,29.1328125
2,1615,817,IND,8,498,118,B Kumar,NM Lyon,10,8,39,38,97,39.17,Right-hand bat,226,177,3,4392,33.93,67.5,rob,0,IND,spin,no,9.7109375,29.1328125
2,1616,818,IND,8,498,118,B Kumar,NM Lyon,10,8,40,38,97,39.17,Right-hand bat,227,177,3,4392,33.93,67.5,rob,0,IND,spin,no,9.7109375,29.1328125
2,1624,826,IND,8,506,126,B Kumar,NM Lyon,10,13,45,38,97,39.17,Right-hand bat,229,178,3,4392,33.93,67.5,rob,0,IND,spin,no,9.7109375,29.1328125
2,1625,827,IND,8,506,126,B Kumar,NM Lyon,10,13,46,38,97,39.17,Right-hand bat,230,178,3,4392,33.93,67.5,rob,0,IND,spin,no,9.7109375,29.1328125
2,1626,828,IND,8,506,126,B Kumar,NM Lyon,10,13,47,38,97,39.17,Right-hand bat,231,178,3,4392,33.93,67.5,rob,0,IND,spin,no,9.7109375,29.1328125
2,1627,829,IND,8,506,126,B Kumar,NM Lyon,10,13,48,38,97,39.17,Right-hand bat,232,178,3,4392,33.93,67.5,rob,0,IND,spin,no,9.7109375,29.1328125
2,1628,830,IND,8,506,126,B Kumar,NM Lyon,10,13,49,38,97,39.17,Right-hand bat,233,178,3,4392,33.93,67.5,rob,2,IND,spin,no,9.7109375,29.1328125
