innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,7,7,IND,0,5,5,M Vijay,VD Philander,1,4,6,37.19,2395,48.14,Right-hand bat,1,1,0,3936.3,17.56,38.6,rfm,0,RSA,seam,yes,31.588750913075238,6.113951789627465
1,8,8,IND,0,5,5,M Vijay,VD Philander,1,4,7,37.19,2395,48.14,Right-hand bat,2,1,0,3936.3,17.56,38.6,rfm,0,RSA,seam,yes,31.588750913075238,6.113951789627465
1,9,9,IND,0,5,5,M Vijay,VD Philander,1,4,8,37.19,2395,48.14,Right-hand bat,3,1,0,3936.3,17.56,38.6,rfm,0,RSA,seam,yes,31.588750913075238,6.113951789627465
1,10,10,IND,0,5,5,M Vijay,VD Philander,1,4,9,37.19,2395,48.14,Right-hand bat,4,1,0,3936.3,17.56,38.6,rfm,0,RSA,seam,yes,31.588750913075238,6.113951789627465
1,11,11,IND,0,5,5,M Vijay,VD Philander,1,4,10,37.19,2395,48.14,Right-hand bat,5,1,0,3936.3,17.56,38.6,rfm,0,RSA,seam,yes,31.588750913075238,6.113951789627465
1,19,19,IND,0,7,7,M Vijay,VD Philander,1,4,14,37.19,2395,48.14,Right-hand bat,7,2,0,3936.3,17.56,38.6,rfm,0,RSA,seam,yes,31.588750913075238,6.113951789627465
1,20,20,IND,0,7,7,M Vijay,VD Philander,1,4,15,37.19,2395,48.14,Right-hand bat,8,2,0,3936.3,17.56,38.6,rfm,0,RSA,seam,yes,31.588750913075238,6.113951789627465
1,21,21,IND,0,7,7,M Vijay,VD Philander,1,4,16,37.19,2395,48.14,Right-hand bat,9,2,0,3936.3,17.56,38.6,rfm,0,RSA,seam,yes,31.588750913075238,6.113951789627465
1,22,22,IND,0,7,7,M Vijay,VD Philander,1,4,17,37.19,2395,48.14,Right-hand bat,10,2,0,3936.3,17.56,38.6,rfm,0,RSA,seam,yes,31.588750913075238,6.113951789627465
1,23,23,IND,0,7,7,M Vijay,VD Philander,1,4,18,37.19,2395,48.14,Right-hand bat,11,2,0,3936.3,17.56,38.6,rfm,0,RSA,seam,yes,31.588750913075238,6.113951789627465
1,56,56,IND,1,18,18,M Vijay,VD Philander,1,4,27,37.19,2395,48.14,Right-hand bat,26,8,0,3936.3,17.56,38.6,rfm,0,RSA,seam,yes,31.588750913075238,6.113951789627465
1,57,57,IND,1,18,18,M Vijay,VD Philander,1,4,28,37.19,2395,48.14,Right-hand bat,27,8,0,3936.3,17.56,38.6,rfm,2,RSA,seam,yes,31.588750913075238,6.113951789627465
1,58,58,IND,1,20,20,M Vijay,VD Philander,1,6,29,37.19,2395,48.14,Right-hand bat,28,10,0,3936.3,17.56,38.6,rfm,0,RSA,seam,yes,31.588750913075238,6.113951789627465
1,59,59,IND,1,20,20,M Vijay,VD Philander,1,6,30,37.19,2395,48.14,Right-hand bat,29,10,0,3936.3,17.56,38.6,rfm,0,RSA,seam,yes,31.588750913075238,6.113951789627465
