innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1543,869,RSA,7,426,92,F du Plessis,I Sharma,8,12,32,60.15,1845,42.38,Right-hand bat,171,96,0,10386.3,38.81,69.7,rfm,0,RSA,seam,no,23.560000000000002,13.640000000000002
2,1544,870,RSA,7,426,92,F du Plessis,I Sharma,8,12,33,60.15,1845,42.38,Right-hand bat,172,96,0,10386.3,38.81,69.7,rfm,0,RSA,seam,no,23.560000000000002,13.640000000000002
2,1545,871,RSA,7,426,92,F du Plessis,I Sharma,8,12,34,60.15,1845,42.38,Right-hand bat,173,96,0,10386.3,38.81,69.7,rfm,0,RSA,seam,no,23.560000000000002,13.640000000000002
2,1546,872,RSA,7,426,92,F du Plessis,I Sharma,8,12,35,60.15,1845,42.38,Right-hand bat,174,96,0,10386.3,38.81,69.7,rfm,0,RSA,seam,no,23.560000000000002,13.640000000000002
2,1547,873,RSA,7,426,92,F du Plessis,I Sharma,8,12,36,60.15,1845,42.38,Right-hand bat,175,96,0,10386.3,38.81,69.7,rfm,1,RSA,seam,no,23.560000000000002,13.640000000000002
2,1563,889,RSA,7,449,115,F du Plessis,I Sharma,8,15,42,60.15,1845,42.38,Right-hand bat,179,103,0,10386.3,38.81,69.7,rfm,0,RSA,seam,no,23.560000000000002,13.640000000000002
2,1564,890,RSA,7,449,115,F du Plessis,I Sharma,8,15,43,60.15,1845,42.38,Right-hand bat,180,103,0,10386.3,38.81,69.7,rfm,0,RSA,seam,no,23.560000000000002,13.640000000000002
2,1565,891,RSA,7,449,115,F du Plessis,I Sharma,8,15,44,60.15,1845,42.38,Right-hand bat,181,103,0,10386.3,38.81,69.7,rfm,0,RSA,seam,no,23.560000000000002,13.640000000000002
2,1566,892,RSA,7,449,115,F du Plessis,I Sharma,8,15,45,60.15,1845,42.38,Right-hand bat,182,103,0,10386.3,38.81,69.7,rfm,1,RSA,seam,no,23.560000000000002,13.640000000000002
2,1574,900,RSA,7,459,125,F du Plessis,I Sharma,8,24,52,60.15,1845,42.38,Right-hand bat,184,105,0,10386.3,38.81,69.7,rfm,0,RSA,seam,no,23.560000000000002,13.640000000000002
2,1575,901,RSA,7,459,125,F du Plessis,I Sharma,8,24,53,60.15,1845,42.38,Right-hand bat,185,105,0,10386.3,38.81,69.7,rfm,0,RSA,seam,no,23.560000000000002,13.640000000000002
2,1576,902,RSA,7,459,125,F du Plessis,I Sharma,8,24,54,60.15,1845,42.38,Right-hand bat,186,105,0,10386.3,38.81,69.7,rfm,4,RSA,seam,no,23.560000000000002,13.640000000000002
2,1577,903,RSA,7,463,129,F du Plessis,I Sharma,8,28,55,60.15,1845,42.38,Right-hand bat,187,109,0,10386.3,38.81,69.7,rfm,1,RSA,seam,no,23.560000000000002,13.640000000000002
