innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,6,6,AUS,0,8,8,DA Warner,VD Philander,2,0,0,46.54,3363,73.35,Left-hand bat,0,0,0,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,7,7,AUS,0,8,8,DA Warner,VD Philander,2,0,1,46.54,3363,73.35,Left-hand bat,1,0,0,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,8,8,AUS,0,8,8,DA Warner,VD Philander,2,0,2,46.54,3363,73.35,Left-hand bat,2,0,0,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,9,9,AUS,0,8,8,DA Warner,VD Philander,2,0,3,46.54,3363,73.35,Left-hand bat,3,0,0,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,10,10,AUS,0,8,8,DA Warner,VD Philander,2,0,4,46.54,3363,73.35,Left-hand bat,4,0,0,4746.1,20.11,42.3,rfm,1,RSA,seam,yes,34.251953125,7.904296875
1,19,19,AUS,0,22,22,DA Warner,VD Philander,2,10,10,46.54,3363,73.35,Left-hand bat,7,4,0,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,20,20,AUS,0,22,22,DA Warner,VD Philander,2,10,11,46.54,3363,73.35,Left-hand bat,8,4,0,4746.1,20.11,42.3,rfm,4,RSA,seam,yes,34.251953125,7.904296875
1,21,21,AUS,0,26,26,DA Warner,VD Philander,2,14,12,46.54,3363,73.35,Left-hand bat,9,8,0,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,22,22,AUS,0,26,26,DA Warner,VD Philander,2,14,13,46.54,3363,73.35,Left-hand bat,10,8,0,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,23,23,AUS,0,26,26,DA Warner,VD Philander,2,14,14,46.54,3363,73.35,Left-hand bat,11,8,0,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,30,30,AUS,0,30,30,DA Warner,VD Philander,2,14,15,46.54,3363,73.35,Left-hand bat,12,8,0,4746.1,20.11,42.3,rfm,4,RSA,seam,yes,34.251953125,7.904296875
1,31,31,AUS,0,34,34,DA Warner,VD Philander,2,18,16,46.54,3363,73.35,Left-hand bat,13,12,0,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,32,32,AUS,0,34,34,DA Warner,VD Philander,2,18,17,46.54,3363,73.35,Left-hand bat,14,12,0,4746.1,20.11,42.3,rfm,4,RSA,seam,yes,34.251953125,7.904296875
1,33,33,AUS,0,38,38,DA Warner,VD Philander,2,22,18,46.54,3363,73.35,Left-hand bat,15,16,0,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,34,34,AUS,0,38,38,DA Warner,VD Philander,2,22,19,46.54,3363,73.35,Left-hand bat,16,16,0,4746.1,20.11,42.3,rfm,4,RSA,seam,yes,34.251953125,7.904296875
1,35,35,AUS,0,42,42,DA Warner,VD Philander,2,26,20,46.54,3363,73.35,Left-hand bat,17,20,0,4746.1,20.11,42.3,rfm,1,RSA,seam,yes,34.251953125,7.904296875
1,42,42,AUS,0,46,46,DA Warner,VD Philander,2,30,27,46.54,3363,73.35,Left-hand bat,18,21,0,4746.1,20.11,42.3,rfm,1,RSA,seam,yes,34.251953125,7.904296875
1,132,132,AUS,1,105,105,DA Warner,VD Philander,2,67,63,46.54,3363,73.35,Left-hand bat,24,22,0,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,133,133,AUS,1,105,105,DA Warner,VD Philander,2,67,64,46.54,3363,73.35,Left-hand bat,25,22,0,4746.1,20.11,42.3,rfm,3,RSA,seam,yes,34.251953125,7.904296875
1,145,145,AUS,1,114,114,DA Warner,VD Philander,2,71,66,46.54,3363,73.35,Left-hand bat,30,25,0,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,146,146,AUS,1,114,114,DA Warner,VD Philander,2,71,67,46.54,3363,73.35,Left-hand bat,31,25,0,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,147,147,AUS,1,114,114,DA Warner,VD Philander,2,71,68,46.54,3363,73.35,Left-hand bat,32,25,0,4746.1,20.11,42.3,rfm,1,RSA,seam,yes,34.251953125,7.904296875
1,175,175,AUS,1,121,121,DA Warner,VD Philander,2,76,76,46.54,3363,73.35,Left-hand bat,42,27,0,4746.1,20.11,42.3,rfm,1,RSA,seam,yes,34.251953125,7.904296875
1,190,190,AUS,2,138,138,DA Warner,VD Philander,2,88,82,46.54,3363,73.35,Left-hand bat,51,32,1,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,191,191,AUS,2,138,138,DA Warner,VD Philander,2,88,83,46.54,3363,73.35,Left-hand bat,52,32,1,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,192,192,AUS,2,138,138,DA Warner,VD Philander,2,88,84,46.54,3363,73.35,Left-hand bat,53,32,1,4746.1,20.11,42.3,rfm,1,RSA,seam,yes,34.251953125,7.904296875
1,303,303,AUS,2,189,189,DA Warner,VD Philander,2,119,130,46.54,3363,73.35,Left-hand bat,60,37,1,4746.1,20.11,42.3,rfm,1,RSA,seam,yes,34.251953125,7.904296875
1,315,315,AUS,2,195,195,DA Warner,VD Philander,2,121,132,46.54,3363,73.35,Left-hand bat,66,42,1,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,316,316,AUS,2,195,195,DA Warner,VD Philander,2,121,133,46.54,3363,73.35,Left-hand bat,67,42,1,4746.1,20.11,42.3,rfm,0,RSA,seam,yes,34.251953125,7.904296875
1,317,317,AUS,2,195,195,DA Warner,VD Philander,2,121,134,46.54,3363,73.35,Left-hand bat,68,42,1,4746.1,20.11,42.3,rfm,2,RSA,seam,yes,34.251953125,7.904296875
1,318,318,AUS,2,197,197,DA Warner,VD Philander,2,123,135,46.54,3363,73.35,Left-hand bat,69,44,1,4746.1,20.11,42.3,rfm,1,RSA,seam,yes,34.251953125,7.904296875
