innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1366,399,ENG,4,187,-270,MM Ali,Mohammed Shami,6,6,16,44,422,41.7,Left-hand bat,73,44,1,1518,31.86,52.3,rf,0,ENG,seam,no,39.952437574316285,6.3923900118906065
2,1367,400,ENG,4,187,-270,MM Ali,Mohammed Shami,6,6,17,44,422,41.7,Left-hand bat,74,44,1,1518,31.86,52.3,rf,0,ENG,seam,no,39.952437574316285,6.3923900118906065
2,1368,401,ENG,4,187,-270,MM Ali,Mohammed Shami,6,6,18,44,422,41.7,Left-hand bat,75,44,1,1518,31.86,52.3,rf,0,ENG,seam,no,39.952437574316285,6.3923900118906065
2,1369,402,ENG,4,187,-270,MM Ali,Mohammed Shami,6,6,19,44,422,41.7,Left-hand bat,76,44,1,1518,31.86,52.3,rf,0,ENG,seam,no,39.952437574316285,6.3923900118906065
2,1370,403,ENG,4,187,-270,MM Ali,Mohammed Shami,6,6,20,44,422,41.7,Left-hand bat,77,44,1,1518,31.86,52.3,rf,0,ENG,seam,no,39.952437574316285,6.3923900118906065
2,1371,404,ENG,4,187,-270,MM Ali,Mohammed Shami,6,6,21,44,422,41.7,Left-hand bat,78,44,1,1518,31.86,52.3,rf,0,ENG,seam,no,39.952437574316285,6.3923900118906065
2,1378,411,ENG,4,187,-270,MM Ali,Mohammed Shami,6,6,22,44,422,41.7,Left-hand bat,79,44,1,1518,31.86,52.3,rf,4,ENG,seam,no,39.952437574316285,6.3923900118906065
2,1379,412,ENG,4,191,-266,MM Ali,Mohammed Shami,6,10,23,44,422,41.7,Left-hand bat,80,48,1,1518,31.86,52.3,rf,0,ENG,seam,no,39.952437574316285,6.3923900118906065
2,1380,413,ENG,4,191,-266,MM Ali,Mohammed Shami,6,10,24,44,422,41.7,Left-hand bat,81,48,1,1518,31.86,52.3,rf,0,ENG,seam,no,39.952437574316285,6.3923900118906065
2,1381,414,ENG,4,191,-266,MM Ali,Mohammed Shami,6,10,25,44,422,41.7,Left-hand bat,82,48,1,1518,31.86,52.3,rf,0,ENG,seam,no,39.952437574316285,6.3923900118906065
2,1382,415,ENG,4,191,-266,MM Ali,Mohammed Shami,6,10,26,44,422,41.7,Left-hand bat,83,48,1,1518,31.86,52.3,rf,0,ENG,seam,no,39.952437574316285,6.3923900118906065
2,1383,416,ENG,4,191,-266,MM Ali,Mohammed Shami,6,10,27,44,422,41.7,Left-hand bat,84,48,1,1518,31.86,52.3,rf,4,ENG,seam,no,39.952437574316285,6.3923900118906065
2,1390,423,ENG,4,197,-260,MM Ali,Mohammed Shami,6,14,28,44,422,41.7,Left-hand bat,85,52,1,1518,31.86,52.3,rf,0,ENG,seam,no,39.952437574316285,6.3923900118906065
2,1391,424,ENG,4,197,-260,MM Ali,Mohammed Shami,6,14,29,44,422,41.7,Left-hand bat,86,52,1,1518,31.86,52.3,rf,W,ENG,seam,no,39.952437574316285,6.3923900118906065
