innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1090,539,ENG,6,225,-70,LE Plunkett,B Kumar,7,7,25,15.86,509,46.75,Right-hand bat,144,48,4,1086.5,26.3,54.5,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1091,540,ENG,6,225,-70,LE Plunkett,B Kumar,7,7,26,15.86,509,46.75,Right-hand bat,145,48,4,1086.5,26.3,54.5,rm,1,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1102,551,ENG,6,239,-56,LE Plunkett,B Kumar,7,8,27,15.86,509,46.75,Right-hand bat,150,54,4,1086.5,26.3,54.5,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1103,552,ENG,6,239,-56,LE Plunkett,B Kumar,7,8,28,15.86,509,46.75,Right-hand bat,151,54,4,1086.5,26.3,54.5,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1104,553,ENG,6,239,-56,LE Plunkett,B Kumar,7,8,29,15.86,509,46.75,Right-hand bat,152,54,4,1086.5,26.3,54.5,rm,4,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1105,554,ENG,6,243,-52,LE Plunkett,B Kumar,7,12,30,15.86,509,46.75,Right-hand bat,153,58,4,1086.5,26.3,54.5,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1106,555,ENG,6,243,-52,LE Plunkett,B Kumar,7,12,31,15.86,509,46.75,Right-hand bat,154,58,4,1086.5,26.3,54.5,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1107,556,ENG,6,243,-52,LE Plunkett,B Kumar,7,12,32,15.86,509,46.75,Right-hand bat,155,58,4,1086.5,26.3,54.5,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1156,605,ENG,9,285,-10,LE Plunkett,B Kumar,7,37,62,15.86,509,46.75,Right-hand bat,168,66,6,1086.5,26.3,54.5,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1157,606,ENG,9,285,-10,LE Plunkett,B Kumar,7,37,63,15.86,509,46.75,Right-hand bat,169,66,6,1086.5,26.3,54.5,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1158,607,ENG,9,285,-10,LE Plunkett,B Kumar,7,37,64,15.86,509,46.75,Right-hand bat,170,66,6,1086.5,26.3,54.5,rm,1,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1161,610,ENG,9,287,-8,LE Plunkett,B Kumar,7,38,65,15.86,509,46.75,Right-hand bat,173,68,6,1086.5,26.3,54.5,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1168,617,ENG,9,293,-2,LE Plunkett,B Kumar,7,39,67,15.86,509,46.75,Right-hand bat,174,68,6,1086.5,26.3,54.5,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1169,618,ENG,9,293,-2,LE Plunkett,B Kumar,7,39,68,15.86,509,46.75,Right-hand bat,175,68,6,1086.5,26.3,54.5,rm,1,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1180,629,ENG,9,305,10,LE Plunkett,B Kumar,7,41,71,15.86,509,46.75,Right-hand bat,180,73,6,1086.5,26.3,54.5,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1181,630,ENG,9,305,10,LE Plunkett,B Kumar,7,41,72,15.86,509,46.75,Right-hand bat,181,73,6,1086.5,26.3,54.5,rm,4,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1182,631,ENG,9,309,14,LE Plunkett,B Kumar,7,45,73,15.86,509,46.75,Right-hand bat,182,77,6,1086.5,26.3,54.5,rm,4,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,1183,632,ENG,9,313,18,LE Plunkett,B Kumar,7,49,74,15.86,509,46.75,Right-hand bat,183,81,6,1086.5,26.3,54.5,rm,1,ENG,seam,yes,23.580000000000002,5.8950000000000005
