innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1727,98,ENG,2,53,175,GS Ballance,KMDN Kulasekara,3,1,6,50.66,306,49.67,Left-hand bat,42,26,0,3564.3,37.37,74.3,rfm,2,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1728,99,ENG,2,55,177,GS Ballance,KMDN Kulasekara,3,3,7,50.66,306,49.67,Left-hand bat,43,28,0,3564.3,37.37,74.3,rfm,1,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1730,101,ENG,2,59,181,GS Ballance,KMDN Kulasekara,3,4,8,50.66,306,49.67,Left-hand bat,45,32,0,3564.3,37.37,74.3,rfm,0,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1731,102,ENG,2,59,181,GS Ballance,KMDN Kulasekara,3,4,9,50.66,306,49.67,Left-hand bat,46,32,0,3564.3,37.37,74.3,rfm,0,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1732,103,ENG,2,59,181,GS Ballance,KMDN Kulasekara,3,4,10,50.66,306,49.67,Left-hand bat,47,32,0,3564.3,37.37,74.3,rfm,4,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1739,110,ENG,2,63,185,GS Ballance,KMDN Kulasekara,3,8,11,50.66,306,49.67,Left-hand bat,48,36,0,3564.3,37.37,74.3,rfm,1,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1751,122,ENG,3,69,191,GS Ballance,KMDN Kulasekara,3,9,12,50.66,306,49.67,Left-hand bat,54,41,0,3564.3,37.37,74.3,rfm,0,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1752,123,ENG,3,69,191,GS Ballance,KMDN Kulasekara,3,9,13,50.66,306,49.67,Left-hand bat,55,41,0,3564.3,37.37,74.3,rfm,0,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1753,124,ENG,3,69,191,GS Ballance,KMDN Kulasekara,3,9,14,50.66,306,49.67,Left-hand bat,56,41,0,3564.3,37.37,74.3,rfm,4,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1754,125,ENG,3,73,195,GS Ballance,KMDN Kulasekara,3,13,15,50.66,306,49.67,Left-hand bat,57,45,0,3564.3,37.37,74.3,rfm,0,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1755,126,ENG,3,73,195,GS Ballance,KMDN Kulasekara,3,13,16,50.66,306,49.67,Left-hand bat,58,45,0,3564.3,37.37,74.3,rfm,0,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1756,127,ENG,3,73,195,GS Ballance,KMDN Kulasekara,3,13,17,50.66,306,49.67,Left-hand bat,59,45,0,3564.3,37.37,74.3,rfm,1,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1865,236,ENG,6,126,248,GS Ballance,KMDN Kulasekara,3,27,76,50.66,306,49.67,Left-hand bat,66,50,1,3564.3,37.37,74.3,rfm,0,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1866,237,ENG,6,126,248,GS Ballance,KMDN Kulasekara,3,27,77,50.66,306,49.67,Left-hand bat,67,50,1,3564.3,37.37,74.3,rfm,4,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1867,238,ENG,6,130,252,GS Ballance,KMDN Kulasekara,3,31,78,50.66,306,49.67,Left-hand bat,68,54,1,3564.3,37.37,74.3,rfm,1,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1877,248,ENG,6,134,256,GS Ballance,KMDN Kulasekara,3,34,83,50.66,306,49.67,Left-hand bat,72,55,1,3564.3,37.37,74.3,rfm,0,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1878,249,ENG,6,134,256,GS Ballance,KMDN Kulasekara,3,34,84,50.66,306,49.67,Left-hand bat,73,55,1,3564.3,37.37,74.3,rfm,0,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1879,250,ENG,6,134,256,GS Ballance,KMDN Kulasekara,3,34,85,50.66,306,49.67,Left-hand bat,74,55,1,3564.3,37.37,74.3,rfm,0,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1880,251,ENG,6,134,256,GS Ballance,KMDN Kulasekara,3,34,86,50.66,306,49.67,Left-hand bat,75,55,1,3564.3,37.37,74.3,rfm,0,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1881,252,ENG,6,134,256,GS Ballance,KMDN Kulasekara,3,34,87,50.66,306,49.67,Left-hand bat,76,55,1,3564.3,37.37,74.3,rfm,0,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1882,253,ENG,6,134,256,GS Ballance,KMDN Kulasekara,3,34,88,50.66,306,49.67,Left-hand bat,77,55,1,3564.3,37.37,74.3,rfm,0,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1889,260,ENG,6,140,262,GS Ballance,KMDN Kulasekara,3,34,89,50.66,306,49.67,Left-hand bat,78,55,1,3564.3,37.37,74.3,rfm,0,ENG,seam,no,34.62962962962963,6.9259259259259265
3,1890,261,ENG,6,140,262,GS Ballance,KMDN Kulasekara,3,34,90,50.66,306,49.67,Left-hand bat,79,55,1,3564.3,37.37,74.3,rfm,1,ENG,seam,no,34.62962962962963,6.9259259259259265
