innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,17,17,IND,1,11,11,CA Pujara,MA Starc,3,0,0,49.84,7252,48.8,Right-hand bat,11,11,1,7350.5,28.35,49.6,lf,0,IND,seam,yes,7.446249999999999,13.82875
1,24,24,IND,1,15,15,CA Pujara,MA Starc,3,0,1,49.84,7252,48.8,Right-hand bat,12,11,1,7350.5,28.35,49.6,lf,0,IND,seam,yes,7.446249999999999,13.82875
1,25,25,IND,1,15,15,CA Pujara,MA Starc,3,0,2,49.84,7252,48.8,Right-hand bat,13,11,1,7350.5,28.35,49.6,lf,0,IND,seam,yes,7.446249999999999,13.82875
1,26,26,IND,1,15,15,CA Pujara,MA Starc,3,0,3,49.84,7252,48.8,Right-hand bat,14,11,1,7350.5,28.35,49.6,lf,0,IND,seam,yes,7.446249999999999,13.82875
1,27,27,IND,1,15,15,CA Pujara,MA Starc,3,0,4,49.84,7252,48.8,Right-hand bat,15,11,1,7350.5,28.35,49.6,lf,0,IND,seam,yes,7.446249999999999,13.82875
1,28,28,IND,1,15,15,CA Pujara,MA Starc,3,0,5,49.84,7252,48.8,Right-hand bat,16,11,1,7350.5,28.35,49.6,lf,0,IND,seam,yes,7.446249999999999,13.82875
1,29,29,IND,1,15,15,CA Pujara,MA Starc,3,0,6,49.84,7252,48.8,Right-hand bat,17,11,1,7350.5,28.35,49.6,lf,0,IND,seam,yes,7.446249999999999,13.82875
1,36,36,IND,1,15,15,CA Pujara,MA Starc,3,0,7,49.84,7252,48.8,Right-hand bat,18,11,1,7350.5,28.35,49.6,lf,0,IND,seam,yes,7.446249999999999,13.82875
1,37,37,IND,1,15,15,CA Pujara,MA Starc,3,0,8,49.84,7252,48.8,Right-hand bat,19,11,1,7350.5,28.35,49.6,lf,0,IND,seam,yes,7.446249999999999,13.82875
1,38,38,IND,1,15,15,CA Pujara,MA Starc,3,0,9,49.84,7252,48.8,Right-hand bat,20,11,1,7350.5,28.35,49.6,lf,1lb,IND,seam,yes,7.446249999999999,13.82875
1,156,156,IND,1,71,71,CA Pujara,MA Starc,3,16,55,49.84,7252,48.8,Right-hand bat,42,17,1,7350.5,28.35,49.6,lf,0,IND,seam,yes,7.446249999999999,13.82875
1,157,157,IND,1,71,71,CA Pujara,MA Starc,3,16,56,49.84,7252,48.8,Right-hand bat,43,17,1,7350.5,28.35,49.6,lf,0,IND,seam,yes,7.446249999999999,13.82875
1,158,158,IND,1,71,71,CA Pujara,MA Starc,3,16,57,49.84,7252,48.8,Right-hand bat,44,17,1,7350.5,28.35,49.6,lf,0,IND,seam,yes,7.446249999999999,13.82875
1,159,159,IND,1,71,71,CA Pujara,MA Starc,3,16,58,49.84,7252,48.8,Right-hand bat,45,17,1,7350.5,28.35,49.6,lf,0,IND,seam,yes,7.446249999999999,13.82875
1,160,160,IND,1,71,71,CA Pujara,MA Starc,3,16,59,49.84,7252,48.8,Right-hand bat,46,17,1,7350.5,28.35,49.6,lf,0,IND,seam,yes,7.446249999999999,13.82875
1,161,161,IND,1,71,71,CA Pujara,MA Starc,3,16,60,49.84,7252,48.8,Right-hand bat,47,17,1,7350.5,28.35,49.6,lf,1,IND,seam,yes,7.446249999999999,13.82875
