innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,427,6,ENG,0,0,-257,SD Robson,RMS Eranga,2,0,0,42.75,371,46.09,Right-hand bat,0,0,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,428,7,ENG,0,0,-257,SD Robson,RMS Eranga,2,0,1,42.75,371,46.09,Right-hand bat,1,0,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,429,8,ENG,0,0,-257,SD Robson,RMS Eranga,2,0,2,42.75,371,46.09,Right-hand bat,2,0,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,430,9,ENG,0,0,-257,SD Robson,RMS Eranga,2,0,3,42.75,371,46.09,Right-hand bat,3,0,0,2892.5,31.79,59.1,rfm,1,ENG,seam,yes,28.220000000000006,4.98
2,439,18,ENG,0,6,-251,SD Robson,RMS Eranga,2,1,4,42.75,371,46.09,Right-hand bat,6,2,0,2892.5,31.79,59.1,rfm,1,ENG,seam,yes,28.220000000000006,4.98
2,443,22,ENG,0,9,-248,SD Robson,RMS Eranga,2,2,5,42.75,371,46.09,Right-hand bat,10,5,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,444,23,ENG,0,9,-248,SD Robson,RMS Eranga,2,2,6,42.75,371,46.09,Right-hand bat,11,5,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,445,24,ENG,0,9,-248,SD Robson,RMS Eranga,2,2,7,42.75,371,46.09,Right-hand bat,12,5,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,476,55,ENG,0,21,-236,SD Robson,RMS Eranga,2,12,22,42.75,371,46.09,Right-hand bat,25,5,0,2892.5,31.79,59.1,rfm,3,ENG,seam,yes,28.220000000000006,4.98
2,480,59,ENG,0,25,-232,SD Robson,RMS Eranga,2,15,23,42.75,371,46.09,Right-hand bat,29,9,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,481,60,ENG,0,25,-232,SD Robson,RMS Eranga,2,15,24,42.75,371,46.09,Right-hand bat,30,9,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,488,67,ENG,0,25,-232,SD Robson,RMS Eranga,2,15,25,42.75,371,46.09,Right-hand bat,31,9,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,489,68,ENG,0,25,-232,SD Robson,RMS Eranga,2,15,26,42.75,371,46.09,Right-hand bat,32,9,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,490,69,ENG,0,25,-232,SD Robson,RMS Eranga,2,15,27,42.75,371,46.09,Right-hand bat,33,9,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,491,70,ENG,0,25,-232,SD Robson,RMS Eranga,2,15,28,42.75,371,46.09,Right-hand bat,34,9,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,492,71,ENG,0,25,-232,SD Robson,RMS Eranga,2,15,29,42.75,371,46.09,Right-hand bat,35,9,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,493,72,ENG,0,25,-232,SD Robson,RMS Eranga,2,15,30,42.75,371,46.09,Right-hand bat,36,9,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,526,105,ENG,0,49,-208,SD Robson,RMS Eranga,2,31,47,42.75,371,46.09,Right-hand bat,45,12,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,527,106,ENG,0,49,-208,SD Robson,RMS Eranga,2,31,48,42.75,371,46.09,Right-hand bat,46,12,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,528,107,ENG,0,49,-208,SD Robson,RMS Eranga,2,31,49,42.75,371,46.09,Right-hand bat,47,12,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,529,108,ENG,0,49,-208,SD Robson,RMS Eranga,2,31,50,42.75,371,46.09,Right-hand bat,48,12,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,536,115,ENG,1,49,-208,SD Robson,RMS Eranga,2,31,51,42.75,371,46.09,Right-hand bat,49,12,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,537,116,ENG,1,49,-208,SD Robson,RMS Eranga,2,31,52,42.75,371,46.09,Right-hand bat,50,12,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,538,117,ENG,1,49,-208,SD Robson,RMS Eranga,2,31,53,42.75,371,46.09,Right-hand bat,51,12,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,539,118,ENG,1,49,-208,SD Robson,RMS Eranga,2,31,54,42.75,371,46.09,Right-hand bat,52,12,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,540,119,ENG,1,49,-208,SD Robson,RMS Eranga,2,31,55,42.75,371,46.09,Right-hand bat,53,12,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,541,120,ENG,1,49,-208,SD Robson,RMS Eranga,2,31,56,42.75,371,46.09,Right-hand bat,54,12,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,548,127,ENG,1,53,-204,SD Robson,RMS Eranga,2,31,57,42.75,371,46.09,Right-hand bat,55,12,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,549,128,ENG,1,53,-204,SD Robson,RMS Eranga,2,31,58,42.75,371,46.09,Right-hand bat,56,12,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,550,129,ENG,1,53,-204,SD Robson,RMS Eranga,2,31,59,42.75,371,46.09,Right-hand bat,57,12,0,2892.5,31.79,59.1,rfm,0,ENG,seam,yes,28.220000000000006,4.98
2,551,130,ENG,1,53,-204,SD Robson,RMS Eranga,2,31,60,42.75,371,46.09,Right-hand bat,58,12,0,2892.5,31.79,59.1,rfm,1nb,ENG,seam,yes,28.220000000000006,4.98
2,552,131,ENG,1,54,-203,SD Robson,RMS Eranga,2,31,61,42.75,371,46.09,Right-hand bat,59,13,0,2892.5,31.79,59.1,rfm,4,ENG,seam,yes,28.220000000000006,4.98
