innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1443,87,WIN,2,28,-64,MN Samuels,M Morkel,4,0,1,35.72,6643,48.93,Right-hand bat,15,5,1,12060.2,29.35,55.5,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
3,1444,88,WIN,2,28,-64,MN Samuels,M Morkel,4,0,2,35.72,6643,48.93,Right-hand bat,16,5,1,12060.2,29.35,55.5,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
3,1445,89,WIN,2,28,-64,MN Samuels,M Morkel,4,0,3,35.72,6643,48.93,Right-hand bat,17,5,1,12060.2,29.35,55.5,rf,1,RSA,seam,yes,18.0791015625,15.9521484375
3,1464,108,WIN,2,36,-56,MN Samuels,M Morkel,4,7,14,35.72,6643,48.93,Right-hand bat,24,6,1,12060.2,29.35,55.5,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
3,1465,109,WIN,2,36,-56,MN Samuels,M Morkel,4,7,15,35.72,6643,48.93,Right-hand bat,25,6,1,12060.2,29.35,55.5,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
3,1466,110,WIN,2,36,-56,MN Samuels,M Morkel,4,7,16,35.72,6643,48.93,Right-hand bat,26,6,1,12060.2,29.35,55.5,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
3,1467,111,WIN,2,36,-56,MN Samuels,M Morkel,4,7,17,35.72,6643,48.93,Right-hand bat,27,6,1,12060.2,29.35,55.5,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
3,1468,112,WIN,2,36,-56,MN Samuels,M Morkel,4,7,18,35.72,6643,48.93,Right-hand bat,28,6,1,12060.2,29.35,55.5,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
3,1469,113,WIN,2,36,-56,MN Samuels,M Morkel,4,7,19,35.72,6643,48.93,Right-hand bat,29,6,1,12060.2,29.35,55.5,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
3,1560,204,WIN,2,88,-4,MN Samuels,M Morkel,4,26,57,35.72,6643,48.93,Right-hand bat,36,10,1,12060.2,29.35,55.5,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
