innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,848,21,IND,0,4,-447,M Vijay,PJ Cummins,2,1,10,40.34,7289,46.49,Right-hand bat,9,1,0,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,849,22,IND,0,4,-447,M Vijay,PJ Cummins,2,1,11,40.34,7289,46.49,Right-hand bat,10,1,0,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,850,23,IND,0,4,-447,M Vijay,PJ Cummins,2,1,12,40.34,7289,46.49,Right-hand bat,11,1,0,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,874,47,IND,0,20,-431,M Vijay,PJ Cummins,2,2,17,40.34,7289,46.49,Right-hand bat,23,14,0,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,970,143,IND,0,74,-377,M Vijay,PJ Cummins,2,21,67,40.34,7289,46.49,Right-hand bat,29,15,0,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,977,150,IND,0,80,-371,M Vijay,PJ Cummins,2,21,68,40.34,7289,46.49,Right-hand bat,30,15,0,498,20.27,45.2,rf,1,IND,seam,no,18.1152,32.2048
2,992,165,IND,0,84,-367,M Vijay,PJ Cummins,2,23,71,40.34,7289,46.49,Right-hand bat,39,17,0,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,993,166,IND,0,84,-367,M Vijay,PJ Cummins,2,23,72,40.34,7289,46.49,Right-hand bat,40,17,0,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,994,167,IND,0,84,-367,M Vijay,PJ Cummins,2,23,73,40.34,7289,46.49,Right-hand bat,41,17,0,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,1003,176,IND,0,90,-361,M Vijay,PJ Cummins,2,23,76,40.34,7289,46.49,Right-hand bat,44,18,0,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,1004,177,IND,0,90,-361,M Vijay,PJ Cummins,2,23,77,40.34,7289,46.49,Right-hand bat,45,18,0,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,1005,178,IND,0,90,-361,M Vijay,PJ Cummins,2,23,78,40.34,7289,46.49,Right-hand bat,46,18,0,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,1006,179,IND,0,90,-361,M Vijay,PJ Cummins,2,23,79,40.34,7289,46.49,Right-hand bat,47,18,0,498,20.27,45.2,rf,1lb,IND,seam,no,18.1152,32.2048
2,1127,300,IND,1,133,-318,M Vijay,PJ Cummins,2,50,129,40.34,7289,46.49,Right-hand bat,66,22,1,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,1128,301,IND,1,133,-318,M Vijay,PJ Cummins,2,50,130,40.34,7289,46.49,Right-hand bat,67,22,1,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,1129,302,IND,1,133,-318,M Vijay,PJ Cummins,2,50,131,40.34,7289,46.49,Right-hand bat,68,22,1,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,1130,303,IND,1,133,-318,M Vijay,PJ Cummins,2,50,132,40.34,7289,46.49,Right-hand bat,69,22,1,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,1131,304,IND,1,133,-318,M Vijay,PJ Cummins,2,50,133,40.34,7289,46.49,Right-hand bat,70,22,1,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
2,1132,305,IND,1,133,-318,M Vijay,PJ Cummins,2,50,134,40.34,7289,46.49,Right-hand bat,71,22,1,498,20.27,45.2,rf,0,IND,seam,no,18.1152,32.2048
