innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,482,482,AUS,8,272,272,NM Lyon,Kuldeep Yadav,10,1,1,12.2,1499,44.76,Right-hand bat,122,54,4,168,22.75,42,lc,0,IND,spin,yes,11.1083984375,16.2353515625
1,483,483,AUS,8,272,272,NM Lyon,Kuldeep Yadav,10,1,2,12.2,1499,44.76,Right-hand bat,123,54,4,168,22.75,42,lc,0,IND,spin,yes,11.1083984375,16.2353515625
1,484,484,AUS,8,272,272,NM Lyon,Kuldeep Yadav,10,1,3,12.2,1499,44.76,Right-hand bat,124,54,4,168,22.75,42,lc,2,IND,spin,yes,11.1083984375,16.2353515625
1,485,485,AUS,8,274,274,NM Lyon,Kuldeep Yadav,10,3,4,12.2,1499,44.76,Right-hand bat,125,56,4,168,22.75,42,lc,0,IND,spin,yes,11.1083984375,16.2353515625
1,492,492,AUS,8,280,280,NM Lyon,Kuldeep Yadav,10,4,6,12.2,1499,44.76,Right-hand bat,126,56,4,168,22.75,42,lc,0,IND,spin,yes,11.1083984375,16.2353515625
1,493,493,AUS,8,280,280,NM Lyon,Kuldeep Yadav,10,4,7,12.2,1499,44.76,Right-hand bat,127,56,4,168,22.75,42,lc,0,IND,spin,yes,11.1083984375,16.2353515625
1,494,494,AUS,8,280,280,NM Lyon,Kuldeep Yadav,10,4,8,12.2,1499,44.76,Right-hand bat,128,56,4,168,22.75,42,lc,1,IND,spin,yes,11.1083984375,16.2353515625
1,506,506,AUS,8,284,284,NM Lyon,Kuldeep Yadav,10,5,15,12.2,1499,44.76,Right-hand bat,134,60,4,168,22.75,42,lc,4,IND,spin,yes,11.1083984375,16.2353515625
1,507,507,AUS,8,288,288,NM Lyon,Kuldeep Yadav,10,9,16,12.2,1499,44.76,Right-hand bat,135,64,4,168,22.75,42,lc,4,IND,spin,yes,11.1083984375,16.2353515625
1,508,508,AUS,8,292,292,NM Lyon,Kuldeep Yadav,10,13,17,12.2,1499,44.76,Right-hand bat,136,68,4,168,22.75,42,lc,0,IND,spin,yes,11.1083984375,16.2353515625
1,509,509,AUS,8,292,292,NM Lyon,Kuldeep Yadav,10,13,18,12.2,1499,44.76,Right-hand bat,137,68,4,168,22.75,42,lc,0,IND,spin,yes,11.1083984375,16.2353515625
