innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1232,672,RSA,5,277,21,JP Duminy,SC Williams,7,0,3,36.57,2988,42.83,Left-hand bat,95,56,0,168.4,56.5,86,lo,0,ZIM,spin,no,14.618106139438087,13.704474505723207
2,1240,680,RSA,5,279,23,JP Duminy,SC Williams,7,0,8,36.57,2988,42.83,Left-hand bat,97,57,0,168.4,56.5,86,lo,0,ZIM,spin,no,14.618106139438087,13.704474505723207
2,1241,681,RSA,5,279,23,JP Duminy,SC Williams,7,0,9,36.57,2988,42.83,Left-hand bat,98,57,0,168.4,56.5,86,lo,4,ZIM,spin,no,14.618106139438087,13.704474505723207
2,1242,682,RSA,5,283,27,JP Duminy,SC Williams,7,4,10,36.57,2988,42.83,Left-hand bat,99,61,0,168.4,56.5,86,lo,0,ZIM,spin,no,14.618106139438087,13.704474505723207
2,1243,683,RSA,5,283,27,JP Duminy,SC Williams,7,4,11,36.57,2988,42.83,Left-hand bat,100,61,0,168.4,56.5,86,lo,0,ZIM,spin,no,14.618106139438087,13.704474505723207
2,1244,684,RSA,5,283,27,JP Duminy,SC Williams,7,4,12,36.57,2988,42.83,Left-hand bat,101,61,0,168.4,56.5,86,lo,0,ZIM,spin,no,14.618106139438087,13.704474505723207
2,1251,691,RSA,5,283,27,JP Duminy,SC Williams,7,4,13,36.57,2988,42.83,Left-hand bat,102,61,0,168.4,56.5,86,lo,0,ZIM,spin,no,14.618106139438087,13.704474505723207
2,1252,692,RSA,5,283,27,JP Duminy,SC Williams,7,4,14,36.57,2988,42.83,Left-hand bat,103,61,0,168.4,56.5,86,lo,1lb,ZIM,spin,no,14.618106139438087,13.704474505723207
2,1255,695,RSA,5,289,33,JP Duminy,SC Williams,7,4,15,36.57,2988,42.83,Left-hand bat,106,66,0,168.4,56.5,86,lo,3,ZIM,spin,no,14.618106139438087,13.704474505723207
2,1264,704,RSA,6,297,41,JP Duminy,SC Williams,7,10,21,36.57,2988,42.83,Left-hand bat,109,70,1,168.4,56.5,86,lo,1,ZIM,spin,no,14.618106139438087,13.704474505723207
