innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1837,325,ZIM,6,122,-19,R Mutumbami,DL Piedt,8,0,1,21.66,413,47.21,Right-hand bat,102,47,3,294,19,36.7,rob,0,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1838,326,ZIM,6,122,-19,R Mutumbami,DL Piedt,8,0,2,21.66,413,47.21,Right-hand bat,103,47,3,294,19,36.7,rob,0,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1839,327,ZIM,6,122,-19,R Mutumbami,DL Piedt,8,0,3,21.66,413,47.21,Right-hand bat,104,47,3,294,19,36.7,rob,0,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1840,328,ZIM,6,122,-19,R Mutumbami,DL Piedt,8,0,4,21.66,413,47.21,Right-hand bat,105,47,3,294,19,36.7,rob,1,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1862,350,ZIM,7,126,-15,R Mutumbami,DL Piedt,8,2,13,21.66,413,47.21,Right-hand bat,115,49,3,294,19,36.7,rob,0,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1863,351,ZIM,7,126,-15,R Mutumbami,DL Piedt,8,2,14,21.66,413,47.21,Right-hand bat,116,49,3,294,19,36.7,rob,1,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1873,361,ZIM,7,130,-11,R Mutumbami,DL Piedt,8,5,18,21.66,413,47.21,Right-hand bat,120,50,3,294,19,36.7,rob,0,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1874,362,ZIM,7,130,-11,R Mutumbami,DL Piedt,8,5,19,21.66,413,47.21,Right-hand bat,121,50,3,294,19,36.7,rob,0,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1875,363,ZIM,7,130,-11,R Mutumbami,DL Piedt,8,5,20,21.66,413,47.21,Right-hand bat,122,50,3,294,19,36.7,rob,1,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1886,374,ZIM,7,132,-9,R Mutumbami,DL Piedt,8,6,27,21.66,413,47.21,Right-hand bat,127,52,3,294,19,36.7,rob,0,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1887,375,ZIM,7,132,-9,R Mutumbami,DL Piedt,8,6,28,21.66,413,47.21,Right-hand bat,128,52,3,294,19,36.7,rob,0,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1888,376,ZIM,7,132,-9,R Mutumbami,DL Piedt,8,6,29,21.66,413,47.21,Right-hand bat,129,52,3,294,19,36.7,rob,0,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1889,377,ZIM,7,132,-9,R Mutumbami,DL Piedt,8,6,30,21.66,413,47.21,Right-hand bat,130,52,3,294,19,36.7,rob,0,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1890,378,ZIM,7,132,-9,R Mutumbami,DL Piedt,8,6,31,21.66,413,47.21,Right-hand bat,131,52,3,294,19,36.7,rob,0,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1897,385,ZIM,7,132,-9,R Mutumbami,DL Piedt,8,6,32,21.66,413,47.21,Right-hand bat,132,52,3,294,19,36.7,rob,1,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1909,397,ZIM,7,134,-7,R Mutumbami,DL Piedt,8,8,34,21.66,413,47.21,Right-hand bat,138,53,3,294,19,36.7,rob,0,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1910,398,ZIM,7,134,-7,R Mutumbami,DL Piedt,8,8,35,21.66,413,47.21,Right-hand bat,139,53,3,294,19,36.7,rob,0,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1911,399,ZIM,7,134,-7,R Mutumbami,DL Piedt,8,8,36,21.66,413,47.21,Right-hand bat,140,53,3,294,19,36.7,rob,0,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1912,400,ZIM,7,134,-7,R Mutumbami,DL Piedt,8,8,37,21.66,413,47.21,Right-hand bat,141,53,3,294,19,36.7,rob,4,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1913,401,ZIM,7,138,-3,R Mutumbami,DL Piedt,8,12,38,21.66,413,47.21,Right-hand bat,142,57,3,294,19,36.7,rob,0,ZIM,spin,yes,14.618106139438087,13.704474505723207
3,1914,402,ZIM,7,138,-3,R Mutumbami,DL Piedt,8,12,39,21.66,413,47.21,Right-hand bat,143,57,3,294,19,36.7,rob,3,ZIM,spin,yes,14.618106139438087,13.704474505723207
