innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,84,84,RSA,0,34,34,D Elgar,SCJ Broad,1,9,46,38.37,2727,45.03,Left-hand bat,18,8,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,85,85,RSA,0,34,34,D Elgar,SCJ Broad,1,9,47,38.37,2727,45.03,Left-hand bat,19,8,0,18624.3,28.54,56.4,rfm,4,RSA,seam,yes,21.84573002754821,2.184573002754821
1,86,86,RSA,0,38,38,D Elgar,SCJ Broad,1,13,48,38.37,2727,45.03,Left-hand bat,20,12,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,87,87,RSA,0,38,38,D Elgar,SCJ Broad,1,13,49,38.37,2727,45.03,Left-hand bat,21,12,0,18624.3,28.54,56.4,rfm,2,RSA,seam,yes,21.84573002754821,2.184573002754821
1,88,88,RSA,0,40,40,D Elgar,SCJ Broad,1,15,50,38.37,2727,45.03,Left-hand bat,22,14,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,89,89,RSA,0,40,40,D Elgar,SCJ Broad,1,15,51,38.37,2727,45.03,Left-hand bat,23,14,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,96,96,RSA,0,44,44,D Elgar,SCJ Broad,1,15,52,38.37,2727,45.03,Left-hand bat,24,14,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,97,97,RSA,0,44,44,D Elgar,SCJ Broad,1,15,53,38.37,2727,45.03,Left-hand bat,25,14,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,98,98,RSA,0,44,44,D Elgar,SCJ Broad,1,15,54,38.37,2727,45.03,Left-hand bat,26,14,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,99,99,RSA,0,44,44,D Elgar,SCJ Broad,1,15,55,38.37,2727,45.03,Left-hand bat,27,14,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,100,100,RSA,0,44,44,D Elgar,SCJ Broad,1,15,56,38.37,2727,45.03,Left-hand bat,28,14,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,101,101,RSA,0,44,44,D Elgar,SCJ Broad,1,15,57,38.37,2727,45.03,Left-hand bat,29,14,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,108,108,RSA,1,46,46,D Elgar,SCJ Broad,1,15,58,38.37,2727,45.03,Left-hand bat,30,14,0,18624.3,28.54,56.4,rfm,4,RSA,seam,yes,21.84573002754821,2.184573002754821
1,109,109,RSA,1,50,50,D Elgar,SCJ Broad,1,19,59,38.37,2727,45.03,Left-hand bat,31,18,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,110,110,RSA,1,50,50,D Elgar,SCJ Broad,1,19,60,38.37,2727,45.03,Left-hand bat,32,18,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,111,111,RSA,1,50,50,D Elgar,SCJ Broad,1,19,61,38.37,2727,45.03,Left-hand bat,33,18,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,112,112,RSA,1,50,50,D Elgar,SCJ Broad,1,19,62,38.37,2727,45.03,Left-hand bat,34,18,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,113,113,RSA,1,50,50,D Elgar,SCJ Broad,1,19,63,38.37,2727,45.03,Left-hand bat,35,18,0,18624.3,28.54,56.4,rfm,1,RSA,seam,yes,21.84573002754821,2.184573002754821
1,228,228,RSA,1,102,102,D Elgar,SCJ Broad,1,37,113,38.37,2727,45.03,Left-hand bat,42,23,0,18624.3,28.54,56.4,rfm,4,RSA,seam,yes,21.84573002754821,2.184573002754821
1,229,229,RSA,1,106,106,D Elgar,SCJ Broad,1,41,114,38.37,2727,45.03,Left-hand bat,43,27,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,230,230,RSA,1,106,106,D Elgar,SCJ Broad,1,41,115,38.37,2727,45.03,Left-hand bat,44,27,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,231,231,RSA,1,106,106,D Elgar,SCJ Broad,1,41,116,38.37,2727,45.03,Left-hand bat,45,27,0,18624.3,28.54,56.4,rfm,0,RSA,seam,yes,21.84573002754821,2.184573002754821
1,232,232,RSA,1,106,106,D Elgar,SCJ Broad,1,41,117,38.37,2727,45.03,Left-hand bat,46,27,0,18624.3,28.54,56.4,rfm,1,RSA,seam,yes,21.84573002754821,2.184573002754821
1,240,240,RSA,1,110,110,D Elgar,SCJ Broad,1,45,120,38.37,2727,45.03,Left-hand bat,48,28,0,18624.3,28.54,56.4,rfm,1,RSA,seam,yes,21.84573002754821,2.184573002754821
