innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,694,694,RSA,8,422,422,DL Piedt,SCJ Broad,10,10,46,6.5,197,19.79,Right-hand bat,141,82,2,18882.3,28.66,56.7,rfm,0,RSA,seam,yes,29.506938775510207,3.8073469387755106
1,695,695,RSA,8,422,422,DL Piedt,SCJ Broad,10,10,47,6.5,197,19.79,Right-hand bat,142,82,2,18882.3,28.66,56.7,rfm,0,RSA,seam,yes,29.506938775510207,3.8073469387755106
1,696,696,RSA,8,422,422,DL Piedt,SCJ Broad,10,10,48,6.5,197,19.79,Right-hand bat,143,82,2,18882.3,28.66,56.7,rfm,0,RSA,seam,yes,29.506938775510207,3.8073469387755106
1,697,697,RSA,8,422,422,DL Piedt,SCJ Broad,10,10,49,6.5,197,19.79,Right-hand bat,144,82,2,18882.3,28.66,56.7,rfm,0,RSA,seam,yes,29.506938775510207,3.8073469387755106
1,698,698,RSA,8,422,422,DL Piedt,SCJ Broad,10,10,50,6.5,197,19.79,Right-hand bat,145,82,2,18882.3,28.66,56.7,rfm,1,RSA,seam,yes,29.506938775510207,3.8073469387755106
1,708,708,RSA,8,426,426,DL Piedt,SCJ Broad,10,11,57,6.5,197,19.79,Right-hand bat,149,86,2,18882.3,28.66,56.7,rfm,0,RSA,seam,yes,29.506938775510207,3.8073469387755106
1,709,709,RSA,8,426,426,DL Piedt,SCJ Broad,10,11,58,6.5,197,19.79,Right-hand bat,150,86,2,18882.3,28.66,56.7,rfm,0,RSA,seam,yes,29.506938775510207,3.8073469387755106
1,710,710,RSA,8,426,426,DL Piedt,SCJ Broad,10,11,59,6.5,197,19.79,Right-hand bat,151,86,2,18882.3,28.66,56.7,rfm,0,RSA,seam,yes,29.506938775510207,3.8073469387755106
1,717,717,RSA,8,428,428,DL Piedt,SCJ Broad,10,12,64,6.5,197,19.79,Right-hand bat,152,86,2,18882.3,28.66,56.7,rfm,0,RSA,seam,yes,29.506938775510207,3.8073469387755106
1,718,718,RSA,8,428,428,DL Piedt,SCJ Broad,10,12,65,6.5,197,19.79,Right-hand bat,153,86,2,18882.3,28.66,56.7,rfm,0,RSA,seam,yes,29.506938775510207,3.8073469387755106
1,719,719,RSA,8,428,428,DL Piedt,SCJ Broad,10,12,66,6.5,197,19.79,Right-hand bat,154,86,2,18882.3,28.66,56.7,rfm,0,RSA,seam,yes,29.506938775510207,3.8073469387755106
1,720,720,RSA,8,428,428,DL Piedt,SCJ Broad,10,12,67,6.5,197,19.79,Right-hand bat,155,86,2,18882.3,28.66,56.7,rfm,0,RSA,seam,yes,29.506938775510207,3.8073469387755106
