innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,2077,150,ENG,5,60,-321,BA Stokes,M Morkel,7,0,0,33.73,1955,70.74,Left-hand bat,42,12,2,13638.2,29.33,56.3,rf,0,RSA,seam,no,29.506938775510207,3.8073469387755106
4,2078,151,ENG,5,60,-321,BA Stokes,M Morkel,7,0,1,33.73,1955,70.74,Left-hand bat,43,12,2,13638.2,29.33,56.3,rf,0,RSA,seam,no,29.506938775510207,3.8073469387755106
4,2079,152,ENG,5,60,-321,BA Stokes,M Morkel,7,0,2,33.73,1955,70.74,Left-hand bat,44,12,2,13638.2,29.33,56.3,rf,0,RSA,seam,no,29.506938775510207,3.8073469387755106
4,2080,153,ENG,5,60,-321,BA Stokes,M Morkel,7,0,3,33.73,1955,70.74,Left-hand bat,45,12,2,13638.2,29.33,56.3,rf,4,RSA,seam,no,29.506938775510207,3.8073469387755106
4,2081,154,ENG,5,64,-317,BA Stokes,M Morkel,7,4,4,33.73,1955,70.74,Left-hand bat,46,16,2,13638.2,29.33,56.3,rf,0,RSA,seam,no,29.506938775510207,3.8073469387755106
4,2082,155,ENG,5,64,-317,BA Stokes,M Morkel,7,4,5,33.73,1955,70.74,Left-hand bat,47,16,2,13638.2,29.33,56.3,rf,0,RSA,seam,no,29.506938775510207,3.8073469387755106
4,2089,162,ENG,5,72,-309,BA Stokes,M Morkel,7,4,6,33.73,1955,70.74,Left-hand bat,48,16,2,13638.2,29.33,56.3,rf,0,RSA,seam,no,29.506938775510207,3.8073469387755106
4,2090,163,ENG,5,72,-309,BA Stokes,M Morkel,7,4,7,33.73,1955,70.74,Left-hand bat,49,16,2,13638.2,29.33,56.3,rf,2,RSA,seam,no,29.506938775510207,3.8073469387755106
4,2091,164,ENG,5,74,-307,BA Stokes,M Morkel,7,6,8,33.73,1955,70.74,Left-hand bat,50,18,2,13638.2,29.33,56.3,rf,4,RSA,seam,no,29.506938775510207,3.8073469387755106
4,2092,165,ENG,5,78,-303,BA Stokes,M Morkel,7,10,9,33.73,1955,70.74,Left-hand bat,51,22,2,13638.2,29.33,56.3,rf,0,RSA,seam,no,29.506938775510207,3.8073469387755106
4,2093,166,ENG,5,78,-303,BA Stokes,M Morkel,7,10,10,33.73,1955,70.74,Left-hand bat,52,22,2,13638.2,29.33,56.3,rf,0,RSA,seam,no,29.506938775510207,3.8073469387755106
4,2094,167,ENG,5,78,-303,BA Stokes,M Morkel,7,10,11,33.73,1955,70.74,Left-hand bat,53,22,2,13638.2,29.33,56.3,rf,0,RSA,seam,no,29.506938775510207,3.8073469387755106
4,2102,175,ENG,6,83,-298,BA Stokes,M Morkel,7,10,12,33.73,1955,70.74,Left-hand bat,54,22,2,13638.2,29.33,56.3,rf,0,RSA,seam,no,29.506938775510207,3.8073469387755106
4,2103,176,ENG,6,83,-298,BA Stokes,M Morkel,7,10,13,33.73,1955,70.74,Left-hand bat,55,22,2,13638.2,29.33,56.3,rf,W,RSA,seam,no,29.506938775510207,3.8073469387755106
