innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,626,4,BAN,0,1,-461,Imrul Kayes,I Sharma,2,0,0,27.81,2482,48.18,Left-hand bat,4,1,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
2,627,5,BAN,0,1,-461,Imrul Kayes,I Sharma,2,0,1,27.81,2482,48.18,Left-hand bat,5,1,0,12504.3,37.43,66.8,rfm,1,BAN,seam,no,2.89453125,43.41796875
2,649,27,BAN,0,23,-439,Imrul Kayes,I Sharma,2,8,12,27.81,2482,48.18,Left-hand bat,15,11,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
2,650,28,BAN,0,23,-439,Imrul Kayes,I Sharma,2,8,13,27.81,2482,48.18,Left-hand bat,16,11,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
2,651,29,BAN,0,23,-439,Imrul Kayes,I Sharma,2,8,14,27.81,2482,48.18,Left-hand bat,17,11,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
2,658,36,BAN,1,27,-435,Imrul Kayes,I Sharma,2,8,15,27.81,2482,48.18,Left-hand bat,18,11,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
2,659,37,BAN,1,27,-435,Imrul Kayes,I Sharma,2,8,16,27.81,2482,48.18,Left-hand bat,19,11,0,12504.3,37.43,66.8,rfm,1,BAN,seam,no,2.89453125,43.41796875
2,661,39,BAN,1,29,-433,Imrul Kayes,I Sharma,2,9,17,27.81,2482,48.18,Left-hand bat,21,13,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
2,662,40,BAN,1,29,-433,Imrul Kayes,I Sharma,2,9,18,27.81,2482,48.18,Left-hand bat,22,13,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
2,663,41,BAN,1,29,-433,Imrul Kayes,I Sharma,2,9,19,27.81,2482,48.18,Left-hand bat,23,13,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
2,825,203,BAN,4,125,-337,Imrul Kayes,I Sharma,2,59,103,27.81,2482,48.18,Left-hand bat,34,20,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
2,826,204,BAN,4,125,-337,Imrul Kayes,I Sharma,2,59,104,27.81,2482,48.18,Left-hand bat,35,20,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
2,827,205,BAN,4,125,-337,Imrul Kayes,I Sharma,2,59,105,27.81,2482,48.18,Left-hand bat,36,20,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
2,834,212,BAN,4,129,-333,Imrul Kayes,I Sharma,2,59,106,27.81,2482,48.18,Left-hand bat,37,20,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
2,835,213,BAN,4,129,-333,Imrul Kayes,I Sharma,2,59,107,27.81,2482,48.18,Left-hand bat,38,20,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
2,836,214,BAN,4,129,-333,Imrul Kayes,I Sharma,2,59,108,27.81,2482,48.18,Left-hand bat,39,20,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
2,837,215,BAN,4,129,-333,Imrul Kayes,I Sharma,2,59,109,27.81,2482,48.18,Left-hand bat,40,20,0,12504.3,37.43,66.8,rfm,4,BAN,seam,no,2.89453125,43.41796875
2,838,216,BAN,4,133,-329,Imrul Kayes,I Sharma,2,63,110,27.81,2482,48.18,Left-hand bat,41,24,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
2,839,217,BAN,4,133,-329,Imrul Kayes,I Sharma,2,63,111,27.81,2482,48.18,Left-hand bat,42,24,0,12504.3,37.43,66.8,rfm,0,BAN,seam,no,2.89453125,43.41796875
