innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,2043,492,NZL,9,250,-253,TA Boult,MA Starc,11,0,4,15.73,676,53.55,Right-hand bat,106,51,1,4578.1,31.03,54.5,lf,0,AUS,seam,no,36.53061224489796,14.612244897959185
4,2044,493,NZL,9,250,-253,TA Boult,MA Starc,11,0,5,15.73,676,53.55,Right-hand bat,107,51,1,4578.1,31.03,54.5,lf,1,AUS,seam,no,36.53061224489796,14.612244897959185
4,2064,513,NZL,9,280,-223,TA Boult,MA Starc,11,3,12,15.73,676,53.55,Right-hand bat,115,65,1,4578.1,31.03,54.5,lf,0,AUS,seam,no,36.53061224489796,14.612244897959185
4,2065,514,NZL,9,280,-223,TA Boult,MA Starc,11,3,13,15.73,676,53.55,Right-hand bat,116,65,1,4578.1,31.03,54.5,lf,0,AUS,seam,no,36.53061224489796,14.612244897959185
4,2066,515,NZL,9,280,-223,TA Boult,MA Starc,11,3,14,15.73,676,53.55,Right-hand bat,117,65,1,4578.1,31.03,54.5,lf,0,AUS,seam,no,36.53061224489796,14.612244897959185
4,2067,516,NZL,9,280,-223,TA Boult,MA Starc,11,3,15,15.73,676,53.55,Right-hand bat,118,65,1,4578.1,31.03,54.5,lf,0,AUS,seam,no,36.53061224489796,14.612244897959185
4,2068,517,NZL,9,280,-223,TA Boult,MA Starc,11,3,16,15.73,676,53.55,Right-hand bat,119,65,1,4578.1,31.03,54.5,lf,0,AUS,seam,no,36.53061224489796,14.612244897959185
4,2069,518,NZL,9,280,-223,TA Boult,MA Starc,11,3,17,15.73,676,53.55,Right-hand bat,120,65,1,4578.1,31.03,54.5,lf,4,AUS,seam,no,36.53061224489796,14.612244897959185
4,2083,532,NZL,9,295,-208,TA Boult,MA Starc,11,15,24,15.73,676,53.55,Right-hand bat,122,69,1,4578.1,31.03,54.5,lf,0,AUS,seam,no,36.53061224489796,14.612244897959185
4,2084,533,NZL,9,295,-208,TA Boult,MA Starc,11,15,25,15.73,676,53.55,Right-hand bat,123,69,1,4578.1,31.03,54.5,lf,W,AUS,seam,no,36.53061224489796,14.612244897959185
