innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,11,11,AUS,0,19,19,JA Burns,KAJ Roach,1,4,6,44.38,857,67.32,Right-hand bat,5,15,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,74,74,AUS,1,44,44,JA Burns,KAJ Roach,1,13,36,44.38,857,67.32,Right-hand bat,14,18,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,75,75,AUS,1,44,44,JA Burns,KAJ Roach,1,13,37,44.38,857,67.32,Right-hand bat,15,18,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,76,76,AUS,1,44,44,JA Burns,KAJ Roach,1,13,38,44.38,857,67.32,Right-hand bat,16,18,0,6750.5,30,55.3,rfm,3,AUS,seam,no,34.162721893491124,15.183431952662723
1,85,85,AUS,1,54,54,JA Burns,KAJ Roach,1,17,41,44.38,857,67.32,Right-hand bat,19,24,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,86,86,AUS,1,54,54,JA Burns,KAJ Roach,1,17,42,44.38,857,67.32,Right-hand bat,20,24,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,87,87,AUS,1,54,54,JA Burns,KAJ Roach,1,17,43,44.38,857,67.32,Right-hand bat,21,24,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,88,88,AUS,1,54,54,JA Burns,KAJ Roach,1,17,44,44.38,857,67.32,Right-hand bat,22,24,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,89,89,AUS,1,54,54,JA Burns,KAJ Roach,1,17,45,44.38,857,67.32,Right-hand bat,23,24,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,97,97,AUS,1,62,62,JA Burns,KAJ Roach,1,21,48,44.38,857,67.32,Right-hand bat,25,25,0,6750.5,30,55.3,rfm,2,AUS,seam,no,34.162721893491124,15.183431952662723
1,98,98,AUS,1,64,64,JA Burns,KAJ Roach,1,23,49,44.38,857,67.32,Right-hand bat,26,27,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,99,99,AUS,1,64,64,JA Burns,KAJ Roach,1,23,50,44.38,857,67.32,Right-hand bat,27,27,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,100,100,AUS,1,64,64,JA Burns,KAJ Roach,1,23,51,44.38,857,67.32,Right-hand bat,28,27,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,101,101,AUS,1,64,64,JA Burns,KAJ Roach,1,23,52,44.38,857,67.32,Right-hand bat,29,27,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,108,108,AUS,1,66,66,JA Burns,KAJ Roach,1,24,57,44.38,857,67.32,Right-hand bat,30,27,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,109,109,AUS,1,66,66,JA Burns,KAJ Roach,1,24,58,44.38,857,67.32,Right-hand bat,31,27,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,110,110,AUS,1,66,66,JA Burns,KAJ Roach,1,24,59,44.38,857,67.32,Right-hand bat,32,27,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,111,111,AUS,1,66,66,JA Burns,KAJ Roach,1,24,60,44.38,857,67.32,Right-hand bat,33,27,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,112,112,AUS,1,66,66,JA Burns,KAJ Roach,1,24,61,44.38,857,67.32,Right-hand bat,34,27,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,113,113,AUS,1,66,66,JA Burns,KAJ Roach,1,24,62,44.38,857,67.32,Right-hand bat,35,27,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,201,201,AUS,1,123,123,JA Burns,KAJ Roach,1,54,105,44.38,857,67.32,Right-hand bat,39,28,0,6750.5,30,55.3,rfm,1,AUS,seam,no,34.162721893491124,15.183431952662723
1,213,213,AUS,1,137,137,JA Burns,KAJ Roach,1,59,112,44.38,857,67.32,Right-hand bat,45,38,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
1,214,214,AUS,1,137,137,JA Burns,KAJ Roach,1,59,113,44.38,857,67.32,Right-hand bat,46,38,0,6750.5,30,55.3,rfm,0,AUS,seam,no,34.162721893491124,15.183431952662723
