innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,85,85,IND,2,56,56,KL Rahul,HMRKB Herath,3,23,43,31.5,529,47.63,Right-hand bat,0,0,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,86,86,IND,2,56,56,KL Rahul,HMRKB Herath,3,23,44,31.5,529,47.63,Right-hand bat,1,0,0,17874.4,30.02,65.2,lo,1,SRL,spin,yes,12.831024930747922,17.642659279778393
1,88,88,IND,2,58,58,KL Rahul,HMRKB Herath,3,24,45,31.5,529,47.63,Right-hand bat,3,2,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,89,89,IND,2,58,58,KL Rahul,HMRKB Herath,3,24,46,31.5,529,47.63,Right-hand bat,4,2,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,90,90,IND,2,58,58,KL Rahul,HMRKB Herath,3,24,47,31.5,529,47.63,Right-hand bat,5,2,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,97,97,IND,2,58,58,KL Rahul,HMRKB Herath,3,24,48,31.5,529,47.63,Right-hand bat,6,2,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,98,98,IND,2,58,58,KL Rahul,HMRKB Herath,3,24,49,31.5,529,47.63,Right-hand bat,7,2,0,17874.4,30.02,65.2,lo,2,SRL,spin,yes,12.831024930747922,17.642659279778393
1,99,99,IND,2,60,60,KL Rahul,HMRKB Herath,3,26,50,31.5,529,47.63,Right-hand bat,8,4,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,100,100,IND,2,60,60,KL Rahul,HMRKB Herath,3,26,51,31.5,529,47.63,Right-hand bat,9,4,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,101,101,IND,2,60,60,KL Rahul,HMRKB Herath,3,26,52,31.5,529,47.63,Right-hand bat,10,4,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,102,102,IND,2,60,60,KL Rahul,HMRKB Herath,3,26,53,31.5,529,47.63,Right-hand bat,11,4,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,109,109,IND,2,66,66,KL Rahul,HMRKB Herath,3,31,58,31.5,529,47.63,Right-hand bat,12,4,0,17874.4,30.02,65.2,lo,1,SRL,spin,yes,12.831024930747922,17.642659279778393
1,128,128,IND,2,84,84,KL Rahul,HMRKB Herath,3,36,69,31.5,529,47.63,Right-hand bat,18,12,0,17874.4,30.02,65.2,lo,1,SRL,spin,yes,12.831024930747922,17.642659279778393
1,132,132,IND,2,86,86,KL Rahul,HMRKB Herath,3,37,70,31.5,529,47.63,Right-hand bat,22,14,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,133,133,IND,2,86,86,KL Rahul,HMRKB Herath,3,37,71,31.5,529,47.63,Right-hand bat,23,14,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,142,142,IND,2,90,90,KL Rahul,HMRKB Herath,3,38,74,31.5,529,47.63,Right-hand bat,26,15,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,143,143,IND,2,90,90,KL Rahul,HMRKB Herath,3,38,75,31.5,529,47.63,Right-hand bat,27,15,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,144,144,IND,2,90,90,KL Rahul,HMRKB Herath,3,38,76,31.5,529,47.63,Right-hand bat,28,15,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,145,145,IND,2,90,90,KL Rahul,HMRKB Herath,3,38,77,31.5,529,47.63,Right-hand bat,29,15,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,153,153,IND,2,96,96,KL Rahul,HMRKB Herath,3,38,79,31.5,529,47.63,Right-hand bat,31,16,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,154,154,IND,2,96,96,KL Rahul,HMRKB Herath,3,38,80,31.5,529,47.63,Right-hand bat,32,16,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,155,155,IND,2,96,96,KL Rahul,HMRKB Herath,3,38,81,31.5,529,47.63,Right-hand bat,33,16,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,156,156,IND,2,96,96,KL Rahul,HMRKB Herath,3,38,82,31.5,529,47.63,Right-hand bat,34,16,0,17874.4,30.02,65.2,lo,1,SRL,spin,yes,12.831024930747922,17.642659279778393
1,220,220,IND,2,139,139,KL Rahul,HMRKB Herath,3,59,117,31.5,529,47.63,Right-hand bat,41,22,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,228,228,IND,2,145,145,KL Rahul,HMRKB Herath,3,63,123,31.5,529,47.63,Right-hand bat,43,23,0,17874.4,30.02,65.2,lo,6,SRL,spin,yes,12.831024930747922,17.642659279778393
1,229,229,IND,2,151,151,KL Rahul,HMRKB Herath,3,69,124,31.5,529,47.63,Right-hand bat,44,29,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,230,230,IND,2,151,151,KL Rahul,HMRKB Herath,3,69,125,31.5,529,47.63,Right-hand bat,45,29,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,231,231,IND,2,151,151,KL Rahul,HMRKB Herath,3,69,126,31.5,529,47.63,Right-hand bat,46,29,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,232,232,IND,2,151,151,KL Rahul,HMRKB Herath,3,69,127,31.5,529,47.63,Right-hand bat,47,29,0,17874.4,30.02,65.2,lo,1,SRL,spin,yes,12.831024930747922,17.642659279778393
1,239,239,IND,2,157,157,KL Rahul,HMRKB Herath,3,74,132,31.5,529,47.63,Right-hand bat,48,30,0,17874.4,30.02,65.2,lo,1,SRL,spin,yes,12.831024930747922,17.642659279778393
1,243,243,IND,2,159,159,KL Rahul,HMRKB Herath,3,75,133,31.5,529,47.63,Right-hand bat,52,32,0,17874.4,30.02,65.2,lo,4,SRL,spin,yes,12.831024930747922,17.642659279778393
1,244,244,IND,2,163,163,KL Rahul,HMRKB Herath,3,79,134,31.5,529,47.63,Right-hand bat,53,36,0,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,277,277,IND,3,181,181,KL Rahul,HMRKB Herath,3,87,145,31.5,529,47.63,Right-hand bat,68,37,1,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,278,278,IND,3,181,181,KL Rahul,HMRKB Herath,3,87,146,31.5,529,47.63,Right-hand bat,69,37,1,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,279,279,IND,3,181,181,KL Rahul,HMRKB Herath,3,87,147,31.5,529,47.63,Right-hand bat,70,37,1,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
1,280,280,IND,3,181,181,KL Rahul,HMRKB Herath,3,87,148,31.5,529,47.63,Right-hand bat,71,37,1,17874.4,30.02,65.2,lo,1,SRL,spin,yes,12.831024930747922,17.642659279778393
1,289,289,IND,3,185,185,KL Rahul,HMRKB Herath,3,89,153,31.5,529,47.63,Right-hand bat,74,39,1,17874.4,30.02,65.2,lo,0,SRL,spin,yes,12.831024930747922,17.642659279778393
