innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1136,625,ENG,6,245,11,AU Rashid,Zulfiqar Babar,8,0,0,20.6,334,30.83,Right-hand bat,184,66,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1137,626,ENG,6,245,11,AU Rashid,Zulfiqar Babar,8,0,1,20.6,334,30.83,Right-hand bat,185,66,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1144,633,ENG,6,251,17,AU Rashid,Zulfiqar Babar,8,1,4,20.6,334,30.83,Right-hand bat,186,66,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1145,634,ENG,6,251,17,AU Rashid,Zulfiqar Babar,8,1,5,20.6,334,30.83,Right-hand bat,187,66,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1146,635,ENG,6,251,17,AU Rashid,Zulfiqar Babar,8,1,6,20.6,334,30.83,Right-hand bat,188,66,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1147,636,ENG,6,251,17,AU Rashid,Zulfiqar Babar,8,1,7,20.6,334,30.83,Right-hand bat,189,66,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1148,637,ENG,6,251,17,AU Rashid,Zulfiqar Babar,8,1,8,20.6,334,30.83,Right-hand bat,190,66,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1149,638,ENG,6,251,17,AU Rashid,Zulfiqar Babar,8,1,9,20.6,334,30.83,Right-hand bat,191,66,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1158,647,ENG,6,257,23,AU Rashid,Zulfiqar Babar,8,1,11,20.6,334,30.83,Right-hand bat,194,71,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1159,648,ENG,6,257,23,AU Rashid,Zulfiqar Babar,8,1,12,20.6,334,30.83,Right-hand bat,195,71,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1160,649,ENG,6,257,23,AU Rashid,Zulfiqar Babar,8,1,13,20.6,334,30.83,Right-hand bat,196,71,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1161,650,ENG,6,257,23,AU Rashid,Zulfiqar Babar,8,1,14,20.6,334,30.83,Right-hand bat,197,71,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1172,661,ENG,6,267,33,AU Rashid,Zulfiqar Babar,8,5,20,20.6,334,30.83,Right-hand bat,202,76,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1173,662,ENG,6,267,33,AU Rashid,Zulfiqar Babar,8,5,21,20.6,334,30.83,Right-hand bat,203,76,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1183,672,ENG,6,269,35,AU Rashid,Zulfiqar Babar,8,5,25,20.6,334,30.83,Right-hand bat,207,77,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1184,673,ENG,6,269,35,AU Rashid,Zulfiqar Babar,8,5,26,20.6,334,30.83,Right-hand bat,208,77,1,4074.2,38.82,79.9,lo,1,ENG,spin,no,9.19625,17.07875
2,1193,682,ENG,6,276,42,AU Rashid,Zulfiqar Babar,8,6,27,20.6,334,30.83,Right-hand bat,210,79,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1194,683,ENG,6,276,42,AU Rashid,Zulfiqar Babar,8,6,28,20.6,334,30.83,Right-hand bat,211,79,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1195,684,ENG,6,276,42,AU Rashid,Zulfiqar Babar,8,6,29,20.6,334,30.83,Right-hand bat,212,79,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1196,685,ENG,6,276,42,AU Rashid,Zulfiqar Babar,8,6,30,20.6,334,30.83,Right-hand bat,213,79,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1197,686,ENG,6,276,42,AU Rashid,Zulfiqar Babar,8,6,31,20.6,334,30.83,Right-hand bat,214,79,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
2,1198,687,ENG,6,276,42,AU Rashid,Zulfiqar Babar,8,6,32,20.6,334,30.83,Right-hand bat,215,79,1,4074.2,38.82,79.9,lo,0,ENG,spin,no,9.19625,17.07875
