innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,333,333,IND,7,168,168,R Ashwin,Imran Tahir,9,4,11,32.17,1820,61.86,Right-hand bat,18,12,0,3510.4,42.16,71.7,rls,1,IND,spin,yes,2.6025,14.747500000000002
1,357,357,IND,7,180,180,R Ashwin,Imran Tahir,9,10,19,32.17,1820,61.86,Right-hand bat,30,16,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
1,358,358,IND,7,180,180,R Ashwin,Imran Tahir,9,10,20,32.17,1820,61.86,Right-hand bat,31,16,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
1,359,359,IND,7,180,180,R Ashwin,Imran Tahir,9,10,21,32.17,1820,61.86,Right-hand bat,32,16,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
1,360,360,IND,7,180,180,R Ashwin,Imran Tahir,9,10,22,32.17,1820,61.86,Right-hand bat,33,16,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
1,361,361,IND,7,180,180,R Ashwin,Imran Tahir,9,10,23,32.17,1820,61.86,Right-hand bat,34,16,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
1,362,362,IND,7,180,180,R Ashwin,Imran Tahir,9,10,24,32.17,1820,61.86,Right-hand bat,35,16,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
1,369,369,IND,7,180,180,R Ashwin,Imran Tahir,9,10,25,32.17,1820,61.86,Right-hand bat,36,16,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
1,370,370,IND,7,180,180,R Ashwin,Imran Tahir,9,10,26,32.17,1820,61.86,Right-hand bat,37,16,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
1,371,371,IND,7,180,180,R Ashwin,Imran Tahir,9,10,27,32.17,1820,61.86,Right-hand bat,38,16,0,3510.4,42.16,71.7,rls,1,IND,spin,yes,2.6025,14.747500000000002
1,373,373,IND,7,182,182,R Ashwin,Imran Tahir,9,11,28,32.17,1820,61.86,Right-hand bat,40,18,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
1,374,374,IND,7,182,182,R Ashwin,Imran Tahir,9,11,29,32.17,1820,61.86,Right-hand bat,41,18,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
1,381,381,IND,7,184,184,R Ashwin,Imran Tahir,9,12,32,32.17,1820,61.86,Right-hand bat,42,18,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
1,382,382,IND,7,184,184,R Ashwin,Imran Tahir,9,12,33,32.17,1820,61.86,Right-hand bat,43,18,0,3510.4,42.16,71.7,rls,3,IND,spin,yes,2.6025,14.747500000000002
1,393,393,IND,7,194,194,R Ashwin,Imran Tahir,9,18,36,32.17,1820,61.86,Right-hand bat,48,21,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
1,394,394,IND,7,194,194,R Ashwin,Imran Tahir,9,18,37,32.17,1820,61.86,Right-hand bat,49,21,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
1,395,395,IND,7,194,194,R Ashwin,Imran Tahir,9,18,38,32.17,1820,61.86,Right-hand bat,50,21,0,3510.4,42.16,71.7,rls,2,IND,spin,yes,2.6025,14.747500000000002
1,396,396,IND,7,196,196,R Ashwin,Imran Tahir,9,20,39,32.17,1820,61.86,Right-hand bat,51,23,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
1,397,397,IND,7,196,196,R Ashwin,Imran Tahir,9,20,40,32.17,1820,61.86,Right-hand bat,52,23,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
1,398,398,IND,7,196,196,R Ashwin,Imran Tahir,9,20,41,32.17,1820,61.86,Right-hand bat,53,23,0,3510.4,42.16,71.7,rls,0,IND,spin,yes,2.6025,14.747500000000002
