innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1864,33,ENG,0,16,-62,AD Hales,TAM Siriwardana,2,3,15,28.72,737,42.87,Right-hand bat,3,1,0,408.5,23.36,37.5,lo,0,ENG,spin,yes,32.05555555555556,6.411111111111111
4,1865,34,ENG,0,16,-62,AD Hales,TAM Siriwardana,2,3,16,28.72,737,42.87,Right-hand bat,4,1,0,408.5,23.36,37.5,lo,0,ENG,spin,yes,32.05555555555556,6.411111111111111
4,1866,35,ENG,0,16,-62,AD Hales,TAM Siriwardana,2,3,17,28.72,737,42.87,Right-hand bat,5,1,0,408.5,23.36,37.5,lo,0,ENG,spin,yes,32.05555555555556,6.411111111111111
4,1873,42,ENG,0,22,-56,AD Hales,TAM Siriwardana,2,4,22,28.72,737,42.87,Right-hand bat,6,1,0,408.5,23.36,37.5,lo,0,ENG,spin,yes,32.05555555555556,6.411111111111111
4,1874,43,ENG,0,22,-56,AD Hales,TAM Siriwardana,2,4,23,28.72,737,42.87,Right-hand bat,7,1,0,408.5,23.36,37.5,lo,4,ENG,spin,yes,32.05555555555556,6.411111111111111
4,1875,44,ENG,0,26,-52,AD Hales,TAM Siriwardana,2,8,24,28.72,737,42.87,Right-hand bat,8,5,0,408.5,23.36,37.5,lo,2,ENG,spin,yes,32.05555555555556,6.411111111111111
4,1876,45,ENG,0,28,-50,AD Hales,TAM Siriwardana,2,10,25,28.72,737,42.87,Right-hand bat,9,7,0,408.5,23.36,37.5,lo,0,ENG,spin,yes,32.05555555555556,6.411111111111111
4,1877,46,ENG,0,28,-50,AD Hales,TAM Siriwardana,2,10,26,28.72,737,42.87,Right-hand bat,10,7,0,408.5,23.36,37.5,lo,0,ENG,spin,yes,32.05555555555556,6.411111111111111
4,1878,47,ENG,0,28,-50,AD Hales,TAM Siriwardana,2,10,27,28.72,737,42.87,Right-hand bat,11,7,0,408.5,23.36,37.5,lo,0,ENG,spin,yes,32.05555555555556,6.411111111111111
4,1891,60,ENG,0,33,-45,AD Hales,TAM Siriwardana,2,10,32,28.72,737,42.87,Right-hand bat,12,7,0,408.5,23.36,37.5,lo,1,ENG,spin,yes,32.05555555555556,6.411111111111111
4,1893,62,ENG,0,35,-43,AD Hales,TAM Siriwardana,2,11,33,28.72,737,42.87,Right-hand bat,14,9,0,408.5,23.36,37.5,lo,0,ENG,spin,yes,32.05555555555556,6.411111111111111
4,1894,63,ENG,0,35,-43,AD Hales,TAM Siriwardana,2,11,34,28.72,737,42.87,Right-hand bat,15,9,0,408.5,23.36,37.5,lo,0,ENG,spin,yes,32.05555555555556,6.411111111111111
4,1895,64,ENG,0,35,-43,AD Hales,TAM Siriwardana,2,11,35,28.72,737,42.87,Right-hand bat,16,9,0,408.5,23.36,37.5,lo,0,ENG,spin,yes,32.05555555555556,6.411111111111111
4,1896,65,ENG,0,35,-43,AD Hales,TAM Siriwardana,2,11,36,28.72,737,42.87,Right-hand bat,17,9,0,408.5,23.36,37.5,lo,W,ENG,spin,yes,32.05555555555556,6.411111111111111
