innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,171,171,PAK,3,78,78,Misbah-ul-Haq,SCJ Broad,5,0,2,49.07,10057,44.4,Right-hand bat,50,12,0,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,172,172,PAK,3,78,78,Misbah-ul-Haq,SCJ Broad,5,0,3,49.07,10057,44.4,Right-hand bat,51,12,0,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,173,173,PAK,3,78,78,Misbah-ul-Haq,SCJ Broad,5,0,4,49.07,10057,44.4,Right-hand bat,52,12,0,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,174,174,PAK,3,78,78,Misbah-ul-Haq,SCJ Broad,5,0,5,49.07,10057,44.4,Right-hand bat,53,12,0,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,175,175,PAK,3,78,78,Misbah-ul-Haq,SCJ Broad,5,0,6,49.07,10057,44.4,Right-hand bat,54,12,0,19728,28.34,56.2,rfm,1,ENG,seam,yes,18.0775,7.7475
1,182,182,PAK,3,80,80,Misbah-ul-Haq,SCJ Broad,5,1,12,49.07,10057,44.4,Right-hand bat,55,13,0,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,183,183,PAK,3,80,80,Misbah-ul-Haq,SCJ Broad,5,1,13,49.07,10057,44.4,Right-hand bat,56,13,0,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,184,184,PAK,3,80,80,Misbah-ul-Haq,SCJ Broad,5,1,14,49.07,10057,44.4,Right-hand bat,57,13,0,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,185,185,PAK,3,80,80,Misbah-ul-Haq,SCJ Broad,5,1,15,49.07,10057,44.4,Right-hand bat,58,13,0,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,186,186,PAK,3,80,80,Misbah-ul-Haq,SCJ Broad,5,1,16,49.07,10057,44.4,Right-hand bat,59,13,0,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,187,187,PAK,3,80,80,Misbah-ul-Haq,SCJ Broad,5,1,17,49.07,10057,44.4,Right-hand bat,60,13,0,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,194,194,PAK,3,82,82,Misbah-ul-Haq,SCJ Broad,5,2,19,49.07,10057,44.4,Right-hand bat,61,13,0,19728,28.34,56.2,rfm,4,ENG,seam,yes,18.0775,7.7475
1,195,195,PAK,3,86,86,Misbah-ul-Haq,SCJ Broad,5,6,20,49.07,10057,44.4,Right-hand bat,62,17,0,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,196,196,PAK,3,86,86,Misbah-ul-Haq,SCJ Broad,5,6,21,49.07,10057,44.4,Right-hand bat,63,17,0,19728,28.34,56.2,rfm,4,ENG,seam,yes,18.0775,7.7475
1,197,197,PAK,3,90,90,Misbah-ul-Haq,SCJ Broad,5,10,22,49.07,10057,44.4,Right-hand bat,64,21,0,19728,28.34,56.2,rfm,1,ENG,seam,yes,18.0775,7.7475
1,272,272,PAK,4,135,135,Misbah-ul-Haq,SCJ Broad,5,37,63,49.07,10057,44.4,Right-hand bat,73,22,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,273,273,PAK,4,135,135,Misbah-ul-Haq,SCJ Broad,5,37,64,49.07,10057,44.4,Right-hand bat,74,22,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,274,274,PAK,4,135,135,Misbah-ul-Haq,SCJ Broad,5,37,65,49.07,10057,44.4,Right-hand bat,75,22,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,275,275,PAK,4,135,135,Misbah-ul-Haq,SCJ Broad,5,37,66,49.07,10057,44.4,Right-hand bat,76,22,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,276,276,PAK,4,135,135,Misbah-ul-Haq,SCJ Broad,5,37,67,49.07,10057,44.4,Right-hand bat,77,22,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,277,277,PAK,4,135,135,Misbah-ul-Haq,SCJ Broad,5,37,68,49.07,10057,44.4,Right-hand bat,78,22,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,284,284,PAK,4,135,135,Misbah-ul-Haq,SCJ Broad,5,37,69,49.07,10057,44.4,Right-hand bat,79,22,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,285,285,PAK,4,135,135,Misbah-ul-Haq,SCJ Broad,5,37,70,49.07,10057,44.4,Right-hand bat,80,22,1,19728,28.34,56.2,rfm,1,ENG,seam,yes,18.0775,7.7475
1,287,287,PAK,4,137,137,Misbah-ul-Haq,SCJ Broad,5,38,71,49.07,10057,44.4,Right-hand bat,82,24,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,288,288,PAK,4,137,137,Misbah-ul-Haq,SCJ Broad,5,38,72,49.07,10057,44.4,Right-hand bat,83,24,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,289,289,PAK,4,137,137,Misbah-ul-Haq,SCJ Broad,5,38,73,49.07,10057,44.4,Right-hand bat,84,24,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
