innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1267,43,NZL,0,18,-361,TWM Latham,PM Siddle,1,12,26,39.03,2792,44.73,Left-hand bat,0,0,0,12708.5,29.88,61.1,rfm,1,NZL,seam,no,25.013333333333332,10.72
3,1281,57,NZL,0,34,-345,TWM Latham,PM Siddle,1,13,33,39.03,2792,44.73,Left-hand bat,8,16,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1282,58,NZL,0,34,-345,TWM Latham,PM Siddle,1,13,34,39.03,2792,44.73,Left-hand bat,9,16,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1283,59,NZL,0,34,-345,TWM Latham,PM Siddle,1,13,35,39.03,2792,44.73,Left-hand bat,10,16,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1284,60,NZL,0,34,-345,TWM Latham,PM Siddle,1,13,36,39.03,2792,44.73,Left-hand bat,11,16,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1296,72,NZL,0,42,-337,TWM Latham,PM Siddle,1,15,41,39.03,2792,44.73,Left-hand bat,17,17,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1308,84,NZL,0,52,-327,TWM Latham,PM Siddle,1,19,45,39.03,2792,44.73,Left-hand bat,23,18,0,12708.5,29.88,61.1,rfm,1,NZL,seam,no,25.013333333333332,10.72
3,1364,140,NZL,1,83,-296,TWM Latham,PM Siddle,1,35,80,39.03,2792,44.73,Left-hand bat,25,20,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1365,141,NZL,1,83,-296,TWM Latham,PM Siddle,1,35,81,39.03,2792,44.73,Left-hand bat,26,20,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1366,142,NZL,1,83,-296,TWM Latham,PM Siddle,1,35,82,39.03,2792,44.73,Left-hand bat,27,20,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1367,143,NZL,1,83,-296,TWM Latham,PM Siddle,1,35,83,39.03,2792,44.73,Left-hand bat,28,20,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1368,144,NZL,1,83,-296,TWM Latham,PM Siddle,1,35,84,39.03,2792,44.73,Left-hand bat,29,20,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1375,151,NZL,1,91,-288,TWM Latham,PM Siddle,1,35,85,39.03,2792,44.73,Left-hand bat,30,20,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1376,152,NZL,1,91,-288,TWM Latham,PM Siddle,1,35,86,39.03,2792,44.73,Left-hand bat,31,20,0,12708.5,29.88,61.1,rfm,1,NZL,seam,no,25.013333333333332,10.72
3,1387,163,NZL,1,99,-280,TWM Latham,PM Siddle,1,36,87,39.03,2792,44.73,Left-hand bat,36,24,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1388,164,NZL,1,99,-280,TWM Latham,PM Siddle,1,36,88,39.03,2792,44.73,Left-hand bat,37,24,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1389,165,NZL,1,99,-280,TWM Latham,PM Siddle,1,36,89,39.03,2792,44.73,Left-hand bat,38,24,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1390,166,NZL,1,99,-280,TWM Latham,PM Siddle,1,36,90,39.03,2792,44.73,Left-hand bat,39,24,0,12708.5,29.88,61.1,rfm,2,NZL,seam,no,25.013333333333332,10.72
3,1391,167,NZL,1,101,-278,TWM Latham,PM Siddle,1,38,91,39.03,2792,44.73,Left-hand bat,40,26,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1392,168,NZL,1,101,-278,TWM Latham,PM Siddle,1,38,92,39.03,2792,44.73,Left-hand bat,41,26,0,12708.5,29.88,61.1,rfm,1,NZL,seam,no,25.013333333333332,10.72
3,1399,175,NZL,1,103,-276,TWM Latham,PM Siddle,1,40,99,39.03,2792,44.73,Left-hand bat,42,27,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1400,176,NZL,1,103,-276,TWM Latham,PM Siddle,1,40,100,39.03,2792,44.73,Left-hand bat,43,27,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1401,177,NZL,1,103,-276,TWM Latham,PM Siddle,1,40,101,39.03,2792,44.73,Left-hand bat,44,27,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1402,178,NZL,1,103,-276,TWM Latham,PM Siddle,1,40,102,39.03,2792,44.73,Left-hand bat,45,27,0,12708.5,29.88,61.1,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1403,179,NZL,1,103,-276,TWM Latham,PM Siddle,1,40,103,39.03,2792,44.73,Left-hand bat,46,27,0,12708.5,29.88,61.1,rfm,3,NZL,seam,no,25.013333333333332,10.72
