innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,6,6,RSA,0,5,5,SC Cook,TA Boult,1,5,6,53.33,340,47.05,Right-hand bat,0,0,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,7,7,RSA,0,5,5,SC Cook,TA Boult,1,5,7,53.33,340,47.05,Right-hand bat,1,0,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,8,8,RSA,0,5,5,SC Cook,TA Boult,1,5,8,53.33,340,47.05,Right-hand bat,2,0,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,9,9,RSA,0,5,5,SC Cook,TA Boult,1,5,9,53.33,340,47.05,Right-hand bat,3,0,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,10,10,RSA,0,5,5,SC Cook,TA Boult,1,5,10,53.33,340,47.05,Right-hand bat,4,0,0,9084.2,28.73,58.2,lfm,1,RSA,seam,yes,19.305555555555557,3.861111111111111
1,30,30,RSA,0,17,17,SC Cook,TA Boult,1,15,21,53.33,340,47.05,Right-hand bat,12,3,0,9084.2,28.73,58.2,lfm,1,RSA,seam,yes,19.305555555555557,3.861111111111111
1,34,34,RSA,0,19,19,SC Cook,TA Boult,1,16,22,53.33,340,47.05,Right-hand bat,16,5,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,35,35,RSA,0,19,19,SC Cook,TA Boult,1,16,23,53.33,340,47.05,Right-hand bat,17,5,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,42,42,RSA,0,21,21,SC Cook,TA Boult,1,17,28,53.33,340,47.05,Right-hand bat,18,5,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,43,43,RSA,0,21,21,SC Cook,TA Boult,1,17,29,53.33,340,47.05,Right-hand bat,19,5,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,44,44,RSA,0,21,21,SC Cook,TA Boult,1,17,30,53.33,340,47.05,Right-hand bat,20,5,0,9084.2,28.73,58.2,lfm,1,RSA,seam,yes,19.305555555555557,3.861111111111111
1,54,54,RSA,0,23,23,SC Cook,TA Boult,1,19,32,53.33,340,47.05,Right-hand bat,24,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,55,55,RSA,0,23,23,SC Cook,TA Boult,1,19,33,53.33,340,47.05,Right-hand bat,25,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,56,56,RSA,0,23,23,SC Cook,TA Boult,1,19,34,53.33,340,47.05,Right-hand bat,26,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,57,57,RSA,0,23,23,SC Cook,TA Boult,1,19,35,53.33,340,47.05,Right-hand bat,27,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,58,58,RSA,0,23,23,SC Cook,TA Boult,1,19,36,53.33,340,47.05,Right-hand bat,28,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,59,59,RSA,0,23,23,SC Cook,TA Boult,1,19,37,53.33,340,47.05,Right-hand bat,29,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,66,66,RSA,0,27,27,SC Cook,TA Boult,1,19,38,53.33,340,47.05,Right-hand bat,30,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,67,67,RSA,0,27,27,SC Cook,TA Boult,1,19,39,53.33,340,47.05,Right-hand bat,31,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,68,68,RSA,0,27,27,SC Cook,TA Boult,1,19,40,53.33,340,47.05,Right-hand bat,32,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,69,69,RSA,0,27,27,SC Cook,TA Boult,1,19,41,53.33,340,47.05,Right-hand bat,33,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,70,70,RSA,0,27,27,SC Cook,TA Boult,1,19,42,53.33,340,47.05,Right-hand bat,34,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,71,71,RSA,0,27,27,SC Cook,TA Boult,1,19,43,53.33,340,47.05,Right-hand bat,35,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,78,78,RSA,0,33,33,SC Cook,TA Boult,1,20,47,53.33,340,47.05,Right-hand bat,36,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,79,79,RSA,0,33,33,SC Cook,TA Boult,1,20,48,53.33,340,47.05,Right-hand bat,37,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,80,80,RSA,0,33,33,SC Cook,TA Boult,1,20,49,53.33,340,47.05,Right-hand bat,38,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,81,81,RSA,0,33,33,SC Cook,TA Boult,1,20,50,53.33,340,47.05,Right-hand bat,39,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,82,82,RSA,0,33,33,SC Cook,TA Boult,1,20,51,53.33,340,47.05,Right-hand bat,40,6,0,9084.2,28.73,58.2,lfm,0,RSA,seam,yes,19.305555555555557,3.861111111111111
1,83,83,RSA,0,33,33,SC Cook,TA Boult,1,20,52,53.33,340,47.05,Right-hand bat,41,6,0,9084.2,28.73,58.2,lfm,W,RSA,seam,yes,19.305555555555557,3.861111111111111
