innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1372,97,SRL,2,46,-460,DM de Silva,KA Maharaj,4,6,18,50.23,1191,54.82,Right-hand bat,1,1,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1373,98,SRL,2,46,-460,DM de Silva,KA Maharaj,4,6,19,50.23,1191,54.82,Right-hand bat,2,1,0,798,34,72.5,lo,6,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1374,99,SRL,2,52,-454,DM de Silva,KA Maharaj,4,12,20,50.23,1191,54.82,Right-hand bat,3,7,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1375,100,SRL,2,52,-454,DM de Silva,KA Maharaj,4,12,21,50.23,1191,54.82,Right-hand bat,4,7,0,798,34,72.5,lo,4,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1376,101,SRL,2,56,-450,DM de Silva,KA Maharaj,4,16,22,50.23,1191,54.82,Right-hand bat,5,11,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1383,108,SRL,2,58,-448,DM de Silva,KA Maharaj,4,17,24,50.23,1191,54.82,Right-hand bat,6,11,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1384,109,SRL,2,58,-448,DM de Silva,KA Maharaj,4,17,25,50.23,1191,54.82,Right-hand bat,7,11,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1385,110,SRL,2,58,-448,DM de Silva,KA Maharaj,4,17,26,50.23,1191,54.82,Right-hand bat,8,11,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1386,111,SRL,2,58,-448,DM de Silva,KA Maharaj,4,17,27,50.23,1191,54.82,Right-hand bat,9,11,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1387,112,SRL,2,58,-448,DM de Silva,KA Maharaj,4,17,28,50.23,1191,54.82,Right-hand bat,10,11,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1388,113,SRL,2,58,-448,DM de Silva,KA Maharaj,4,17,29,50.23,1191,54.82,Right-hand bat,11,11,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1395,120,SRL,2,58,-448,DM de Silva,KA Maharaj,4,17,30,50.23,1191,54.82,Right-hand bat,12,11,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1396,121,SRL,2,58,-448,DM de Silva,KA Maharaj,4,17,31,50.23,1191,54.82,Right-hand bat,13,11,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1397,122,SRL,2,58,-448,DM de Silva,KA Maharaj,4,17,32,50.23,1191,54.82,Right-hand bat,14,11,0,798,34,72.5,lo,1,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1407,132,SRL,2,62,-444,DM de Silva,KA Maharaj,4,18,33,50.23,1191,54.82,Right-hand bat,18,13,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1408,133,SRL,2,62,-444,DM de Silva,KA Maharaj,4,18,34,50.23,1191,54.82,Right-hand bat,19,13,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1409,134,SRL,2,62,-444,DM de Silva,KA Maharaj,4,18,35,50.23,1191,54.82,Right-hand bat,20,13,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1410,135,SRL,2,62,-444,DM de Silva,KA Maharaj,4,18,36,50.23,1191,54.82,Right-hand bat,21,13,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1411,136,SRL,2,62,-444,DM de Silva,KA Maharaj,4,18,37,50.23,1191,54.82,Right-hand bat,22,13,0,798,34,72.5,lo,0,RSA,spin,yes,20.818115412710007,4.857560262965668
4,1412,137,SRL,2,62,-444,DM de Silva,KA Maharaj,4,18,38,50.23,1191,54.82,Right-hand bat,23,13,0,798,34,72.5,lo,4,RSA,spin,yes,20.818115412710007,4.857560262965668
