innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,942,513,RSA,7,227,-16,VD Philander,NM Lyon,9,0,0,23.92,2875,46.6,Right-hand bat,87,23,1,18402.1,31.81,62.1,rob,0,AUS,spin,no,24.23356401384083,4.178200692041522
2,943,514,RSA,7,227,-16,VD Philander,NM Lyon,9,0,1,23.92,2875,46.6,Right-hand bat,88,23,1,18402.1,31.81,62.1,rob,0,AUS,spin,no,24.23356401384083,4.178200692041522
2,944,515,RSA,7,227,-16,VD Philander,NM Lyon,9,0,2,23.92,2875,46.6,Right-hand bat,89,23,1,18402.1,31.81,62.1,rob,1,AUS,spin,no,24.23356401384083,4.178200692041522
2,956,527,RSA,7,233,-10,VD Philander,NM Lyon,9,1,9,23.92,2875,46.6,Right-hand bat,95,29,1,18402.1,31.81,62.1,rob,0,AUS,spin,no,24.23356401384083,4.178200692041522
2,1048,619,RSA,7,296,53,VD Philander,NM Lyon,9,29,64,23.92,2875,46.6,Right-hand bat,96,29,1,18402.1,31.81,62.1,rob,0,AUS,spin,no,24.23356401384083,4.178200692041522
2,1049,620,RSA,7,296,53,VD Philander,NM Lyon,9,29,65,23.92,2875,46.6,Right-hand bat,97,29,1,18402.1,31.81,62.1,rob,0,AUS,spin,no,24.23356401384083,4.178200692041522
2,1050,621,RSA,7,296,53,VD Philander,NM Lyon,9,29,66,23.92,2875,46.6,Right-hand bat,98,29,1,18402.1,31.81,62.1,rob,1,AUS,spin,no,24.23356401384083,4.178200692041522
2,1053,624,RSA,7,298,55,VD Philander,NM Lyon,9,30,67,23.92,2875,46.6,Right-hand bat,101,31,1,18402.1,31.81,62.1,rob,0,AUS,spin,no,24.23356401384083,4.178200692041522
2,1062,633,RSA,7,306,63,VD Philander,NM Lyon,9,32,72,23.92,2875,46.6,Right-hand bat,104,32,1,18402.1,31.81,62.1,rob,1,AUS,spin,no,24.23356401384083,4.178200692041522
2,1065,636,RSA,7,308,65,VD Philander,NM Lyon,9,33,73,23.92,2875,46.6,Right-hand bat,107,34,1,18402.1,31.81,62.1,rob,1,AUS,spin,no,24.23356401384083,4.178200692041522
2,1072,643,RSA,7,310,67,VD Philander,NM Lyon,9,35,80,23.92,2875,46.6,Right-hand bat,108,35,1,18402.1,31.81,62.1,rob,0,AUS,spin,no,24.23356401384083,4.178200692041522
2,1073,644,RSA,7,310,67,VD Philander,NM Lyon,9,35,81,23.92,2875,46.6,Right-hand bat,109,35,1,18402.1,31.81,62.1,rob,1,AUS,spin,no,24.23356401384083,4.178200692041522
