innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1840,252,PAK,7,103,232,Yasir Shah,JO Holder,9,10,11,12.56,881,45.62,Right-hand bat,36,5,0,3552.2,36.12,86.6,rmf,0,WIN,seam,no,13.836565096952908,12.452908587257618
3,1841,253,PAK,7,103,232,Yasir Shah,JO Holder,9,10,12,12.56,881,45.62,Right-hand bat,37,5,0,3552.2,36.12,86.6,rmf,0,WIN,seam,no,13.836565096952908,12.452908587257618
3,1842,254,PAK,7,103,232,Yasir Shah,JO Holder,9,10,13,12.56,881,45.62,Right-hand bat,38,5,0,3552.2,36.12,86.6,rmf,0,WIN,seam,no,13.836565096952908,12.452908587257618
3,1843,255,PAK,7,103,232,Yasir Shah,JO Holder,9,10,14,12.56,881,45.62,Right-hand bat,39,5,0,3552.2,36.12,86.6,rmf,2lb,WIN,seam,no,13.836565096952908,12.452908587257618
3,1844,256,PAK,7,105,234,Yasir Shah,JO Holder,9,10,15,12.56,881,45.62,Right-hand bat,40,5,0,3552.2,36.12,86.6,rmf,0,WIN,seam,no,13.836565096952908,12.452908587257618
3,1845,257,PAK,7,105,234,Yasir Shah,JO Holder,9,10,16,12.56,881,45.62,Right-hand bat,41,5,0,3552.2,36.12,86.6,rmf,0,WIN,seam,no,13.836565096952908,12.452908587257618
3,1852,264,PAK,7,107,236,Yasir Shah,JO Holder,9,10,17,12.56,881,45.62,Right-hand bat,42,5,0,3552.2,36.12,86.6,rmf,0,WIN,seam,no,13.836565096952908,12.452908587257618
3,1853,265,PAK,7,107,236,Yasir Shah,JO Holder,9,10,18,12.56,881,45.62,Right-hand bat,43,5,0,3552.2,36.12,86.6,rmf,0,WIN,seam,no,13.836565096952908,12.452908587257618
3,1854,266,PAK,7,107,236,Yasir Shah,JO Holder,9,10,19,12.56,881,45.62,Right-hand bat,44,5,0,3552.2,36.12,86.6,rmf,1,WIN,seam,no,13.836565096952908,12.452908587257618
3,1864,276,PAK,7,109,238,Yasir Shah,JO Holder,9,12,25,12.56,881,45.62,Right-hand bat,48,6,0,3552.2,36.12,86.6,rmf,1,WIN,seam,no,13.836565096952908,12.452908587257618
