innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,420,420,NZL,5,205,205,MJ Santner,RL Chase,6,8,29,25.47,1259,42.49,Left-hand bat,48,38,0,2730.3,50.16,88.1,rob,1,NZL,spin,no,25.617728531855956,3.0138504155124655
1,422,422,NZL,5,207,207,MJ Santner,RL Chase,6,9,30,25.47,1259,42.49,Left-hand bat,50,40,0,2730.3,50.16,88.1,rob,0,NZL,spin,no,25.617728531855956,3.0138504155124655
1,423,423,NZL,5,207,207,MJ Santner,RL Chase,6,9,31,25.47,1259,42.49,Left-hand bat,51,40,0,2730.3,50.16,88.1,rob,0,NZL,spin,no,25.617728531855956,3.0138504155124655
1,424,424,NZL,5,207,207,MJ Santner,RL Chase,6,9,32,25.47,1259,42.49,Left-hand bat,52,40,0,2730.3,50.16,88.1,rob,1,NZL,spin,no,25.617728531855956,3.0138504155124655
1,437,437,NZL,5,225,225,MJ Santner,RL Chase,6,10,39,25.47,1259,42.49,Left-hand bat,59,58,0,2730.3,50.16,88.1,rob,0,NZL,spin,no,25.617728531855956,3.0138504155124655
1,444,444,NZL,5,229,229,MJ Santner,RL Chase,6,10,40,25.47,1259,42.49,Left-hand bat,60,58,0,2730.3,50.16,88.1,rob,0,NZL,spin,no,25.617728531855956,3.0138504155124655
1,445,445,NZL,5,229,229,MJ Santner,RL Chase,6,10,41,25.47,1259,42.49,Left-hand bat,61,58,0,2730.3,50.16,88.1,rob,0,NZL,spin,no,25.617728531855956,3.0138504155124655
1,446,446,NZL,5,229,229,MJ Santner,RL Chase,6,10,42,25.47,1259,42.49,Left-hand bat,62,58,0,2730.3,50.16,88.1,rob,0,NZL,spin,no,25.617728531855956,3.0138504155124655
1,447,447,NZL,5,229,229,MJ Santner,RL Chase,6,10,43,25.47,1259,42.49,Left-hand bat,63,58,0,2730.3,50.16,88.1,rob,0,NZL,spin,no,25.617728531855956,3.0138504155124655
1,448,448,NZL,5,229,229,MJ Santner,RL Chase,6,10,44,25.47,1259,42.49,Left-hand bat,64,58,0,2730.3,50.16,88.1,rob,0,NZL,spin,no,25.617728531855956,3.0138504155124655
1,449,449,NZL,5,229,229,MJ Santner,RL Chase,6,10,45,25.47,1259,42.49,Left-hand bat,65,58,0,2730.3,50.16,88.1,rob,1,NZL,spin,no,25.617728531855956,3.0138504155124655
1,458,458,NZL,5,237,237,MJ Santner,RL Chase,6,11,52,25.47,1259,42.49,Left-hand bat,68,66,0,2730.3,50.16,88.1,rob,2,NZL,spin,no,25.617728531855956,3.0138504155124655
1,459,459,NZL,5,239,239,MJ Santner,RL Chase,6,13,53,25.47,1259,42.49,Left-hand bat,69,68,0,2730.3,50.16,88.1,rob,4,NZL,spin,no,25.617728531855956,3.0138504155124655
1,460,460,NZL,5,243,243,MJ Santner,RL Chase,6,17,54,25.47,1259,42.49,Left-hand bat,70,72,0,2730.3,50.16,88.1,rob,0,NZL,spin,no,25.617728531855956,3.0138504155124655
1,461,461,NZL,5,243,243,MJ Santner,RL Chase,6,17,55,25.47,1259,42.49,Left-hand bat,71,72,0,2730.3,50.16,88.1,rob,6,NZL,spin,no,25.617728531855956,3.0138504155124655
