innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,2349,30,PAK,2,8,-127,Asad Shafiq,HMRKB Herath,4,1,1,39.21,7398,47.17,Right-hand bat,12,2,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2350,31,PAK,2,8,-127,Asad Shafiq,HMRKB Herath,4,1,2,39.21,7398,47.17,Right-hand bat,13,2,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2351,32,PAK,2,8,-127,Asad Shafiq,HMRKB Herath,4,1,3,39.21,7398,47.17,Right-hand bat,14,2,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2352,33,PAK,2,8,-127,Asad Shafiq,HMRKB Herath,4,1,4,39.21,7398,47.17,Right-hand bat,15,2,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2353,34,PAK,2,8,-127,Asad Shafiq,HMRKB Herath,4,1,5,39.21,7398,47.17,Right-hand bat,16,2,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2354,35,PAK,2,8,-127,Asad Shafiq,HMRKB Herath,4,1,6,39.21,7398,47.17,Right-hand bat,17,2,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2361,42,PAK,2,12,-123,Asad Shafiq,HMRKB Herath,4,4,9,39.21,7398,47.17,Right-hand bat,18,2,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2362,43,PAK,2,12,-123,Asad Shafiq,HMRKB Herath,4,4,10,39.21,7398,47.17,Right-hand bat,19,2,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2363,44,PAK,2,12,-123,Asad Shafiq,HMRKB Herath,4,4,11,39.21,7398,47.17,Right-hand bat,20,2,1,23832.3,27.82,59.5,lo,1,SRL,spin,no,8.880624999999998,18.444375
4,2377,58,PAK,2,16,-119,Asad Shafiq,HMRKB Herath,4,7,18,39.21,7398,47.17,Right-hand bat,28,4,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2378,59,PAK,2,16,-119,Asad Shafiq,HMRKB Herath,4,7,19,39.21,7398,47.17,Right-hand bat,29,4,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2397,78,PAK,3,20,-115,Asad Shafiq,HMRKB Herath,4,8,25,39.21,7398,47.17,Right-hand bat,36,4,1,23832.3,27.82,59.5,lo,2,SRL,spin,no,8.880624999999998,18.444375
4,2398,79,PAK,3,22,-113,Asad Shafiq,HMRKB Herath,4,10,26,39.21,7398,47.17,Right-hand bat,37,6,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2399,80,PAK,3,22,-113,Asad Shafiq,HMRKB Herath,4,10,27,39.21,7398,47.17,Right-hand bat,38,6,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2400,81,PAK,3,22,-113,Asad Shafiq,HMRKB Herath,4,10,28,39.21,7398,47.17,Right-hand bat,39,6,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2401,82,PAK,3,22,-113,Asad Shafiq,HMRKB Herath,4,10,29,39.21,7398,47.17,Right-hand bat,40,6,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2402,83,PAK,3,22,-113,Asad Shafiq,HMRKB Herath,4,10,30,39.21,7398,47.17,Right-hand bat,41,6,1,23832.3,27.82,59.5,lo,2,SRL,spin,no,8.880624999999998,18.444375
4,2409,90,PAK,3,26,-109,Asad Shafiq,HMRKB Herath,4,12,31,39.21,7398,47.17,Right-hand bat,42,8,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2410,91,PAK,3,26,-109,Asad Shafiq,HMRKB Herath,4,12,32,39.21,7398,47.17,Right-hand bat,43,8,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2411,92,PAK,3,26,-109,Asad Shafiq,HMRKB Herath,4,12,33,39.21,7398,47.17,Right-hand bat,44,8,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2412,93,PAK,3,26,-109,Asad Shafiq,HMRKB Herath,4,12,34,39.21,7398,47.17,Right-hand bat,45,8,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2413,94,PAK,3,26,-109,Asad Shafiq,HMRKB Herath,4,12,35,39.21,7398,47.17,Right-hand bat,46,8,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2414,95,PAK,3,26,-109,Asad Shafiq,HMRKB Herath,4,12,36,39.21,7398,47.17,Right-hand bat,47,8,1,23832.3,27.82,59.5,lo,1,SRL,spin,no,8.880624999999998,18.444375
4,2422,103,PAK,4,34,-101,Asad Shafiq,HMRKB Herath,4,18,40,39.21,7398,47.17,Right-hand bat,49,9,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2423,104,PAK,4,34,-101,Asad Shafiq,HMRKB Herath,4,18,41,39.21,7398,47.17,Right-hand bat,50,9,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2424,105,PAK,4,34,-101,Asad Shafiq,HMRKB Herath,4,18,42,39.21,7398,47.17,Right-hand bat,51,9,1,23832.3,27.82,59.5,lo,2,SRL,spin,no,8.880624999999998,18.444375
4,2425,106,PAK,4,36,-99,Asad Shafiq,HMRKB Herath,4,20,43,39.21,7398,47.17,Right-hand bat,52,11,1,23832.3,27.82,59.5,lo,W,SRL,spin,no,8.880624999999998,18.444375
