innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,2519,200,PAK,6,78,-57,Hasan Ali,HMRKB Herath,8,0,0,30,51,117.64,Right-hand bat,86,22,3,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2520,201,PAK,6,78,-57,Hasan Ali,HMRKB Herath,8,0,1,30,51,117.64,Right-hand bat,87,22,3,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2521,202,PAK,6,78,-57,Hasan Ali,HMRKB Herath,8,0,2,30,51,117.64,Right-hand bat,88,22,3,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2522,203,PAK,6,78,-57,Hasan Ali,HMRKB Herath,8,0,3,30,51,117.64,Right-hand bat,89,22,3,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2534,215,PAK,6,88,-47,Hasan Ali,HMRKB Herath,8,1,5,30,51,117.64,Right-hand bat,95,25,3,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2542,223,PAK,6,90,-45,Hasan Ali,HMRKB Herath,8,1,8,30,51,117.64,Right-hand bat,97,26,3,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2543,224,PAK,6,90,-45,Hasan Ali,HMRKB Herath,8,1,9,30,51,117.64,Right-hand bat,98,26,3,23832.3,27.82,59.5,lo,1,SRL,spin,no,8.880624999999998,18.444375
4,2545,226,PAK,6,92,-43,Hasan Ali,HMRKB Herath,8,2,10,30,51,117.64,Right-hand bat,100,28,3,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2546,227,PAK,6,92,-43,Hasan Ali,HMRKB Herath,8,2,11,30,51,117.64,Right-hand bat,101,28,3,23832.3,27.82,59.5,lo,6,SRL,spin,no,8.880624999999998,18.444375
4,2553,234,PAK,7,100,-35,Hasan Ali,HMRKB Herath,8,8,12,30,51,117.64,Right-hand bat,102,34,3,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2554,235,PAK,7,100,-35,Hasan Ali,HMRKB Herath,8,8,13,30,51,117.64,Right-hand bat,103,34,3,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
4,2555,236,PAK,7,100,-35,Hasan Ali,HMRKB Herath,8,8,14,30,51,117.64,Right-hand bat,104,34,3,23832.3,27.82,59.5,lo,W,SRL,spin,no,8.880624999999998,18.444375
