innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,468,28,IND,1,16,-270,CA Pujara,VD Philander,3,0,0,52.07,9238,47.91,Right-hand bat,16,10,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,469,29,IND,1,16,-270,CA Pujara,VD Philander,3,0,1,52.07,9238,47.91,Right-hand bat,17,10,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,512,72,IND,3,28,-258,CA Pujara,VD Philander,3,5,18,52.07,9238,47.91,Right-hand bat,24,13,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,513,73,IND,3,28,-258,CA Pujara,VD Philander,3,5,19,52.07,9238,47.91,Right-hand bat,25,13,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,514,74,IND,3,28,-258,CA Pujara,VD Philander,3,5,20,52.07,9238,47.91,Right-hand bat,26,13,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,515,75,IND,3,28,-258,CA Pujara,VD Philander,3,5,21,52.07,9238,47.91,Right-hand bat,27,13,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,516,76,IND,3,28,-258,CA Pujara,VD Philander,3,5,22,52.07,9238,47.91,Right-hand bat,28,13,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,517,77,IND,3,28,-258,CA Pujara,VD Philander,3,5,23,52.07,9238,47.91,Right-hand bat,29,13,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,524,84,IND,3,28,-258,CA Pujara,VD Philander,3,5,24,52.07,9238,47.91,Right-hand bat,30,13,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,525,85,IND,3,28,-258,CA Pujara,VD Philander,3,5,25,52.07,9238,47.91,Right-hand bat,31,13,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,526,86,IND,3,28,-258,CA Pujara,VD Philander,3,5,26,52.07,9238,47.91,Right-hand bat,32,13,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,527,87,IND,3,28,-258,CA Pujara,VD Philander,3,5,27,52.07,9238,47.91,Right-hand bat,33,13,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,528,88,IND,3,28,-258,CA Pujara,VD Philander,3,5,28,52.07,9238,47.91,Right-hand bat,34,13,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,529,89,IND,3,28,-258,CA Pujara,VD Philander,3,5,29,52.07,9238,47.91,Right-hand bat,35,13,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,572,132,IND,3,44,-242,CA Pujara,VD Philander,3,10,46,52.07,9238,47.91,Right-hand bat,54,13,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,573,133,IND,3,44,-242,CA Pujara,VD Philander,3,10,47,52.07,9238,47.91,Right-hand bat,55,13,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,574,134,IND,3,44,-242,CA Pujara,VD Philander,3,10,48,52.07,9238,47.91,Right-hand bat,56,13,1,8730.3,21.68,47.9,rfm,0,RSA,seam,no,18.05,0.95
2,575,135,IND,3,44,-242,CA Pujara,VD Philander,3,10,49,52.07,9238,47.91,Right-hand bat,57,13,1,8730.3,21.68,47.9,rfm,1,RSA,seam,no,18.05,0.95
2,656,216,IND,4,76,-210,CA Pujara,VD Philander,3,26,91,52.07,9238,47.91,Right-hand bat,60,14,1,8730.3,21.68,47.9,rfm,W,RSA,seam,no,18.05,0.95
