innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1949,42,SRL,1,14,-395,DM de Silva,RA Jadeja,3,0,1,42.3,1550,54.58,Right-hand bat,0,0,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1950,43,SRL,1,14,-395,DM de Silva,RA Jadeja,3,0,2,42.3,1550,54.58,Right-hand bat,1,0,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1951,44,SRL,1,14,-395,DM de Silva,RA Jadeja,3,0,3,42.3,1550,54.58,Right-hand bat,2,0,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1952,45,SRL,1,14,-395,DM de Silva,RA Jadeja,3,0,4,42.3,1550,54.58,Right-hand bat,3,0,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1953,46,SRL,1,14,-395,DM de Silva,RA Jadeja,3,0,5,42.3,1550,54.58,Right-hand bat,4,0,0,10098.4,23.73,61.2,lo,2,IND,spin,no,21.939643347050758,33.90672153635117
4,1954,47,SRL,1,16,-393,DM de Silva,RA Jadeja,3,2,6,42.3,1550,54.58,Right-hand bat,5,2,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1961,54,SRL,1,16,-393,DM de Silva,RA Jadeja,3,2,7,42.3,1550,54.58,Right-hand bat,6,2,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1962,55,SRL,1,16,-393,DM de Silva,RA Jadeja,3,2,8,42.3,1550,54.58,Right-hand bat,7,2,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1963,56,SRL,1,16,-393,DM de Silva,RA Jadeja,3,2,9,42.3,1550,54.58,Right-hand bat,8,2,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1964,57,SRL,1,16,-393,DM de Silva,RA Jadeja,3,2,10,42.3,1550,54.58,Right-hand bat,9,2,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1965,58,SRL,1,16,-393,DM de Silva,RA Jadeja,3,2,11,42.3,1550,54.58,Right-hand bat,10,2,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1966,59,SRL,1,16,-393,DM de Silva,RA Jadeja,3,2,12,42.3,1550,54.58,Right-hand bat,11,2,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1973,66,SRL,1,18,-391,DM de Silva,RA Jadeja,3,3,14,42.3,1550,54.58,Right-hand bat,12,2,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1974,67,SRL,1,18,-391,DM de Silva,RA Jadeja,3,3,15,42.3,1550,54.58,Right-hand bat,13,2,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1975,68,SRL,1,18,-391,DM de Silva,RA Jadeja,3,3,16,42.3,1550,54.58,Right-hand bat,14,2,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1976,69,SRL,1,18,-391,DM de Silva,RA Jadeja,3,3,17,42.3,1550,54.58,Right-hand bat,15,2,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1977,70,SRL,1,18,-391,DM de Silva,RA Jadeja,3,3,18,42.3,1550,54.58,Right-hand bat,16,2,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1978,71,SRL,1,18,-391,DM de Silva,RA Jadeja,3,3,19,42.3,1550,54.58,Right-hand bat,17,2,0,10098.4,23.73,61.2,lo,2,IND,spin,no,21.939643347050758,33.90672153635117
4,1985,78,SRL,1,24,-385,DM de Silva,RA Jadeja,3,6,21,42.3,1550,54.58,Right-hand bat,18,4,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
4,1986,79,SRL,1,24,-385,DM de Silva,RA Jadeja,3,6,22,42.3,1550,54.58,Right-hand bat,19,4,0,10098.4,23.73,61.2,lo,0,IND,spin,no,21.939643347050758,33.90672153635117
