innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,819,120,PAK,1,24,-43,Babar Azam,TG Southee,3,2,3,31.5,230,54.78,Right-hand bat,30,0,0,11622,32.13,63.8,rmf,1,NZL,seam,no,18.52734375,0.59765625
3,831,132,PAK,1,26,-41,Babar Azam,TG Southee,3,4,8,31.5,230,54.78,Right-hand bat,36,1,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,832,133,PAK,1,26,-41,Babar Azam,TG Southee,3,4,9,31.5,230,54.78,Right-hand bat,37,1,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,833,134,PAK,1,26,-41,Babar Azam,TG Southee,3,4,10,31.5,230,54.78,Right-hand bat,38,1,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,834,135,PAK,1,26,-41,Babar Azam,TG Southee,3,4,11,31.5,230,54.78,Right-hand bat,39,1,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,835,136,PAK,1,26,-41,Babar Azam,TG Southee,3,4,12,31.5,230,54.78,Right-hand bat,40,1,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,836,137,PAK,1,26,-41,Babar Azam,TG Southee,3,4,13,31.5,230,54.78,Right-hand bat,41,1,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,849,150,PAK,1,29,-38,Babar Azam,TG Southee,3,5,15,31.5,230,54.78,Right-hand bat,42,1,0,11622,32.13,63.8,rmf,3,NZL,seam,no,18.52734375,0.59765625
3,851,152,PAK,1,33,-34,Babar Azam,TG Southee,3,8,16,31.5,230,54.78,Right-hand bat,44,5,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,852,153,PAK,1,33,-34,Babar Azam,TG Southee,3,8,17,31.5,230,54.78,Right-hand bat,45,5,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,853,154,PAK,1,33,-34,Babar Azam,TG Southee,3,8,18,31.5,230,54.78,Right-hand bat,46,5,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,854,155,PAK,1,33,-34,Babar Azam,TG Southee,3,8,19,31.5,230,54.78,Right-hand bat,47,5,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,863,164,PAK,1,41,-26,Babar Azam,TG Southee,3,14,25,31.5,230,54.78,Right-hand bat,50,6,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,864,165,PAK,1,41,-26,Babar Azam,TG Southee,3,14,26,31.5,230,54.78,Right-hand bat,51,6,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,865,166,PAK,1,41,-26,Babar Azam,TG Southee,3,14,27,31.5,230,54.78,Right-hand bat,52,6,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,866,167,PAK,1,41,-26,Babar Azam,TG Southee,3,14,28,31.5,230,54.78,Right-hand bat,53,6,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,873,174,PAK,1,41,-26,Babar Azam,TG Southee,3,14,29,31.5,230,54.78,Right-hand bat,54,6,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,874,175,PAK,1,41,-26,Babar Azam,TG Southee,3,14,30,31.5,230,54.78,Right-hand bat,55,6,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,875,176,PAK,1,41,-26,Babar Azam,TG Southee,3,14,31,31.5,230,54.78,Right-hand bat,56,6,0,11622,32.13,63.8,rmf,4,NZL,seam,no,18.52734375,0.59765625
3,876,177,PAK,1,45,-22,Babar Azam,TG Southee,3,18,32,31.5,230,54.78,Right-hand bat,57,10,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,877,178,PAK,1,45,-22,Babar Azam,TG Southee,3,18,33,31.5,230,54.78,Right-hand bat,58,10,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,878,179,PAK,1,45,-22,Babar Azam,TG Southee,3,18,34,31.5,230,54.78,Right-hand bat,59,10,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,885,186,PAK,1,45,-22,Babar Azam,TG Southee,3,18,35,31.5,230,54.78,Right-hand bat,60,10,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,886,187,PAK,1,45,-22,Babar Azam,TG Southee,3,18,36,31.5,230,54.78,Right-hand bat,61,10,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,887,188,PAK,1,45,-22,Babar Azam,TG Southee,3,18,37,31.5,230,54.78,Right-hand bat,62,10,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,888,189,PAK,1,45,-22,Babar Azam,TG Southee,3,18,38,31.5,230,54.78,Right-hand bat,63,10,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,889,190,PAK,1,45,-22,Babar Azam,TG Southee,3,18,39,31.5,230,54.78,Right-hand bat,64,10,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
3,890,191,PAK,1,45,-22,Babar Azam,TG Southee,3,18,40,31.5,230,54.78,Right-hand bat,65,10,0,11622,32.13,63.8,rmf,0,NZL,seam,no,18.52734375,0.59765625
