innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1276,408,IRE,6,157,-23,SR Thompson,Mohammad Amir,8,0,0,28,137,40.87,Left-hand bat,73,13,3,6654,31.95,66.5,lf,0,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1284,416,IRE,6,161,-19,SR Thompson,Mohammad Amir,8,1,4,28,137,40.87,Left-hand bat,75,14,3,6654,31.95,66.5,lf,2,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1285,417,IRE,6,163,-17,SR Thompson,Mohammad Amir,8,3,5,28,137,40.87,Left-hand bat,76,16,3,6654,31.95,66.5,lf,1,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1287,419,IRE,6,165,-15,SR Thompson,Mohammad Amir,8,4,6,28,137,40.87,Left-hand bat,78,18,3,6654,31.95,66.5,lf,1,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1296,428,IRE,6,169,-11,SR Thompson,Mohammad Amir,8,6,12,28,137,40.87,Left-hand bat,81,20,3,6654,31.95,66.5,lf,0,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1297,429,IRE,6,169,-11,SR Thompson,Mohammad Amir,8,6,13,28,137,40.87,Left-hand bat,82,20,3,6654,31.95,66.5,lf,0,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1298,430,IRE,6,169,-11,SR Thompson,Mohammad Amir,8,6,14,28,137,40.87,Left-hand bat,83,20,3,6654,31.95,66.5,lf,4,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1299,431,IRE,6,173,-7,SR Thompson,Mohammad Amir,8,10,15,28,137,40.87,Left-hand bat,84,24,3,6654,31.95,66.5,lf,3,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1364,496,IRE,6,195,15,SR Thompson,Mohammad Amir,8,18,48,28,137,40.87,Left-hand bat,88,28,3,6654,31.95,66.5,lf,0,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1365,497,IRE,6,195,15,SR Thompson,Mohammad Amir,8,18,49,28,137,40.87,Left-hand bat,89,28,3,6654,31.95,66.5,lf,0,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1366,498,IRE,6,195,15,SR Thompson,Mohammad Amir,8,18,50,28,137,40.87,Left-hand bat,90,28,3,6654,31.95,66.5,lf,0,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1367,499,IRE,6,195,15,SR Thompson,Mohammad Amir,8,18,51,28,137,40.87,Left-hand bat,91,28,3,6654,31.95,66.5,lf,0,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1374,506,IRE,6,205,25,SR Thompson,Mohammad Amir,8,19,53,28,137,40.87,Left-hand bat,92,28,3,6654,31.95,66.5,lf,0,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1375,507,IRE,6,205,25,SR Thompson,Mohammad Amir,8,19,54,28,137,40.87,Left-hand bat,93,28,3,6654,31.95,66.5,lf,0,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1376,508,IRE,6,205,25,SR Thompson,Mohammad Amir,8,19,55,28,137,40.87,Left-hand bat,94,28,3,6654,31.95,66.5,lf,0,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1377,509,IRE,6,205,25,SR Thompson,Mohammad Amir,8,19,56,28,137,40.87,Left-hand bat,95,28,3,6654,31.95,66.5,lf,1,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1390,522,IRE,6,213,33,SR Thompson,Mohammad Amir,8,22,63,28,137,40.87,Left-hand bat,102,34,3,6654,31.95,66.5,lf,1,IRE,seam,yes,24.36851211072664,3.2491349480968856
3,1398,530,IRE,6,225,45,SR Thompson,Mohammad Amir,8,34,69,28,137,40.87,Left-hand bat,104,35,3,6654,31.95,66.5,lf,4,IRE,seam,yes,24.36851211072664,3.2491349480968856
