innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,986,508,WIN,5,245,-8,JO Holder,RAS Lakmal,7,0,8,29.48,2315,57.32,Right-hand bat,108,28,1,8742,42.46,80.2,rfm,0,SRL,seam,no,28.070204081632653,1.7012244897959183
2,987,509,WIN,5,245,-8,JO Holder,RAS Lakmal,7,0,9,29.48,2315,57.32,Right-hand bat,109,28,1,8742,42.46,80.2,rfm,0,SRL,seam,no,28.070204081632653,1.7012244897959183
2,988,510,WIN,5,245,-8,JO Holder,RAS Lakmal,7,0,10,29.48,2315,57.32,Right-hand bat,110,28,1,8742,42.46,80.2,rfm,1,SRL,seam,no,28.070204081632653,1.7012244897959183
2,991,513,WIN,5,247,-6,JO Holder,RAS Lakmal,7,1,11,29.48,2315,57.32,Right-hand bat,113,30,1,8742,42.46,80.2,rfm,0,SRL,seam,no,28.070204081632653,1.7012244897959183
2,998,520,WIN,5,253,0,JO Holder,RAS Lakmal,7,1,12,29.48,2315,57.32,Right-hand bat,114,30,1,8742,42.46,80.2,rfm,1,SRL,seam,no,28.070204081632653,1.7012244897959183
2,1011,533,WIN,6,257,4,JO Holder,RAS Lakmal,7,3,15,29.48,2315,57.32,Right-hand bat,121,32,2,8742,42.46,80.2,rfm,2,SRL,seam,no,28.070204081632653,1.7012244897959183
2,1012,534,WIN,6,259,6,JO Holder,RAS Lakmal,7,5,16,29.48,2315,57.32,Right-hand bat,122,34,2,8742,42.46,80.2,rfm,0,SRL,seam,no,28.070204081632653,1.7012244897959183
2,1013,535,WIN,6,259,6,JO Holder,RAS Lakmal,7,5,17,29.48,2315,57.32,Right-hand bat,123,34,2,8742,42.46,80.2,rfm,0,SRL,seam,no,28.070204081632653,1.7012244897959183
2,1014,536,WIN,6,259,6,JO Holder,RAS Lakmal,7,5,18,29.48,2315,57.32,Right-hand bat,124,34,2,8742,42.46,80.2,rfm,1,SRL,seam,no,28.070204081632653,1.7012244897959183
2,1022,544,WIN,7,261,8,JO Holder,RAS Lakmal,7,7,21,29.48,2315,57.32,Right-hand bat,126,35,2,8742,42.46,80.2,rfm,5wd,SRL,seam,no,28.070204081632653,1.7012244897959183
2,1023,545,WIN,7,266,13,JO Holder,RAS Lakmal,7,7,21,29.48,2315,57.32,Right-hand bat,127,40,2,8742,42.46,80.2,rfm,0,SRL,seam,no,28.070204081632653,1.7012244897959183
2,1024,546,WIN,7,266,13,JO Holder,RAS Lakmal,7,7,22,29.48,2315,57.32,Right-hand bat,128,40,2,8742,42.46,80.2,rfm,0,SRL,seam,no,28.070204081632653,1.7012244897959183
2,1025,547,WIN,7,266,13,JO Holder,RAS Lakmal,7,7,23,29.48,2315,57.32,Right-hand bat,129,40,2,8742,42.46,80.2,rfm,0,SRL,seam,no,28.070204081632653,1.7012244897959183
2,1026,548,WIN,7,266,13,JO Holder,RAS Lakmal,7,7,24,29.48,2315,57.32,Right-hand bat,130,40,2,8742,42.46,80.2,rfm,0,SRL,seam,no,28.070204081632653,1.7012244897959183
2,1027,549,WIN,7,266,13,JO Holder,RAS Lakmal,7,7,25,29.48,2315,57.32,Right-hand bat,131,40,2,8742,42.46,80.2,rfm,1b,SRL,seam,no,28.070204081632653,1.7012244897959183
