innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,21,21,RSA,1,11,11,AK Markram,Mohammad Abbas,1,2,10,45.96,1912,64.9,Right-hand bat,9,7,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,22,22,RSA,1,11,11,AK Markram,Mohammad Abbas,1,2,11,45.96,1912,64.9,Right-hand bat,10,7,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,23,23,RSA,1,11,11,AK Markram,Mohammad Abbas,1,2,12,45.96,1912,64.9,Right-hand bat,11,7,1,3036,18.86,46,rmf,1,RSA,seam,yes,22.378125,3.196875
1,42,42,RSA,1,15,15,AK Markram,Mohammad Abbas,1,6,23,45.96,1912,64.9,Right-hand bat,18,8,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,43,43,RSA,1,15,15,AK Markram,Mohammad Abbas,1,6,24,45.96,1912,64.9,Right-hand bat,19,8,1,3036,18.86,46,rmf,4,RSA,seam,yes,22.378125,3.196875
1,44,44,RSA,1,19,19,AK Markram,Mohammad Abbas,1,10,25,45.96,1912,64.9,Right-hand bat,20,12,1,3036,18.86,46,rmf,2,RSA,seam,yes,22.378125,3.196875
1,45,45,RSA,1,21,21,AK Markram,Mohammad Abbas,1,12,26,45.96,1912,64.9,Right-hand bat,21,14,1,3036,18.86,46,rmf,4,RSA,seam,yes,22.378125,3.196875
1,46,46,RSA,1,25,25,AK Markram,Mohammad Abbas,1,16,27,45.96,1912,64.9,Right-hand bat,22,18,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,47,47,RSA,1,25,25,AK Markram,Mohammad Abbas,1,16,28,45.96,1912,64.9,Right-hand bat,23,18,1,3036,18.86,46,rmf,1,RSA,seam,yes,22.378125,3.196875
1,57,57,RSA,1,31,31,AK Markram,Mohammad Abbas,1,21,35,45.96,1912,64.9,Right-hand bat,27,20,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,58,58,RSA,1,31,31,AK Markram,Mohammad Abbas,1,21,36,45.96,1912,64.9,Right-hand bat,28,20,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,59,59,RSA,1,31,31,AK Markram,Mohammad Abbas,1,21,37,45.96,1912,64.9,Right-hand bat,29,20,1,3036,18.86,46,rmf,1,RSA,seam,yes,22.378125,3.196875
1,152,152,RSA,1,103,103,AK Markram,Mohammad Abbas,1,74,94,45.96,1912,64.9,Right-hand bat,36,21,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,153,153,RSA,1,103,103,AK Markram,Mohammad Abbas,1,74,95,45.96,1912,64.9,Right-hand bat,37,21,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,154,154,RSA,1,103,103,AK Markram,Mohammad Abbas,1,74,96,45.96,1912,64.9,Right-hand bat,38,21,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,155,155,RSA,1,103,103,AK Markram,Mohammad Abbas,1,74,97,45.96,1912,64.9,Right-hand bat,39,21,1,3036,18.86,46,rmf,4,RSA,seam,yes,22.378125,3.196875
1,156,156,RSA,1,107,107,AK Markram,Mohammad Abbas,1,78,98,45.96,1912,64.9,Right-hand bat,40,25,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,157,157,RSA,1,107,107,AK Markram,Mohammad Abbas,1,78,99,45.96,1912,64.9,Right-hand bat,41,25,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,176,176,RSA,1,113,113,AK Markram,Mohammad Abbas,1,83,105,45.96,1912,64.9,Right-hand bat,48,25,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,177,177,RSA,1,113,113,AK Markram,Mohammad Abbas,1,83,106,45.96,1912,64.9,Right-hand bat,49,25,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,178,178,RSA,1,113,113,AK Markram,Mohammad Abbas,1,83,107,45.96,1912,64.9,Right-hand bat,50,25,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,179,179,RSA,1,113,113,AK Markram,Mohammad Abbas,1,83,108,45.96,1912,64.9,Right-hand bat,51,25,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,180,180,RSA,1,113,113,AK Markram,Mohammad Abbas,1,83,109,45.96,1912,64.9,Right-hand bat,52,25,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,181,181,RSA,1,113,113,AK Markram,Mohammad Abbas,1,83,110,45.96,1912,64.9,Right-hand bat,53,25,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,188,188,RSA,1,121,121,AK Markram,Mohammad Abbas,1,83,111,45.96,1912,64.9,Right-hand bat,54,25,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,189,189,RSA,1,121,121,AK Markram,Mohammad Abbas,1,83,112,45.96,1912,64.9,Right-hand bat,55,25,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,190,190,RSA,1,121,121,AK Markram,Mohammad Abbas,1,83,113,45.96,1912,64.9,Right-hand bat,56,25,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,191,191,RSA,1,121,121,AK Markram,Mohammad Abbas,1,83,114,45.96,1912,64.9,Right-hand bat,57,25,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,192,192,RSA,1,121,121,AK Markram,Mohammad Abbas,1,83,115,45.96,1912,64.9,Right-hand bat,58,25,1,3036,18.86,46,rmf,2,RSA,seam,yes,22.378125,3.196875
1,193,193,RSA,1,123,123,AK Markram,Mohammad Abbas,1,85,116,45.96,1912,64.9,Right-hand bat,59,27,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,200,200,RSA,1,127,127,AK Markram,Mohammad Abbas,1,85,117,45.96,1912,64.9,Right-hand bat,60,27,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,201,201,RSA,1,127,127,AK Markram,Mohammad Abbas,1,85,118,45.96,1912,64.9,Right-hand bat,61,27,1,3036,18.86,46,rmf,0,RSA,seam,yes,22.378125,3.196875
1,202,202,RSA,1,127,127,AK Markram,Mohammad Abbas,1,85,119,45.96,1912,64.9,Right-hand bat,62,27,1,3036,18.86,46,rmf,1,RSA,seam,yes,22.378125,3.196875
