innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,980,242,NZL,2,133,-175,LRPL Taylor,M Morkel,4,2,9,47.1,10123,59.56,Right-hand bat,30,10,0,13782.2,29.34,56.4,rf,1,NZL,seam,no,20.662721893491128,12.914201183431954
2,992,254,NZL,2,141,-167,LRPL Taylor,M Morkel,4,5,15,47.1,10123,59.56,Right-hand bat,36,15,0,13782.2,29.34,56.4,rf,0,NZL,seam,no,20.662721893491128,12.914201183431954
2,993,255,NZL,2,141,-167,LRPL Taylor,M Morkel,4,5,16,47.1,10123,59.56,Right-hand bat,37,15,0,13782.2,29.34,56.4,rf,0,NZL,seam,no,20.662721893491128,12.914201183431954
2,994,256,NZL,2,141,-167,LRPL Taylor,M Morkel,4,5,17,47.1,10123,59.56,Right-hand bat,38,15,0,13782.2,29.34,56.4,rf,4lb,NZL,seam,no,20.662721893491128,12.914201183431954
2,995,257,NZL,2,145,-163,LRPL Taylor,M Morkel,4,5,18,47.1,10123,59.56,Right-hand bat,39,15,0,13782.2,29.34,56.4,rf,2,NZL,seam,no,20.662721893491128,12.914201183431954
2,996,258,NZL,2,147,-161,LRPL Taylor,M Morkel,4,7,19,47.1,10123,59.56,Right-hand bat,40,17,0,13782.2,29.34,56.4,rf,1,NZL,seam,no,20.662721893491128,12.914201183431954
2,1419,681,NZL,9,331,23,LRPL Taylor,M Morkel,4,9,21,47.1,10123,59.56,Right-hand bat,138,56,2,13782.2,29.34,56.4,rf,6,NZL,seam,no,20.662721893491128,12.914201183431954
2,1420,682,NZL,9,337,29,LRPL Taylor,M Morkel,4,15,22,47.1,10123,59.56,Right-hand bat,139,62,2,13782.2,29.34,56.4,rf,0,NZL,seam,no,20.662721893491128,12.914201183431954
2,1421,683,NZL,9,337,29,LRPL Taylor,M Morkel,4,15,23,47.1,10123,59.56,Right-hand bat,140,62,2,13782.2,29.34,56.4,rf,0,NZL,seam,no,20.662721893491128,12.914201183431954
2,1422,684,NZL,9,337,29,LRPL Taylor,M Morkel,4,15,24,47.1,10123,59.56,Right-hand bat,141,62,2,13782.2,29.34,56.4,rf,0,NZL,seam,no,20.662721893491128,12.914201183431954
2,1423,685,NZL,9,337,29,LRPL Taylor,M Morkel,4,15,25,47.1,10123,59.56,Right-hand bat,142,62,2,13782.2,29.34,56.4,rf,0,NZL,seam,no,20.662721893491128,12.914201183431954
2,1424,686,NZL,9,337,29,LRPL Taylor,M Morkel,4,15,26,47.1,10123,59.56,Right-hand bat,143,62,2,13782.2,29.34,56.4,rf,0,NZL,seam,no,20.662721893491128,12.914201183431954
