innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1040,96,ENG,2,36,-322,JE Root,JL Pattinson,4,9,19,48.2,12534,55,Right-hand bat,0,0,0,3666.3,26.64,48.9,rfm,0,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1041,97,ENG,2,36,-322,JE Root,JL Pattinson,4,9,20,48.2,12534,55,Right-hand bat,1,0,0,3666.3,26.64,48.9,rfm,0,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1042,98,ENG,2,36,-322,JE Root,JL Pattinson,4,9,21,48.2,12534,55,Right-hand bat,2,0,0,3666.3,26.64,48.9,rfm,0,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1043,99,ENG,2,36,-322,JE Root,JL Pattinson,4,9,22,48.2,12534,55,Right-hand bat,3,0,0,3666.3,26.64,48.9,rfm,0,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1044,100,ENG,2,36,-322,JE Root,JL Pattinson,4,9,23,48.2,12534,55,Right-hand bat,4,0,0,3666.3,26.64,48.9,rfm,0,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1045,101,ENG,2,36,-322,JE Root,JL Pattinson,4,9,24,48.2,12534,55,Right-hand bat,5,0,0,3666.3,26.64,48.9,rfm,1,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1052,108,ENG,2,42,-316,JE Root,JL Pattinson,4,11,27,48.2,12534,55,Right-hand bat,6,1,0,3666.3,26.64,48.9,rfm,0,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1053,109,ENG,2,42,-316,JE Root,JL Pattinson,4,11,28,48.2,12534,55,Right-hand bat,7,1,0,3666.3,26.64,48.9,rfm,0,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1054,110,ENG,2,42,-316,JE Root,JL Pattinson,4,11,29,48.2,12534,55,Right-hand bat,8,1,0,3666.3,26.64,48.9,rfm,0,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1055,111,ENG,2,42,-316,JE Root,JL Pattinson,4,11,30,48.2,12534,55,Right-hand bat,9,1,0,3666.3,26.64,48.9,rfm,4,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1056,112,ENG,2,46,-312,JE Root,JL Pattinson,4,15,31,48.2,12534,55,Right-hand bat,10,5,0,3666.3,26.64,48.9,rfm,0,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1057,113,ENG,2,46,-312,JE Root,JL Pattinson,4,15,32,48.2,12534,55,Right-hand bat,11,5,0,3666.3,26.64,48.9,rfm,1,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1077,133,ENG,2,53,-305,JE Root,JL Pattinson,4,18,40,48.2,12534,55,Right-hand bat,19,9,0,3666.3,26.64,48.9,rfm,0,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1078,134,ENG,2,53,-305,JE Root,JL Pattinson,4,18,41,48.2,12534,55,Right-hand bat,20,9,0,3666.3,26.64,48.9,rfm,0,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1079,135,ENG,2,53,-305,JE Root,JL Pattinson,4,18,42,48.2,12534,55,Right-hand bat,21,9,0,3666.3,26.64,48.9,rfm,0,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1080,136,ENG,2,53,-305,JE Root,JL Pattinson,4,18,43,48.2,12534,55,Right-hand bat,22,9,0,3666.3,26.64,48.9,rfm,0,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1081,137,ENG,2,53,-305,JE Root,JL Pattinson,4,18,44,48.2,12534,55,Right-hand bat,23,9,0,3666.3,26.64,48.9,rfm,0,ENG,seam,yes,19.65154503616042,2.245890861275477
4,1082,138,ENG,2,53,-305,JE Root,JL Pattinson,4,18,45,48.2,12534,55,Right-hand bat,24,9,0,3666.3,26.64,48.9,rfm,1lb,ENG,seam,yes,19.65154503616042,2.245890861275477
