innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1507,97,AUS,4,45,241,MS Wade,SCJ Broad,6,1,5,27.87,2230,48.74,Left-hand bat,48,17,2,26784.4,28.68,57.8,rfm,0,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1508,98,AUS,4,45,241,MS Wade,SCJ Broad,6,1,6,27.87,2230,48.74,Left-hand bat,49,17,2,26784.4,28.68,57.8,rfm,0,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1509,99,AUS,4,45,241,MS Wade,SCJ Broad,6,1,7,27.87,2230,48.74,Left-hand bat,50,17,2,26784.4,28.68,57.8,rfm,0,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1510,100,AUS,4,45,241,MS Wade,SCJ Broad,6,1,8,27.87,2230,48.74,Left-hand bat,51,17,2,26784.4,28.68,57.8,rfm,2,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1511,101,AUS,4,47,243,MS Wade,SCJ Broad,6,3,9,27.87,2230,48.74,Left-hand bat,52,19,2,26784.4,28.68,57.8,rfm,0,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1512,102,AUS,4,47,243,MS Wade,SCJ Broad,6,3,10,27.87,2230,48.74,Left-hand bat,53,19,2,26784.4,28.68,57.8,rfm,0,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1583,173,AUS,4,97,293,MS Wade,SCJ Broad,6,19,49,27.87,2230,48.74,Left-hand bat,58,24,2,26784.4,28.68,57.8,rfm,0,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1584,174,AUS,4,97,293,MS Wade,SCJ Broad,6,19,50,27.87,2230,48.74,Left-hand bat,59,24,2,26784.4,28.68,57.8,rfm,0,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1592,182,AUS,4,105,301,MS Wade,SCJ Broad,6,20,54,27.87,2230,48.74,Left-hand bat,61,25,2,26784.4,28.68,57.8,rfm,0,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1593,183,AUS,4,105,301,MS Wade,SCJ Broad,6,20,55,27.87,2230,48.74,Left-hand bat,62,25,2,26784.4,28.68,57.8,rfm,0,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1594,184,AUS,4,105,301,MS Wade,SCJ Broad,6,20,56,27.87,2230,48.74,Left-hand bat,63,25,2,26784.4,28.68,57.8,rfm,0,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1595,185,AUS,4,105,301,MS Wade,SCJ Broad,6,20,57,27.87,2230,48.74,Left-hand bat,64,25,2,26784.4,28.68,57.8,rfm,0,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1596,186,AUS,4,105,301,MS Wade,SCJ Broad,6,20,58,27.87,2230,48.74,Left-hand bat,65,25,2,26784.4,28.68,57.8,rfm,0,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1603,193,AUS,4,109,305,MS Wade,SCJ Broad,6,21,61,27.87,2230,48.74,Left-hand bat,66,25,2,26784.4,28.68,57.8,rfm,0,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1604,194,AUS,4,109,305,MS Wade,SCJ Broad,6,21,62,27.87,2230,48.74,Left-hand bat,67,25,2,26784.4,28.68,57.8,rfm,1,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1615,205,AUS,4,123,319,MS Wade,SCJ Broad,6,22,63,27.87,2230,48.74,Left-hand bat,72,31,2,26784.4,28.68,57.8,rfm,0,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1616,206,AUS,4,123,319,MS Wade,SCJ Broad,6,22,64,27.87,2230,48.74,Left-hand bat,73,31,2,26784.4,28.68,57.8,rfm,1,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1620,210,AUS,4,129,325,MS Wade,SCJ Broad,6,23,65,27.87,2230,48.74,Left-hand bat,77,37,2,26784.4,28.68,57.8,rfm,2,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1631,221,AUS,4,142,338,MS Wade,SCJ Broad,6,25,67,27.87,2230,48.74,Left-hand bat,82,49,2,26784.4,28.68,57.8,rfm,0,ENG,seam,yes,27.583910034602077,7.151384083044982
3,1632,222,AUS,4,142,338,MS Wade,SCJ Broad,6,25,68,27.87,2230,48.74,Left-hand bat,83,49,2,26784.4,28.68,57.8,rfm,1,ENG,seam,yes,27.583910034602077,7.151384083044982
