innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1742,404,PAK,6,201,-86,Yasir Shah,NM Lyon,8,0,0,14.04,1507,46.58,Right-hand bat,110,53,3,23868.2,32.36,64.5,rob,0,AUS,spin,no,38.449905482041586,10.680529300567107
3,1743,405,PAK,6,201,-86,Yasir Shah,NM Lyon,8,0,1,14.04,1507,46.58,Right-hand bat,111,53,3,23868.2,32.36,64.5,rob,0,AUS,spin,no,38.449905482041586,10.680529300567107
3,1744,406,PAK,6,201,-86,Yasir Shah,NM Lyon,8,0,2,14.04,1507,46.58,Right-hand bat,112,53,3,23868.2,32.36,64.5,rob,0,AUS,spin,no,38.449905482041586,10.680529300567107
3,1745,407,PAK,6,201,-86,Yasir Shah,NM Lyon,8,0,3,14.04,1507,46.58,Right-hand bat,113,53,3,23868.2,32.36,64.5,rob,0,AUS,spin,no,38.449905482041586,10.680529300567107
3,1755,417,PAK,6,205,-82,Yasir Shah,NM Lyon,8,2,9,14.04,1507,46.58,Right-hand bat,117,54,3,23868.2,32.36,64.5,rob,0,AUS,spin,no,38.449905482041586,10.680529300567107
3,1756,418,PAK,6,205,-82,Yasir Shah,NM Lyon,8,2,10,14.04,1507,46.58,Right-hand bat,118,54,3,23868.2,32.36,64.5,rob,0,AUS,spin,no,38.449905482041586,10.680529300567107
3,1757,419,PAK,6,205,-82,Yasir Shah,NM Lyon,8,2,11,14.04,1507,46.58,Right-hand bat,119,54,3,23868.2,32.36,64.5,rob,0,AUS,spin,no,38.449905482041586,10.680529300567107
3,1778,440,PAK,6,215,-72,Yasir Shah,NM Lyon,8,7,17,14.04,1507,46.58,Right-hand bat,128,55,3,23868.2,32.36,64.5,rob,2,AUS,spin,no,38.449905482041586,10.680529300567107
3,1779,441,PAK,6,217,-70,Yasir Shah,NM Lyon,8,9,18,14.04,1507,46.58,Right-hand bat,129,57,3,23868.2,32.36,64.5,rob,1,AUS,spin,no,38.449905482041586,10.680529300567107
3,1788,450,PAK,6,221,-66,Yasir Shah,NM Lyon,8,13,23,14.04,1507,46.58,Right-hand bat,132,58,3,23868.2,32.36,64.5,rob,0,AUS,spin,no,38.449905482041586,10.680529300567107
3,1789,451,PAK,6,221,-66,Yasir Shah,NM Lyon,8,13,24,14.04,1507,46.58,Right-hand bat,133,58,3,23868.2,32.36,64.5,rob,0,AUS,spin,no,38.449905482041586,10.680529300567107
3,1790,452,PAK,6,221,-66,Yasir Shah,NM Lyon,8,13,25,14.04,1507,46.58,Right-hand bat,134,58,3,23868.2,32.36,64.5,rob,W,AUS,spin,no,38.449905482041586,10.680529300567107
