innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,211,211,AUS,2,85,85,SPD Smith,C de Grandhomme,4,11,41,62.84,12886,55.59,Right-hand bat,31,16,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,212,212,AUS,2,85,85,SPD Smith,C de Grandhomme,4,11,42,62.84,12886,55.59,Right-hand bat,32,16,0,3210.5,30.76,76.5,rmf,1,AUS,seam,no,21.712653061224486,6.680816326530612
1,235,235,AUS,2,99,99,SPD Smith,C de Grandhomme,4,21,53,62.84,12886,55.59,Right-hand bat,43,20,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,236,236,AUS,2,99,99,SPD Smith,C de Grandhomme,4,21,54,62.84,12886,55.59,Right-hand bat,44,20,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,237,237,AUS,2,99,99,SPD Smith,C de Grandhomme,4,21,55,62.84,12886,55.59,Right-hand bat,45,20,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,238,238,AUS,2,99,99,SPD Smith,C de Grandhomme,4,21,56,62.84,12886,55.59,Right-hand bat,46,20,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,239,239,AUS,2,99,99,SPD Smith,C de Grandhomme,4,21,57,62.84,12886,55.59,Right-hand bat,47,20,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,248,248,AUS,2,117,117,SPD Smith,C de Grandhomme,4,27,60,62.84,12886,55.59,Right-hand bat,50,21,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,249,249,AUS,2,117,117,SPD Smith,C de Grandhomme,4,27,61,62.84,12886,55.59,Right-hand bat,51,21,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,250,250,AUS,2,117,117,SPD Smith,C de Grandhomme,4,27,62,62.84,12886,55.59,Right-hand bat,52,21,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,251,251,AUS,2,117,117,SPD Smith,C de Grandhomme,4,27,63,62.84,12886,55.59,Right-hand bat,53,21,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,258,258,AUS,2,119,119,SPD Smith,C de Grandhomme,4,27,64,62.84,12886,55.59,Right-hand bat,54,21,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,259,259,AUS,2,119,119,SPD Smith,C de Grandhomme,4,27,65,62.84,12886,55.59,Right-hand bat,55,21,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,260,260,AUS,2,119,119,SPD Smith,C de Grandhomme,4,27,66,62.84,12886,55.59,Right-hand bat,56,21,0,3210.5,30.76,76.5,rmf,2,AUS,seam,no,21.712653061224486,6.680816326530612
1,261,261,AUS,2,121,121,SPD Smith,C de Grandhomme,4,29,67,62.84,12886,55.59,Right-hand bat,57,23,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,262,262,AUS,2,121,121,SPD Smith,C de Grandhomme,4,29,68,62.84,12886,55.59,Right-hand bat,58,23,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,263,263,AUS,2,121,121,SPD Smith,C de Grandhomme,4,29,69,62.84,12886,55.59,Right-hand bat,59,23,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,270,270,AUS,2,125,125,SPD Smith,C de Grandhomme,4,29,70,62.84,12886,55.59,Right-hand bat,60,23,0,3210.5,30.76,76.5,rmf,1,AUS,seam,no,21.712653061224486,6.680816326530612
1,282,282,AUS,2,139,139,SPD Smith,C de Grandhomme,4,33,74,62.84,12886,55.59,Right-hand bat,66,30,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,283,283,AUS,2,139,139,SPD Smith,C de Grandhomme,4,33,75,62.84,12886,55.59,Right-hand bat,67,30,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,284,284,AUS,2,139,139,SPD Smith,C de Grandhomme,4,33,76,62.84,12886,55.59,Right-hand bat,68,30,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,285,285,AUS,2,139,139,SPD Smith,C de Grandhomme,4,33,77,62.84,12886,55.59,Right-hand bat,69,30,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,286,286,AUS,2,139,139,SPD Smith,C de Grandhomme,4,33,78,62.84,12886,55.59,Right-hand bat,70,30,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,287,287,AUS,2,139,139,SPD Smith,C de Grandhomme,4,33,79,62.84,12886,55.59,Right-hand bat,71,30,0,3210.5,30.76,76.5,rmf,0,AUS,seam,no,21.712653061224486,6.680816326530612
