innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,481,481,AUS,4,228,228,TM Head,TA Boult,6,6,21,43.24,2122,50.94,Left-hand bat,90,46,1,14448,28.01,56.4,lfm,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,482,482,AUS,4,228,228,TM Head,TA Boult,6,6,22,43.24,2122,50.94,Left-hand bat,91,46,1,14448,28.01,56.4,lfm,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,483,483,AUS,4,228,228,TM Head,TA Boult,6,6,23,43.24,2122,50.94,Left-hand bat,92,46,1,14448,28.01,56.4,lfm,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,484,484,AUS,4,228,228,TM Head,TA Boult,6,6,24,43.24,2122,50.94,Left-hand bat,93,46,1,14448,28.01,56.4,lfm,1,AUS,seam,no,21.712653061224486,6.680816326530612
1,509,509,AUS,4,240,240,TM Head,TA Boult,6,13,37,43.24,2122,50.94,Left-hand bat,106,52,1,14448,28.01,56.4,lfm,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,510,510,AUS,4,240,240,TM Head,TA Boult,6,13,38,43.24,2122,50.94,Left-hand bat,107,52,1,14448,28.01,56.4,lfm,2,AUS,seam,no,21.712653061224486,6.680816326530612
1,517,517,AUS,4,246,246,TM Head,TA Boult,6,15,39,43.24,2122,50.94,Left-hand bat,108,54,1,14448,28.01,56.4,lfm,2,AUS,seam,no,21.712653061224486,6.680816326530612
1,518,518,AUS,4,248,248,TM Head,TA Boult,6,17,40,43.24,2122,50.94,Left-hand bat,109,56,1,14448,28.01,56.4,lfm,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,519,519,AUS,4,248,248,TM Head,TA Boult,6,17,41,43.24,2122,50.94,Left-hand bat,110,56,1,14448,28.01,56.4,lfm,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,520,520,AUS,4,248,248,TM Head,TA Boult,6,17,42,43.24,2122,50.94,Left-hand bat,111,56,1,14448,28.01,56.4,lfm,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,521,521,AUS,4,248,248,TM Head,TA Boult,6,17,43,43.24,2122,50.94,Left-hand bat,112,56,1,14448,28.01,56.4,lfm,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,522,522,AUS,4,248,248,TM Head,TA Boult,6,17,44,43.24,2122,50.94,Left-hand bat,113,56,1,14448,28.01,56.4,lfm,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,529,529,AUS,4,248,248,TM Head,TA Boult,6,17,45,43.24,2122,50.94,Left-hand bat,114,56,1,14448,28.01,56.4,lfm,4,AUS,seam,no,21.712653061224486,6.680816326530612
1,530,530,AUS,4,252,252,TM Head,TA Boult,6,21,46,43.24,2122,50.94,Left-hand bat,115,60,1,14448,28.01,56.4,lfm,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,531,531,AUS,4,252,252,TM Head,TA Boult,6,21,47,43.24,2122,50.94,Left-hand bat,116,60,1,14448,28.01,56.4,lfm,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,532,532,AUS,4,252,252,TM Head,TA Boult,6,21,48,43.24,2122,50.94,Left-hand bat,117,60,1,14448,28.01,56.4,lfm,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,533,533,AUS,4,252,252,TM Head,TA Boult,6,21,49,43.24,2122,50.94,Left-hand bat,118,60,1,14448,28.01,56.4,lfm,0,AUS,seam,no,21.712653061224486,6.680816326530612
1,534,534,AUS,4,252,252,TM Head,TA Boult,6,21,50,43.24,2122,50.94,Left-hand bat,119,60,1,14448,28.01,56.4,lfm,0,AUS,seam,no,21.712653061224486,6.680816326530612
