innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1478,0,AUS,0,0,203,DA Warner,MJ Henry,1,0,0,48.94,9943,72.85,Left-hand bat,0,0,0,2760.1,50.16,92,rfm,0,AUS,seam,yes,16.609375,15.5712890625
3,1479,1,AUS,0,0,203,DA Warner,MJ Henry,1,0,1,48.94,9943,72.85,Left-hand bat,1,0,0,2760.1,50.16,92,rfm,0,AUS,seam,yes,16.609375,15.5712890625
3,1480,2,AUS,0,0,203,DA Warner,MJ Henry,1,0,2,48.94,9943,72.85,Left-hand bat,2,0,0,2760.1,50.16,92,rfm,0,AUS,seam,yes,16.609375,15.5712890625
3,1481,3,AUS,0,0,203,DA Warner,MJ Henry,1,0,3,48.94,9943,72.85,Left-hand bat,3,0,0,2760.1,50.16,92,rfm,1lb,AUS,seam,yes,16.609375,15.5712890625
3,1490,12,AUS,0,8,211,DA Warner,MJ Henry,1,5,8,48.94,9943,72.85,Left-hand bat,6,0,0,2760.1,50.16,92,rfm,0,AUS,seam,yes,16.609375,15.5712890625
3,1491,13,AUS,0,8,211,DA Warner,MJ Henry,1,5,9,48.94,9943,72.85,Left-hand bat,7,0,0,2760.1,50.16,92,rfm,0,AUS,seam,yes,16.609375,15.5712890625
3,1492,14,AUS,0,8,211,DA Warner,MJ Henry,1,5,10,48.94,9943,72.85,Left-hand bat,8,0,0,2760.1,50.16,92,rfm,0,AUS,seam,yes,16.609375,15.5712890625
3,1493,15,AUS,0,8,211,DA Warner,MJ Henry,1,5,11,48.94,9943,72.85,Left-hand bat,9,0,0,2760.1,50.16,92,rfm,0,AUS,seam,yes,16.609375,15.5712890625
3,1494,16,AUS,0,8,211,DA Warner,MJ Henry,1,5,12,48.94,9943,72.85,Left-hand bat,10,0,0,2760.1,50.16,92,rfm,1,AUS,seam,yes,16.609375,15.5712890625
3,1516,38,AUS,0,16,219,DA Warner,MJ Henry,1,8,25,48.94,9943,72.85,Left-hand bat,20,6,0,2760.1,50.16,92,rfm,0,AUS,seam,yes,16.609375,15.5712890625
