innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,498,498,IND,3,258,258,AM Rahane,VD Philander,5,13,60,42.41,7684,50.23,Right-hand bat,90,27,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,499,499,IND,3,258,258,AM Rahane,VD Philander,5,13,61,42.41,7684,50.23,Right-hand bat,91,27,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,500,500,IND,3,258,258,AM Rahane,VD Philander,5,13,62,42.41,7684,50.23,Right-hand bat,92,27,0,10776.4,22.16,49.9,rfm,1,IND,seam,yes,22.152,20.448
1,503,503,IND,3,264,264,AM Rahane,VD Philander,5,14,63,42.41,7684,50.23,Right-hand bat,95,33,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,524,524,IND,3,275,275,AM Rahane,VD Philander,5,18,76,42.41,7684,50.23,Right-hand bat,103,38,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,525,525,IND,3,275,275,AM Rahane,VD Philander,5,18,77,42.41,7684,50.23,Right-hand bat,104,38,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,526,526,IND,3,275,275,AM Rahane,VD Philander,5,18,78,42.41,7684,50.23,Right-hand bat,105,38,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,527,527,IND,3,275,275,AM Rahane,VD Philander,5,18,79,42.41,7684,50.23,Right-hand bat,106,38,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,528,528,IND,3,275,275,AM Rahane,VD Philander,5,18,80,42.41,7684,50.23,Right-hand bat,107,38,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,547,547,IND,3,281,281,AM Rahane,VD Philander,5,19,87,42.41,7684,50.23,Right-hand bat,114,42,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,548,548,IND,3,281,281,AM Rahane,VD Philander,5,19,88,42.41,7684,50.23,Right-hand bat,115,42,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,549,549,IND,3,281,281,AM Rahane,VD Philander,5,19,89,42.41,7684,50.23,Right-hand bat,116,42,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,550,550,IND,3,281,281,AM Rahane,VD Philander,5,19,90,42.41,7684,50.23,Right-hand bat,117,42,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,551,551,IND,3,281,281,AM Rahane,VD Philander,5,19,91,42.41,7684,50.23,Right-hand bat,118,42,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,552,552,IND,3,281,281,AM Rahane,VD Philander,5,19,92,42.41,7684,50.23,Right-hand bat,119,42,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,559,559,IND,3,285,285,AM Rahane,VD Philander,5,19,93,42.41,7684,50.23,Right-hand bat,120,42,0,10776.4,22.16,49.9,rfm,4,IND,seam,yes,22.152,20.448
1,560,560,IND,3,289,289,AM Rahane,VD Philander,5,23,94,42.41,7684,50.23,Right-hand bat,121,46,0,10776.4,22.16,49.9,rfm,1,IND,seam,yes,22.152,20.448
1,564,564,IND,3,291,291,AM Rahane,VD Philander,5,24,95,42.41,7684,50.23,Right-hand bat,125,48,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,571,571,IND,3,295,295,AM Rahane,VD Philander,5,24,96,42.41,7684,50.23,Right-hand bat,126,48,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,572,572,IND,3,295,295,AM Rahane,VD Philander,5,24,97,42.41,7684,50.23,Right-hand bat,127,48,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,573,573,IND,3,295,295,AM Rahane,VD Philander,5,24,98,42.41,7684,50.23,Right-hand bat,128,48,0,10776.4,22.16,49.9,rfm,1,IND,seam,yes,22.152,20.448
1,671,671,IND,3,348,348,AM Rahane,VD Philander,5,52,151,42.41,7684,50.23,Right-hand bat,141,54,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,672,672,IND,3,348,348,AM Rahane,VD Philander,5,52,152,42.41,7684,50.23,Right-hand bat,142,54,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
1,673,673,IND,3,348,348,AM Rahane,VD Philander,5,52,153,42.41,7684,50.23,Right-hand bat,143,54,0,10776.4,22.16,49.9,rfm,0,IND,seam,yes,22.152,20.448
