innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,348,348,NZL,4,187,187,BJ Watling,JC Archer,6,1,2,40.67,8238,42.95,Right-hand bat,90,39,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,349,349,NZL,4,187,187,BJ Watling,JC Archer,6,1,3,40.67,8238,42.95,Right-hand bat,91,39,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,350,350,NZL,4,187,187,BJ Watling,JC Archer,6,1,4,40.67,8238,42.95,Right-hand bat,92,39,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,351,351,NZL,4,187,187,BJ Watling,JC Archer,6,1,5,40.67,8238,42.95,Right-hand bat,93,39,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,352,352,NZL,4,187,187,BJ Watling,JC Archer,6,1,6,40.67,8238,42.95,Right-hand bat,94,39,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,353,353,NZL,4,187,187,BJ Watling,JC Archer,6,1,7,40.67,8238,42.95,Right-hand bat,95,39,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,482,482,NZL,5,231,231,BJ Watling,JC Archer,6,22,72,40.67,8238,42.95,Right-hand bat,104,39,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,483,483,NZL,5,231,231,BJ Watling,JC Archer,6,22,73,40.67,8238,42.95,Right-hand bat,105,39,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,484,484,NZL,5,231,231,BJ Watling,JC Archer,6,22,74,40.67,8238,42.95,Right-hand bat,106,39,0,1428,27.29,59.5,rf,1,NZL,seam,no,47.38016528925619,2.256198347107438
1,496,496,NZL,5,237,237,BJ Watling,JC Archer,6,24,78,40.67,8238,42.95,Right-hand bat,112,43,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,497,497,NZL,5,237,237,BJ Watling,JC Archer,6,24,79,40.67,8238,42.95,Right-hand bat,113,43,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,506,506,NZL,5,241,241,BJ Watling,JC Archer,6,25,82,40.67,8238,42.95,Right-hand bat,116,43,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,507,507,NZL,5,241,241,BJ Watling,JC Archer,6,25,83,40.67,8238,42.95,Right-hand bat,117,43,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,508,508,NZL,5,241,241,BJ Watling,JC Archer,6,25,84,40.67,8238,42.95,Right-hand bat,118,43,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,509,509,NZL,5,241,241,BJ Watling,JC Archer,6,25,85,40.67,8238,42.95,Right-hand bat,119,43,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,595,595,NZL,5,260,260,BJ Watling,JC Archer,6,35,139,40.67,8238,42.95,Right-hand bat,121,44,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,596,596,NZL,5,260,260,BJ Watling,JC Archer,6,35,140,40.67,8238,42.95,Right-hand bat,122,44,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,597,597,NZL,5,260,260,BJ Watling,JC Archer,6,35,141,40.67,8238,42.95,Right-hand bat,123,44,0,1428,27.29,59.5,rf,2,NZL,seam,no,47.38016528925619,2.256198347107438
1,598,598,NZL,5,262,262,BJ Watling,JC Archer,6,37,142,40.67,8238,42.95,Right-hand bat,124,46,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,599,599,NZL,5,262,262,BJ Watling,JC Archer,6,37,143,40.67,8238,42.95,Right-hand bat,125,46,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,619,619,NZL,5,270,270,BJ Watling,JC Archer,6,38,152,40.67,8238,42.95,Right-hand bat,133,47,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,620,620,NZL,5,270,270,BJ Watling,JC Archer,6,38,153,40.67,8238,42.95,Right-hand bat,134,47,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,621,621,NZL,5,270,270,BJ Watling,JC Archer,6,38,154,40.67,8238,42.95,Right-hand bat,135,47,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,622,622,NZL,5,270,270,BJ Watling,JC Archer,6,38,155,40.67,8238,42.95,Right-hand bat,136,47,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,623,623,NZL,5,270,270,BJ Watling,JC Archer,6,38,156,40.67,8238,42.95,Right-hand bat,137,47,0,1428,27.29,59.5,rf,2,NZL,seam,no,47.38016528925619,2.256198347107438
1,635,635,NZL,5,282,282,BJ Watling,JC Archer,6,40,162,40.67,8238,42.95,Right-hand bat,143,54,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,642,642,NZL,5,282,282,BJ Watling,JC Archer,6,40,163,40.67,8238,42.95,Right-hand bat,144,54,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,643,643,NZL,5,282,282,BJ Watling,JC Archer,6,40,164,40.67,8238,42.95,Right-hand bat,145,54,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,644,644,NZL,5,282,282,BJ Watling,JC Archer,6,40,165,40.67,8238,42.95,Right-hand bat,146,54,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,645,645,NZL,5,282,282,BJ Watling,JC Archer,6,40,166,40.67,8238,42.95,Right-hand bat,147,54,0,1428,27.29,59.5,rf,4,NZL,seam,no,47.38016528925619,2.256198347107438
1,646,646,NZL,5,286,286,BJ Watling,JC Archer,6,44,167,40.67,8238,42.95,Right-hand bat,148,58,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
1,647,647,NZL,5,286,286,BJ Watling,JC Archer,6,44,168,40.67,8238,42.95,Right-hand bat,149,58,0,1428,27.29,59.5,rf,0,NZL,seam,no,47.38016528925619,2.256198347107438
