innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,741,362,NZL,8,177,-65,N Wagner,RA Jadeja,10,0,0,12.5,1281,44.88,Left-hand bat,32,11,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,742,363,NZL,8,177,-65,N Wagner,RA Jadeja,10,0,1,12.5,1281,44.88,Left-hand bat,33,11,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,743,364,NZL,8,177,-65,N Wagner,RA Jadeja,10,0,2,12.5,1281,44.88,Left-hand bat,34,11,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,744,365,NZL,8,177,-65,N Wagner,RA Jadeja,10,0,3,12.5,1281,44.88,Left-hand bat,35,11,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,751,372,NZL,8,183,-59,N Wagner,RA Jadeja,10,1,6,12.5,1281,44.88,Left-hand bat,36,11,2,12912,24.62,60.6,lo,2,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,752,373,NZL,8,185,-57,N Wagner,RA Jadeja,10,3,7,12.5,1281,44.88,Left-hand bat,37,13,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,753,374,NZL,8,185,-57,N Wagner,RA Jadeja,10,3,8,12.5,1281,44.88,Left-hand bat,38,13,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,754,375,NZL,8,185,-57,N Wagner,RA Jadeja,10,3,9,12.5,1281,44.88,Left-hand bat,39,13,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,755,376,NZL,8,185,-57,N Wagner,RA Jadeja,10,3,10,12.5,1281,44.88,Left-hand bat,40,13,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,756,377,NZL,8,185,-57,N Wagner,RA Jadeja,10,3,11,12.5,1281,44.88,Left-hand bat,41,13,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,776,397,NZL,8,195,-47,N Wagner,RA Jadeja,10,4,16,12.5,1281,44.88,Left-hand bat,49,18,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,777,398,NZL,8,195,-47,N Wagner,RA Jadeja,10,4,17,12.5,1281,44.88,Left-hand bat,50,18,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,778,399,NZL,8,195,-47,N Wagner,RA Jadeja,10,4,18,12.5,1281,44.88,Left-hand bat,51,18,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,779,400,NZL,8,195,-47,N Wagner,RA Jadeja,10,4,19,12.5,1281,44.88,Left-hand bat,52,18,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,780,401,NZL,8,195,-47,N Wagner,RA Jadeja,10,4,20,12.5,1281,44.88,Left-hand bat,53,18,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,787,408,NZL,8,205,-37,N Wagner,RA Jadeja,10,4,21,12.5,1281,44.88,Left-hand bat,54,18,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,788,409,NZL,8,205,-37,N Wagner,RA Jadeja,10,4,22,12.5,1281,44.88,Left-hand bat,55,18,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,789,410,NZL,8,205,-37,N Wagner,RA Jadeja,10,4,23,12.5,1281,44.88,Left-hand bat,56,18,2,12912,24.62,60.6,lo,4,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,790,411,NZL,8,209,-33,N Wagner,RA Jadeja,10,8,24,12.5,1281,44.88,Left-hand bat,57,22,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,791,412,NZL,8,209,-33,N Wagner,RA Jadeja,10,8,25,12.5,1281,44.88,Left-hand bat,58,22,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
2,792,413,NZL,8,209,-33,N Wagner,RA Jadeja,10,8,26,12.5,1281,44.88,Left-hand bat,59,22,2,12912,24.62,60.6,lo,0,NZL,spin,yes,20.865932047750228,1.3461891643709825
