innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,803,258,NZL,4,127,-117,BJ Watling,CBRLS Kumara,6,1,3,38.57,7573,43.29,Right-hand bat,60,36,1,3054.5,37.83,57.7,rf,4,SRL,seam,no,17.68491124260355,12.968934911242602
2,804,259,NZL,4,131,-113,BJ Watling,CBRLS Kumara,6,5,4,38.57,7573,43.29,Right-hand bat,61,40,1,3054.5,37.83,57.7,rf,1,SRL,seam,no,17.68491124260355,12.968934911242602
2,920,375,NZL,4,201,-43,BJ Watling,CBRLS Kumara,6,25,62,38.57,7573,43.29,Right-hand bat,69,49,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,921,376,NZL,4,201,-43,BJ Watling,CBRLS Kumara,6,25,63,38.57,7573,43.29,Right-hand bat,70,49,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,922,377,NZL,4,201,-43,BJ Watling,CBRLS Kumara,6,25,64,38.57,7573,43.29,Right-hand bat,71,49,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,923,378,NZL,4,201,-43,BJ Watling,CBRLS Kumara,6,25,65,38.57,7573,43.29,Right-hand bat,72,49,1,3054.5,37.83,57.7,rf,1,SRL,seam,no,17.68491124260355,12.968934911242602
2,930,385,NZL,4,203,-41,BJ Watling,CBRLS Kumara,6,27,68,38.57,7573,43.29,Right-hand bat,73,50,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,931,386,NZL,4,203,-41,BJ Watling,CBRLS Kumara,6,27,69,38.57,7573,43.29,Right-hand bat,74,50,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,932,387,NZL,4,203,-41,BJ Watling,CBRLS Kumara,6,27,70,38.57,7573,43.29,Right-hand bat,75,50,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,933,388,NZL,4,203,-41,BJ Watling,CBRLS Kumara,6,27,71,38.57,7573,43.29,Right-hand bat,76,50,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,934,389,NZL,4,203,-41,BJ Watling,CBRLS Kumara,6,27,72,38.57,7573,43.29,Right-hand bat,77,50,1,3054.5,37.83,57.7,rf,3,SRL,seam,no,17.68491124260355,12.968934911242602
2,944,399,NZL,4,209,-35,BJ Watling,CBRLS Kumara,6,32,79,38.57,7573,43.29,Right-hand bat,81,54,1,3054.5,37.83,57.7,rf,1,SRL,seam,no,17.68491124260355,12.968934911242602
2,955,410,NZL,4,213,-31,BJ Watling,CBRLS Kumara,6,34,85,38.57,7573,43.29,Right-hand bat,86,56,1,3054.5,37.83,57.7,rf,1,SRL,seam,no,17.68491124260355,12.968934911242602
2,959,414,NZL,4,223,-21,BJ Watling,CBRLS Kumara,6,35,86,38.57,7573,43.29,Right-hand bat,90,66,1,3054.5,37.83,57.7,rf,1,SRL,seam,no,17.68491124260355,12.968934911242602
2,1104,559,NZL,5,302,58,BJ Watling,CBRLS Kumara,6,64,155,38.57,7573,43.29,Right-hand bat,91,67,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,1105,560,NZL,5,302,58,BJ Watling,CBRLS Kumara,6,64,156,38.57,7573,43.29,Right-hand bat,92,67,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,1106,561,NZL,5,302,58,BJ Watling,CBRLS Kumara,6,64,157,38.57,7573,43.29,Right-hand bat,93,67,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,1107,562,NZL,5,302,58,BJ Watling,CBRLS Kumara,6,64,158,38.57,7573,43.29,Right-hand bat,94,67,1,3054.5,37.83,57.7,rf,2,SRL,seam,no,17.68491124260355,12.968934911242602
2,1108,563,NZL,5,304,60,BJ Watling,CBRLS Kumara,6,66,159,38.57,7573,43.29,Right-hand bat,95,69,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,1109,564,NZL,5,304,60,BJ Watling,CBRLS Kumara,6,66,160,38.57,7573,43.29,Right-hand bat,96,69,1,3054.5,37.83,57.7,rf,2,SRL,seam,no,17.68491124260355,12.968934911242602
2,1119,574,NZL,5,312,68,BJ Watling,CBRLS Kumara,6,69,164,38.57,7573,43.29,Right-hand bat,100,74,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,1120,575,NZL,5,312,68,BJ Watling,CBRLS Kumara,6,69,165,38.57,7573,43.29,Right-hand bat,101,74,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,1121,576,NZL,5,312,68,BJ Watling,CBRLS Kumara,6,69,166,38.57,7573,43.29,Right-hand bat,102,74,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,1132,587,NZL,5,321,77,BJ Watling,CBRLS Kumara,6,69,167,38.57,7573,43.29,Right-hand bat,107,76,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,1133,588,NZL,5,321,77,BJ Watling,CBRLS Kumara,6,69,168,38.57,7573,43.29,Right-hand bat,108,76,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,1134,589,NZL,5,321,77,BJ Watling,CBRLS Kumara,6,69,169,38.57,7573,43.29,Right-hand bat,109,76,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,1157,612,NZL,5,350,106,BJ Watling,CBRLS Kumara,6,71,175,38.57,7573,43.29,Right-hand bat,120,83,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,1158,613,NZL,5,350,106,BJ Watling,CBRLS Kumara,6,71,176,38.57,7573,43.29,Right-hand bat,121,83,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,1159,614,NZL,5,350,106,BJ Watling,CBRLS Kumara,6,71,177,38.57,7573,43.29,Right-hand bat,122,83,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,1168,623,NZL,5,358,114,BJ Watling,CBRLS Kumara,6,72,181,38.57,7573,43.29,Right-hand bat,125,84,1,3054.5,37.83,57.7,rf,0,SRL,seam,no,17.68491124260355,12.968934911242602
2,1169,624,NZL,5,358,114,BJ Watling,CBRLS Kumara,6,72,182,38.57,7573,43.29,Right-hand bat,126,84,1,3054.5,37.83,57.7,rf,1,SRL,seam,no,17.68491124260355,12.968934911242602
