innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,595,73,ENG,0,26,-251,AN Cook,JDP Oram,2,16,34,43.82,4756,46.06,Left-hand bat,0,0,0,4338.2,29.86,73.5,rfm,1,ENG,seam,yes,24.31213017751479,8.957100591715975
2,599,77,ENG,0,28,-249,AN Cook,JDP Oram,2,17,35,43.82,4756,46.06,Left-hand bat,4,2,0,4338.2,29.86,73.5,rfm,0,ENG,seam,yes,24.31213017751479,8.957100591715975
2,600,78,ENG,0,28,-249,AN Cook,JDP Oram,2,17,36,43.82,4756,46.06,Left-hand bat,5,2,0,4338.2,29.86,73.5,rfm,0,ENG,seam,yes,24.31213017751479,8.957100591715975
2,607,85,ENG,0,32,-245,AN Cook,JDP Oram,2,20,38,43.82,4756,46.06,Left-hand bat,6,2,0,4338.2,29.86,73.5,rfm,0,ENG,seam,yes,24.31213017751479,8.957100591715975
2,608,86,ENG,0,32,-245,AN Cook,JDP Oram,2,20,39,43.82,4756,46.06,Left-hand bat,7,2,0,4338.2,29.86,73.5,rfm,0,ENG,seam,yes,24.31213017751479,8.957100591715975
2,609,87,ENG,0,32,-245,AN Cook,JDP Oram,2,20,40,43.82,4756,46.06,Left-hand bat,8,2,0,4338.2,29.86,73.5,rfm,0,ENG,seam,yes,24.31213017751479,8.957100591715975
2,610,88,ENG,0,32,-245,AN Cook,JDP Oram,2,20,41,43.82,4756,46.06,Left-hand bat,9,2,0,4338.2,29.86,73.5,rfm,0,ENG,seam,yes,24.31213017751479,8.957100591715975
2,611,89,ENG,0,32,-245,AN Cook,JDP Oram,2,20,42,43.82,4756,46.06,Left-hand bat,10,2,0,4338.2,29.86,73.5,rfm,3,ENG,seam,yes,24.31213017751479,8.957100591715975
2,631,109,ENG,0,60,-217,AN Cook,JDP Oram,2,36,48,43.82,4756,46.06,Left-hand bat,18,12,0,4338.2,29.86,73.5,rfm,0,ENG,seam,yes,24.31213017751479,8.957100591715975
2,632,110,ENG,0,60,-217,AN Cook,JDP Oram,2,36,49,43.82,4756,46.06,Left-hand bat,19,12,0,4338.2,29.86,73.5,rfm,0,ENG,seam,yes,24.31213017751479,8.957100591715975
2,633,111,ENG,0,60,-217,AN Cook,JDP Oram,2,36,50,43.82,4756,46.06,Left-hand bat,20,12,0,4338.2,29.86,73.5,rfm,0,ENG,seam,yes,24.31213017751479,8.957100591715975
2,634,112,ENG,0,60,-217,AN Cook,JDP Oram,2,36,51,43.82,4756,46.06,Left-hand bat,21,12,0,4338.2,29.86,73.5,rfm,1,ENG,seam,yes,24.31213017751479,8.957100591715975
2,647,125,ENG,0,66,-211,AN Cook,JDP Oram,2,41,58,43.82,4756,46.06,Left-hand bat,28,14,0,4338.2,29.86,73.5,rfm,0,ENG,seam,yes,24.31213017751479,8.957100591715975
2,648,126,ENG,0,66,-211,AN Cook,JDP Oram,2,41,59,43.82,4756,46.06,Left-hand bat,29,14,0,4338.2,29.86,73.5,rfm,1,ENG,seam,yes,24.31213017751479,8.957100591715975
