innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,88,88,ENG,0,41,41,AN Cook,A Nel,2,24,43,42.53,5350,46.11,Left-hand bat,8,1,0,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,89,89,ENG,0,41,41,AN Cook,A Nel,2,24,44,42.53,5350,46.11,Left-hand bat,9,1,0,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,90,90,ENG,0,41,41,AN Cook,A Nel,2,24,45,42.53,5350,46.11,Left-hand bat,10,1,0,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,91,91,ENG,0,41,41,AN Cook,A Nel,2,24,46,42.53,5350,46.11,Left-hand bat,11,1,0,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,98,98,ENG,0,41,41,AN Cook,A Nel,2,24,47,42.53,5350,46.11,Left-hand bat,12,1,0,7482.2,31.23,60.8,rfm,4,ENG,seam,yes,30.139591836734695,3.888979591836735
1,99,99,ENG,0,45,45,AN Cook,A Nel,2,28,48,42.53,5350,46.11,Left-hand bat,13,5,0,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,100,100,ENG,0,45,45,AN Cook,A Nel,2,28,49,42.53,5350,46.11,Left-hand bat,14,5,0,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,101,101,ENG,0,45,45,AN Cook,A Nel,2,28,50,42.53,5350,46.11,Left-hand bat,15,5,0,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,102,102,ENG,0,45,45,AN Cook,A Nel,2,28,51,42.53,5350,46.11,Left-hand bat,16,5,0,7482.2,31.23,60.8,rfm,1,ENG,seam,yes,30.139591836734695,3.888979591836735
1,112,112,ENG,0,51,51,AN Cook,A Nel,2,33,58,42.53,5350,46.11,Left-hand bat,20,7,0,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,113,113,ENG,0,51,51,AN Cook,A Nel,2,33,59,42.53,5350,46.11,Left-hand bat,21,7,0,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,114,114,ENG,0,51,51,AN Cook,A Nel,2,33,60,42.53,5350,46.11,Left-hand bat,22,7,0,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,115,115,ENG,0,51,51,AN Cook,A Nel,2,33,61,42.53,5350,46.11,Left-hand bat,23,7,0,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,125,125,ENG,0,57,57,AN Cook,A Nel,2,33,64,42.53,5350,46.11,Left-hand bat,27,12,0,7482.2,31.23,60.8,rfm,2,ENG,seam,yes,30.139591836734695,3.888979591836735
1,126,126,ENG,0,59,59,AN Cook,A Nel,2,35,65,42.53,5350,46.11,Left-hand bat,28,14,0,7482.2,31.23,60.8,rfm,4,ENG,seam,yes,30.139591836734695,3.888979591836735
1,127,127,ENG,0,63,63,AN Cook,A Nel,2,39,66,42.53,5350,46.11,Left-hand bat,29,18,0,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,147,147,ENG,2,73,73,AN Cook,A Nel,2,44,75,42.53,5350,46.11,Left-hand bat,37,19,2,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,148,148,ENG,2,73,73,AN Cook,A Nel,2,44,76,42.53,5350,46.11,Left-hand bat,38,19,2,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,149,149,ENG,2,73,73,AN Cook,A Nel,2,44,77,42.53,5350,46.11,Left-hand bat,39,19,2,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,150,150,ENG,2,73,73,AN Cook,A Nel,2,44,78,42.53,5350,46.11,Left-hand bat,40,19,2,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,151,151,ENG,2,73,73,AN Cook,A Nel,2,44,79,42.53,5350,46.11,Left-hand bat,41,19,2,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,221,221,ENG,3,118,118,AN Cook,A Nel,2,68,107,42.53,5350,46.11,Left-hand bat,42,19,2,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
1,222,222,ENG,3,118,118,AN Cook,A Nel,2,68,108,42.53,5350,46.11,Left-hand bat,43,19,2,7482.2,31.23,60.8,rfm,0,ENG,seam,yes,30.139591836734695,3.888979591836735
